feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
bifidobacterium_bifidum	a_ala_fs_dr	a_ala_fs_dr	-0.00503062002303613	0.00119427840581596	925	116	2.81744878527365e-05	0.0043952201050269
firmicutes_bacterium_cag_95	a_ala_fs_dr	a_ala_fs_dr	0.00259368669579032	0.000743894086529488	925	235	0.000515113517987246	0.0401788544030052
roseburia_hominis	a_ala_fs_dr	a_ala_fs_dr	0.00525584276619285	0.00168332053410168	925	802	0.00190608652276535	0.0991164991837982
clostridium_sp_cag_167	a_ala_fs_dr	a_ala_fs_dr	0.0037892640320604	0.00135768552983715	925	298	0.00542623701072456	0.139820464710401
bacteroides_caccae	a_ala_fs_dr	a_ala_fs_dr	0.00637837776242093	0.00232733178448118	925	575	0.00627399521136415	0.139820464710401
bacteroides_salyersiae	a_ala_fs_dr	a_ala_fs_dr	0.00357740159376408	0.00122613938382211	925	235	0.00361552248880763	0.139820464710401
ruminococcaceae_bacterium_d5	a_ala_fs_dr	a_ala_fs_dr	-0.00138212554148754	0.000496943293600488	925	230	0.00556146480628234	0.139820464710401
dialister_invisus	a_ala_fs_dr	a_ala_fs_dr	-0.00259501781636786	0.00104400578365247	925	244	0.0131274492178685	0.255985259748436
bilophila_wadsworthia	a_ala_fs_dr	a_ala_fs_dr	-0.00118190930835324	0.000493218390534551	925	493	0.0168876581913403	0.292719408649899
lachnospira_pectinoschiza	a_ala_fs_dr	a_ala_fs_dr	-0.00551704892260891	0.00242104354260545	925	467	0.0230122257699856	0.304890541162705
parabacteroides_johnsonii	a_ala_fs_dr	a_ala_fs_dr	-0.00246707901152407	0.00108686358374534	925	157	0.0234531185509773	0.304890541162705
bifidobacterium_adolescentis	a_ala_fs_dr	a_ala_fs_dr	-0.00604365111137596	0.00264018512206221	925	313	0.0223687715448846	0.304890541162705
bacteroides_finegoldii	a_ala_fs_dr	a_ala_fs_dr	0.00283674234380862	0.00130158878119219	925	307	0.0295592021601912	0.307415702465989
paraprevotella_clara	a_ala_fs_dr	a_ala_fs_dr	0.000781637696934405	0.000357769093229027	925	125	0.0291627239877574	0.307415702465989
bacteroides_xylanisolvens	a_ala_fs_dr	a_ala_fs_dr	0.00364512207348809	0.00164298044698676	925	561	0.0267853507414591	0.307415702465989
clostridium_leptum	a_ala_fs_dr	a_ala_fs_dr	-0.00193722205704288	0.000916652322259874	925	585	0.0351163726977045	0.342384633802619
blautia_sp_cag_257	a_ala_fs_dr	a_ala_fs_dr	-0.00234385954055314	0.00118787742130944	925	261	0.0488321597835377	0.44810687801364
roseburia_intestinalis	a_ala_fs_dr	a_ala_fs_dr	0.00494599923876282	0.00267424508618881	925	696	0.0649053297993612	0.498019824115506
bacteroides_dorei	a_ala_fs_dr	a_ala_fs_dr	0.00647085329692145	0.00343903844167572	925	507	0.0602222185988946	0.498019824115506
clostridium_sp_cag_299	a_ala_fs_dr	a_ala_fs_dr	-0.000726410316360752	0.000400598914839359	925	124	0.0702335649393662	0.498019824115506
akkermansia_muciniphila	a_ala_fs_dr	a_ala_fs_dr	-0.00650349607503665	0.00358346692093333	925	583	0.0699975249174194	0.498019824115506
erysipelatoclostridium_ramosum	a_ala_fs_dr	a_ala_fs_dr	-0.0016029096396278	0.000862370699095659	925	181	0.0634644953139726	0.498019824115506
roseburia_sp_cag_303	a_ala_fs_dr	a_ala_fs_dr	0.00193439309815894	0.00112200106882932	925	134	0.0851324120761875	0.507615656890036
alistipes_putredinis	a_ala_fs_dr	a_ala_fs_dr	-0.00582514847534036	0.00344363679390014	925	739	0.0911105025187244	0.507615656890036
clostridium_sp_cag_253	a_ala_fs_dr	a_ala_fs_dr	0.0011161494731593	0.000647788117446879	925	112	0.0854412563766476	0.507615656890036
holdemanella_biformis	a_ala_fs_dr	a_ala_fs_dr	0.00110569850627094	0.000652129870282458	925	203	0.0903682282505189	0.507615656890036
