feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
eubacterium_sp_cag_251	a_f226_fs_dr	a_f226_fs_dr	-0.0161298167997708	0.00501857602146337	925	167	0.00135537814887213	0.105719495612026
odoribacter_splanchnicus	a_f226_fs_dr	a_f226_fs_dr	-0.0138751839777106	0.0042364365346795	925	721	0.00109604332306141	0.105719495612026
ruminococcus_bicirculans	a_f226_fs_dr	a_f226_fs_dr	0.0330091376546425	0.0111131399538776	925	558	0.00305938435081679	0.159087986242473
butyrivibrio_sp_cag_318	a_f226_fs_dr	a_f226_fs_dr	-0.0173023432063068	0.00663199575403847	925	100	0.00923307257878884	0.359526906156036
acidaminococcus_intestini	a_f226_fs_dr	a_f226_fs_dr	-0.00767266229641679	0.00303041840843718	925	120	0.0115232982742319	0.359526906156036
lachnospira_pectinoschiza	a_f226_fs_dr	a_f226_fs_dr	0.0201516776386031	0.00842207165620924	925	467	0.0169430892902588	0.396978965847539
parabacteroides_johnsonii	a_f226_fs_dr	a_f226_fs_dr	0.00831426913836693	0.00350231139793469	925	157	0.017813158723928	0.396978965847539
firmicutes_bacterium_cag_95	a_f226_fs_dr	a_f226_fs_dr	-0.00569917091802428	0.00246725367610062	925	235	0.0211167180143171	0.411776001279184
clostridium_sp_cag_253	a_f226_fs_dr	a_f226_fs_dr	0.00498074627501606	0.00231086052453042	925	112	0.0314324139979145	0.417462710628462
lactobacillus_rogosae	a_f226_fs_dr	a_f226_fs_dr	0.00356387450900052	0.00170990452028475	925	233	0.0374646022358876	0.417462710628462
bacteroides_intestinalis	a_f226_fs_dr	a_f226_fs_dr	0.0153990550094456	0.00727761941236206	925	249	0.0346300164032061	0.417462710628462
bacteroides_xylanisolvens	a_f226_fs_dr	a_f226_fs_dr	0.0119071261531794	0.00542481148979239	925	561	0.0284216669380162	0.417462710628462
collinsella_stercoris	a_f226_fs_dr	a_f226_fs_dr	-0.00287518866564857	0.00136571196610063	925	566	0.0355453183970355	0.417462710628462
proteobacteria_bacterium_cag_139	a_f226_fs_dr	a_f226_fs_dr	-0.00546453887766346	0.00254936023456061	925	382	0.0323738750968284	0.417462710628462
butyrivibrio_crossotus	a_f226_fs_dr	a_f226_fs_dr	-0.0185075028799997	0.00902291891233946	925	122	0.0405386058947227	0.421601501305116
bacteroides_stercoris	a_f226_fs_dr	a_f226_fs_dr	-0.024091997155404	0.0120168982484499	925	470	0.0452932003950029	0.441608703851278
enterorhabdus_caecimuris	a_f226_fs_dr	a_f226_fs_dr	0.00158717175335538	0.000804192226158341	925	374	0.0487897723703591	0.443807878648634
ruminococcaceae_bacterium_d5	a_f226_fs_dr	a_f226_fs_dr	-0.00333229187799401	0.00170677939113813	925	230	0.0512086013825347	0.443807878648634
eubacterium_eligens	a_f226_fs_dr	a_f226_fs_dr	0.0228565326994497	0.0121059888431072	925	821	0.0594008659690431	0.467257955551855
veillonella_atypica	a_f226_fs_dr	a_f226_fs_dr	-0.00471955186420548	0.00253429658550151	925	160	0.0629001094012112	0.467257955551855
clostridium_leptum	a_f226_fs_dr	a_f226_fs_dr	-0.00643313960618359	0.00343015228146045	925	585	0.0611775804094481	0.467257955551855
alistipes_putredinis	a_f226_fs_dr	a_f226_fs_dr	-0.0202495971353871	0.0114013355100418	925	739	0.0760568219077632	0.467805567336306
bacteroides_uniformis	a_f226_fs_dr	a_f226_fs_dr	-0.0283529666597974	0.0158520876976612	925	893	0.0740225015122259	0.467805567336306
bacteroides_massiliensis	a_f226_fs_dr	a_f226_fs_dr	-0.00937371743918749	0.00510688501706899	925	317	0.06677549643755	0.467805567336306
slackia_isoflavoniconvertens	a_f226_fs_dr	a_f226_fs_dr	0.00367385602617481	0.00202591732307421	925	216	0.0701059798035704	0.467805567336306
bifidobacterium_bifidum	a_f226_fs_dr	a_f226_fs_dr	-0.00706753551803756	0.00400517116156526	925	116	0.0779675945560509	0.467805567336306
anaerostipes_hadrus	a_f226_fs_dr	a_f226_fs_dr	0.0143922127456154	0.00834321260632696	925	864	0.0849889607562206	0.491047328813719
clostridium_spiroforme	a_f226_fs_dr	a_f226_fs_dr	-0.00267455537507516	0.00159024149835791	925	289	0.093020001284939	0.518254292873231
veillonella_parvula	a_f226_fs_dr	a_f226_fs_dr	-0.00319260826481463	0.00208193863655522	925	192	0.125550974490976	0.613935003943053
bacteroides_salyersiae	a_f226_fs_dr	a_f226_fs_dr	-0.00594757794623488	0.00380939367463699	925	235	0.118852258588235	0.613935003943053
collinsella_intestinalis	a_f226_fs_dr	a_f226_fs_dr	-0.00377837760460498	0.00246667651671995	925	347	0.125935385424216	0.613935003943053
parasutterella_excrementihominis	a_f226_fs_dr	a_f226_fs_dr	-0.0060593024408263	0.00390776521992516	925	523	0.121362258685659	0.613935003943053
dorea_formicigenerans	a_f226_fs_dr	a_f226_fs_dr	0.00546428124916505	0.00367598938301505	925	827	0.137579738649831	0.643595400357956
clostridium_symbiosum	a_f226_fs_dr	a_f226_fs_dr	-0.00256077070148275	0.00173476066377442	925	235	0.140270792385708	0.643595400357956
dialister_invisus	a_f226_fs_dr	a_f226_fs_dr	-0.00490446026652639	0.00344748299902712	925	244	0.155191126315796	0.687662396325345
