feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
eubacterium_rectale	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.413808831289272	0.115153015482881	925	871	0.000344421687258547	0.0207642694639912
acidaminococcus_intestini	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0659090468562016	0.0185343626707864	925	120	0.000399312874307524	0.0207642694639912
firmicutes_bacterium_cag_95	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0569915110664804	0.0154028368587903	925	235	0.000229440653124074	0.0207642694639912
butyrivibrio_sp_cag_318	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.141797938571217	0.0414714991652887	925	100	0.000658098593510809	0.0256658451469215
eubacterium_sp_cag_251	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0917669109092732	0.0319366901367834	925	167	0.00415818945134766	0.0923988170498096
parabacteroides_johnsonii	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0638720634323591	0.0216596407454366	925	157	0.00328113217979747	0.0923988170498096
adlercreutzia_equolifaciens	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0516038478889001	0.0182238494646557	925	774	0.00473840087434921	0.0923988170498096
firmicutes_bacterium_cag_110	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.102943256251243	0.0357642318339714	925	408	0.00409796207092908	0.0923988170498096
eubacterium_sp_cag_180	a_p22_5_fs_dr	a_p22_5_fs_dr	0.136058070860439	0.0538936184688451	925	138	0.0117655649086761	0.203936458417052
enterorhabdus_caecimuris	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0132306939413133	0.00534949030892624	925	374	0.0135795916355417	0.21184162951445
bifidobacterium_pseudocatenulatum	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0672453537259012	0.0289000809472105	925	150	0.0201943915563213	0.286393189344193
ruminococcus_callidus	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.030053567671311	0.013215464309438	925	125	0.0232020314735255	0.301626409155831
dorea_longicatena	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0805271039441696	0.04145634094684	925	764	0.0523915339271095	0.417633373485459
eubacterium_hallii	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0789412444275568	0.040829650356361	925	846	0.0535427401904434	0.417633373485459
anaerostipes_hadrus	a_p22_5_fs_dr	a_p22_5_fs_dr	0.109743624294671	0.0563305186450934	925	864	0.0517425039625805	0.417633373485459
streptococcus_thermophilus	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0612905122830247	0.0309122207238271	925	384	0.0478065775797459	0.417633373485459
turicimonas_muris	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0212740043174328	0.0106834118060648	925	354	0.046747130390359	0.417633373485459
butyricimonas_synergistica	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0190528800085897	0.00970261208451787	925	324	0.0498944380311295	0.417633373485459
asaccharobacter_celatus	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0407547308707073	0.0193771929903318	925	786	0.0357318756939532	0.417633373485459
ruminococcaceae_bacterium_d5	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0225892546638673	0.0109701539562389	925	230	0.0397660869630081	0.417633373485459
odoribacter_splanchnicus	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0512716178635763	0.0270000800891403	925	721	0.0578985920820107	0.430103826894937
bacteroides_stercoris	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.138786966903787	0.0740376363075827	925	470	0.0612268470490788	0.434154006348013
ruminococcus_bicirculans	a_p22_5_fs_dr	a_p22_5_fs_dr	0.130179234927654	0.0724725016043242	925	558	0.0727868829736312	0.459731232969068
oscillibacter_sp_cag_241	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0563104380091239	0.0308260476484504	925	511	0.0680862009614889	0.459731232969068
proteobacteria_bacterium_cag_139	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0277769754195034	0.0155075406697581	925	382	0.0736748770783762	0.459731232969068
parasutterella_excrementihominis	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0423272690109028	0.0241883977448448	925	523	0.0805164293403046	0.483098576041828
haemophilus_sp_hmsc71h05	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0137651064621772	0.00802918478529898	925	130	0.0868561113890019	0.501835310247567
alistipes_shahii	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0410195689150441	0.0243070730733472	925	726	0.0918589052242652	0.505613902677693
holdemanella_biformis	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0230070952509944	0.0137229481442809	925	203	0.0939923280618789	0.505613902677693
