feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
eubacterium_rectale	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.413808831289272	0.115153015482881	925	871	0.000344421687258547	0.0207642694639912
acidaminococcus_intestini	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0659090468562016	0.0185343626707864	925	120	0.000399312874307524	0.0207642694639912
firmicutes_bacterium_cag_95	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0569915110664804	0.0154028368587903	925	235	0.000229440653124074	0.0207642694639912
butyrivibrio_sp_cag_318	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.141797938571217	0.0414714991652887	925	100	0.000658098593510809	0.0256658451469215
eubacterium_sp_cag_251	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0917669109092732	0.0319366901367834	925	167	0.00415818945134766	0.0923988170498096
parabacteroides_johnsonii	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0638720634323591	0.0216596407454366	925	157	0.00328113217979747	0.0923988170498096
adlercreutzia_equolifaciens	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0516038478889001	0.0182238494646557	925	774	0.00473840087434921	0.0923988170498096
firmicutes_bacterium_cag_110	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.102943256251243	0.0357642318339714	925	408	0.00409796207092908	0.0923988170498096
eubacterium_sp_cag_180	a_p22_5_fs_dr	a_p22_5_fs_dr	0.136058070860439	0.0538936184688451	925	138	0.0117655649086761	0.203936458417052
enterorhabdus_caecimuris	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0132306939413133	0.00534949030892624	925	374	0.0135795916355417	0.21184162951445
