feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00692861587407645	0.00147652710431252	925	112	3.13518008736954e-06	0.00152593860761201
escherichia_coli	abx	abx	-0.0274497475462215	0.00596907364844096	925	300	4.89082887055132e-06	0.00152593860761201
flavonifractor_plautii	abx	abx	0.00984920779763844	0.0022217449459626	925	640	1.04350557907033e-05	0.00217049160446628
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.79698797510135e-06	1.58178207416811e-06	925	112	1.97965067061533e-05	0.00308825504615992
ruminococcus_torques	abx	abx	-0.0158671650985893	0.00443706501967855	925	714	0.000367438410646065	0.040033509938774
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.32568323053854e-06	2.61688355505651e-06	925	468	0.000384937595565135	0.040033509938774
roseburia_faecis	abx	abx	-0.0320061669892848	0.00911595505209717	925	727	0.000470853177480496	0.0419731975354042
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.6063639011954e-05	1.05837314746255e-05	925	785	0.000685452023204176	0.0534652578099258
hungatella_hathewayi	abx	abx	0.00268243987602489	0.000809113666255538	925	158	0.000968230211827549	0.057496043301898
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-9.91620602558698e-06	2.99977234114731e-06	925	721	0.000987531629004609	0.057496043301898
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.95247053382285e-06	1.1980272617325e-06	925	230	0.00101355204538602	0.057496043301898
odoribacter_splanchnicus	a_f205_fs_dr	a_f205_fs_dr	-0.0129132644725822	0.00399617342136158	925	721	0.00128231692003987	0.0666804798420733
clostridium_innocuum	abx	abx	0.00357571705952186	0.00114094425580306	925	212	0.00179851051599073	0.0863285047675552
dorea_longicatena	abx	abx	-0.0123943730650408	0.00411479373975361	925	764	0.00266751091303189	0.104032925608244
clostridium_lavalense	abx	abx	0.00199756139233361	0.000659044196303441	925	236	0.00250833612281358	0.104032925608244
bifidobacterium_pseudocatenulatum	abx	abx	-0.00871531316429041	0.00287639482790642	925	150	0.00251655321305006	0.104032925608244
coprococcus_catus	abx	abx	-0.00571840430160203	0.00192969332684404	925	595	0.00312717740475281	0.104712922327473
butyrivibrio_crossotus	a_f205_fs_dr	a_f205_fs_dr	-0.0259583112959494	0.00868648494089841	925	122	0.00288517524898799	0.104712922327473
streptococcus_parasanguinis	agemlvs	agemlvs	0.00104870740821907	0.00035576352083371	925	416	0.00344522259097872	0.104712922327473
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.48814962330755e-05	1.19086800647296e-05	925	871	0.00352399257832841	0.104712922327473
acidaminococcus_intestini	abx	abx	-0.00556683961272825	0.00189381579280141	925	120	0.00338123175483897	0.104712922327473
eubacterium_sp_cag_251	a_f205_fs_dr	a_f205_fs_dr	-0.0137163091407325	0.00475819240345257	925	167	0.0040500382526816	0.114873812257878
clostridium_sp_cag_253	a_f205_fs_dr	a_f205_fs_dr	0.00578720292300477	0.00208265705136712	925	112	0.005616674771091	0.146033544048366
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.27735214077029e-06	1.53281345089137e-06	925	244	0.00545279384626769	0.146033544048366
oscillibacter_sp_cag_241	a_f205_fs_dr	a_f205_fs_dr	0.0127308715416089	0.00463884272615062	925	511	0.00619603915165812	0.152323410693388
firmicutes_bacterium_cag_94	a_f205_fs_dr	a_f205_fs_dr	0.00571345909453198	0.00208779857364484	925	242	0.00634680877889118	0.152323410693388
clostridium_sp_cag_167	abx	abx	-0.00848633035846633	0.00312421946482285	925	298	0.0067320995859026	0.15558630154086
enterorhabdus_caecimuris	a_f205_fs_dr	a_f205_fs_dr	0.0018980224141179	0.000719283030345978	925	374	0.00853622975535412	0.190235977405035
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00121856194918265	0.000468624410469891	925	157	0.00975883716097459	0.209983254774074
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000580050650031688	0.000224486692054468	925	158	0.0102284042856532	0.212750809141587
firmicutes_bacterium_cag_110	a_f205_fs_dr	a_f205_fs_dr	0.0140875384705633	0.00551244249149809	925	408	0.0107745520411487	0.216881305602477
streptococcus_salivarius	agemlvs	agemlvs	0.00145172677898514	0.000576331897371	925	574	0.0122785869071636	0.23943244468969
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-2.62988973007445e-05	1.06827439308556e-05	925	604	0.0140383099259746	0.265451678600247
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-5.75628545500271e-06	2.35002257435778e-06	925	782	0.0145970321847378	0.267898473037542
clostridium_sp_cag_58	calor_fs_dr	calor_fs_dr	-5.28962936120279e-06	2.18772007212565e-06	925	692	0.0158583033109013	0.27152294957141
parabacteroides_goldsteinii	calor_fs_dr	calor_fs_dr	-4.76090366622064e-06	1.96671560262614e-06	925	255	0.0156891072537963	0.27152294957141
catenibacterium_mitsuokai	calor_fs_dr	calor_fs_dr	3.23932845285794e-06	1.34342390771505e-06	925	98	0.0160999184842022	0.27152294957141
alistipes_finegoldii	calor_fs_dr	calor_fs_dr	-1.6573764451333e-05	7.01497704569621e-06	925	758	0.0183856744805904	0.280285441683706
clostridium_sp_cag_253	agemlvs	agemlvs	0.000513346203371501	0.00022220668398955	925	112	0.0215604185910543	0.280285441683706
alistipes_indistinctus	abx	abx	0.00459951324573553	0.00199410825979864	925	390	0.0213066068599513	0.280285441683706
sellimonas_intestinalis	abx	abx	0.00186078184718988	0.000780252262607612	925	113	0.0173096197414099	0.280285441683706
ruminococcus_bicirculans	abx	abx	-0.0166574561352358	0.00717315759032144	925	558	0.0204483676493666	0.280285441683706
bacteroides_salyersiae	calor_fs_dr	calor_fs_dr	-6.66629181660595e-06	2.83324129458602e-06	925	235	0.0188557192994684	0.280285441683706
anaerotruncus_colihominis	calor_fs_dr	calor_fs_dr	-1.82226551799947e-06	7.80562535236718e-07	925	188	0.019920220144241	0.280285441683706
agathobaculum_butyriciproducens	calor_fs_dr	calor_fs_dr	6.0786340476066e-06	2.60595379856884e-06	925	821	0.0199818586503283	0.280285441683706
eubacterium_siraeum	abx	abx	0.0228769218421447	0.00973858516540225	925	604	0.0190344731477804	0.280285441683706
phascolarctobacterium_succinatutens	abx	abx	-0.00514878103899504	0.00223065211961065	925	104	0.0212519585956597	0.280285441683706
proteobacteria_bacterium_cag_139	a_f205_fs_dr	a_f205_fs_dr	-0.00603126209900238	0.00257730205287652	925	382	0.0194993283019959	0.280285441683706
alistipes_putredinis	agemlvs	agemlvs	0.00310330247203834	0.00136112627196819	925	739	0.0232957924264586	0.282372972355629
eubacterium_ventriosum	abx	abx	-0.00452643911590167	0.00199132689912503	925	464	0.0232564415096988	0.282372972355629
veillonella_parvula	agemlvs	agemlvs	0.000460408342361158	0.000201705048824282	925	192	0.0231620954514386	0.282372972355629
proteobacteria_bacterium_cag_139	calor_fs_dr	calor_fs_dr	4.28540532724424e-06	1.88886013908593e-06	925	382	0.0235310810296358	0.282372972355629
desulfovibrio_piger	agemlvs	agemlvs	-0.000638908475111365	0.000287664624488224	925	98	0.0270905425084253	0.318952802363347
erysipelatoclostridium_ramosum	calor_fs_dr	calor_fs_dr	-4.52432778916125e-06	2.0730555416211e-06	925	181	0.02936056544879	0.339277645186018
roseburia_sp_cag_471	calor_fs_dr	calor_fs_dr	2.84973951427735e-06	1.32015916573684e-06	925	352	0.0311439597763716	0.347994610913504
bacteroides_eggerthii	abx	abx	0.0136248831752536	0.00635625588741202	925	240	0.0323580861347563	0.347994610913504
butyricimonas_virosa	calor_fs_dr	calor_fs_dr	-4.21554043453223e-06	1.97303499849274e-06	925	494	0.0329033366088089	0.347994610913504
paraprevotella_xylaniphila	a_f205_fs_dr	a_f205_fs_dr	0.0068646616313569	0.00318229217652631	925	254	0.0312583644524986	0.347994610913504
holdemania_filiformis	abx	abx	0.00159641239318559	0.000743303530524107	925	334	0.0320117025995778	0.347994610913504
dorea_formicigenerans	a_f205_fs_dr	a_f205_fs_dr	0.00683801193373936	0.00330400244548064	925	827	0.0389305358761727	0.350669598535094
coprococcus_comes	abx	abx	-0.00666827992567723	0.00320685022660568	925	752	0.0378642298227492	0.350669598535094
eubacterium_ramulus	abx	abx	-0.0042235929060738	0.00204848159709328	925	629	0.0395149509549007	0.350669598535094
