feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00425999224907732	0.00102754512302803	925	116	3.75510152948804e-05	0.00585795838600134
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00146161011880633	0.000427037262329711	925	230	0.000656665538862284	0.0512199120312581
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00447531121135131	0.00144646778260741	925	802	0.00209377951050353	0.0816574009096379
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00280782486152145	0.000897774844284793	925	244	0.00182457879483941	0.0816574009096379
clostridium_sp_cag_167	a_omega3_fs_dr	a_omega3_fs_dr	0.00335857343996158	0.00116899914879619	925	298	0.00421332079410439	0.109546340646714
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.00409858743260116	0.00141247171718002	925	561	0.00381093228207394	0.109546340646714
clostridium_sp_cag_253	a_omega3_fs_dr	a_omega3_fs_dr	0.0015108686244992	0.000553932032431881	925	112	0.00658438238637543	0.146737664610652
clostridium_leptum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00202985652277949	0.000785844647600931	925	585	0.0101069696316879	0.166879557761644
enterorhabdus_caecimuris	a_omega3_fs_dr	a_omega3_fs_dr	0.000495233631139283	0.00018981043412534	925	374	0.00933134467952145	0.166879557761644
bifidobacterium_adolescentis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00580664763649435	0.00226880959667874	925	313	0.0106974075488234	0.166879557761644
paraprevotella_clara	a_omega3_fs_dr	a_omega3_fs_dr	0.000723306284768951	0.00030878924620279	925	125	0.0193761322571196	0.274788784737333
roseburia_intestinalis	a_omega3_fs_dr	a_omega3_fs_dr	0.00491129477675024	0.0022966964987714	925	696	0.0329114903062905	0.30194407788566
alistipes_putredinis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00649617854882724	0.00296287432174208	925	739	0.0286259840156657	0.30194407788566
anaerostipes_hadrus	a_omega3_fs_dr	a_omega3_fs_dr	0.00403809509294157	0.00191362675537706	925	864	0.0353911348517341	0.30194407788566
streptococcus_thermophilus	a_omega3_fs_dr	a_omega3_fs_dr	0.00224183629980798	0.00100363510586047	925	384	0.0260809478959821	0.30194407788566
odoribacter_splanchnicus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00227990438271786	0.00108985555293193	925	721	0.0367752402553048	0.30194407788566
slackia_isoflavoniconvertens	a_omega3_fs_dr	a_omega3_fs_dr	0.0012027960472739	0.000540955692319681	925	216	0.0264383251580999	0.30194407788566
collinsella_stercoris	a_omega3_fs_dr	a_omega3_fs_dr	-0.000748723332345358	0.000346832743089049	925	566	0.0311954859242473	0.30194407788566
adlercreutzia_equolifaciens	a_omega3_fs_dr	a_omega3_fs_dr	0.00137059470012174	0.000650380966030568	925	774	0.0355634774309641	0.30194407788566
bilophila_wadsworthia	a_omega3_fs_dr	a_omega3_fs_dr	-0.000855359341532279	0.000425173923155131	925	493	0.044720953607651	0.332212798228264
erysipelatoclostridium_ramosum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00150499260812792	0.000741876398049134	925	181	0.0428585258014096	0.332212798228264
blautia_sp_cag_257	a_omega3_fs_dr	a_omega3_fs_dr	-0.00200747397561989	0.00102279751148972	925	261	0.0500369548586136	0.354807498088351
bacteroides_caccae	a_omega3_fs_dr	a_omega3_fs_dr	0.00389716618437917	0.00200757173979994	925	575	0.0525979546552435	0.356751344618174
bacteroides_salyersiae	a_omega3_fs_dr	a_omega3_fs_dr	0.00201107531962761	0.00106207224701867	925	235	0.0586078529814202	0.380951044379231
butyrivibrio_sp_cag_318	a_omega3_fs_dr	a_omega3_fs_dr	-0.00321837247601152	0.00173637398640302	925	100	0.0641678169384275	0.400407177695787
hungatella_hathewayi	a_omega3_fs_dr	a_omega3_fs_dr	-0.000504100569189299	0.000275863666039649	925	158	0.0684255647651585	0.410553388590951
roseburia_sp_cag_303	a_omega3_fs_dr	a_omega3_fs_dr	0.00166607571099314	0.000964156335958533	925	134	0.0844271532324255	0.456991314220825
ruminococcus_callidus	a_omega3_fs_dr	a_omega3_fs_dr	-0.000809023868705144	0.000473160884499268	925	125	0.0878829450424664	0.456991314220825
bacteroides_finegoldii	a_omega3_fs_dr	a_omega3_fs_dr	0.0019737033456589	0.00112334247831146	925	307	0.0792634083336945	0.456991314220825
firmicutes_bacterium_cag_95	a_omega3_fs_dr	a_omega3_fs_dr	0.0011049228470501	0.000644540700302325	925	235	0.0868566438512786	0.456991314220825
eubacterium_sp_cag_251	a_omega3_fs_dr	a_omega3_fs_dr	-0.00214969022679231	0.00128669108188103	925	167	0.0951973818122971	0.472786891688331
holdemanella_biformis	a_omega3_fs_dr	a_omega3_fs_dr	0.000932305016669266	0.000561070884417167	925	203	0.0969819265001706	0.472786891688331
clostridium_sp_cag_299	a_omega3_fs_dr	a_omega3_fs_dr	-0.000557851775845854	0.000344393047022129	925	124	0.105751493676352	0.499916151924573
ruminococcus_gnavus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00250654165312238	0.00160485278361781	925	392	0.118759960709292	0.5448986432544
roseburia_sp_cag_182	a_omega3_fs_dr	a_omega3_fs_dr	-0.000747776462531693	0.000502156500114514	925	110	0.13721873778975	0.594614530422251
anaerotruncus_colihominis	a_omega3_fs_dr	a_omega3_fs_dr	-0.000398602701004491	0.000267421695555297	925	188	0.136763043047581	0.594614530422251
asaccharobacter_celatus	a_omega3_fs_dr	a_omega3_fs_dr	0.00101057333160058	0.000696316999809314	925	786	0.147283966561303	0.620981048204411
