feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00425999224907732	0.00102754512302803	925	116	3.75510152948804e-05	0.00585795838600134
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00146161011880633	0.000427037262329711	925	230	0.000656665538862284	0.0512199120312581
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00447531121135131	0.00144646778260741	925	802	0.00209377951050353	0.0816574009096379
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00280782486152145	0.000897774844284793	925	244	0.00182457879483941	0.0816574009096379
clostridium_sp_cag_167	a_omega3_fs_dr	a_omega3_fs_dr	0.00335857343996158	0.00116899914879619	925	298	0.00421332079410439	0.109546340646714
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.00409858743260116	0.00141247171718002	925	561	0.00381093228207394	0.109546340646714
clostridium_sp_cag_253	a_omega3_fs_dr	a_omega3_fs_dr	0.0015108686244992	0.000553932032431881	925	112	0.00658438238637543	0.146737664610652
clostridium_leptum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00202985652277949	0.000785844647600931	925	585	0.0101069696316879	0.166879557761644
enterorhabdus_caecimuris	a_omega3_fs_dr	a_omega3_fs_dr	0.000495233631139283	0.00018981043412534	925	374	0.00933134467952145	0.166879557761644
bifidobacterium_adolescentis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00580664763649435	0.00226880959667874	925	313	0.0106974075488234	0.166879557761644
