feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
eubacterium_sp_cag_251	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00814389092711136	0.00247338452427711	925	167	0.00103306294422032	0.0805789096491851
odoribacter_splanchnicus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00718506926250945	0.00208924325022133	925	721	0.000611563974204549	0.0805789096491851
clostridium_sp_cag_253	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00270942995835376	0.00111300415729943	925	112	0.0151664247890795	0.303723955842174
butyrivibrio_crossotus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0119622855320099	0.00448213954404949	925	122	0.00774804705739433	0.303723955842174
ruminococcus_bicirculans	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0135781221427127	0.00540084435386969	925	558	0.0121390285935955	0.303723955842174
enterorhabdus_caecimuris	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000978093523780961	0.000383452454400181	925	374	0.0109713914992213	0.303723955842174
firmicutes_bacterium_cag_95	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00297251526778158	0.00122661510280961	925	235	0.0155755874790858	0.303723955842174
proteobacteria_bacterium_cag_139	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00315648042453465	0.0013005257973971	925	382	0.0154279760585268	0.303723955842174
acidaminococcus_intestini	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00361006587817493	0.00153256771638671	925	120	0.0187098222265979	0.32430358526103
lachnospira_pectinoschiza	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0090330662110469	0.00408655168403228	925	467	0.0273737199974711	0.427030031960549
dorea_formicigenerans	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00329028584287929	0.00175506947756016	925	827	0.0612803352834999	0.519676926439623
dialister_invisus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00318408453052342	0.00171381779466089	925	244	0.0635123547580721	0.519676926439623
anaerostipes_hadrus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00672771327144345	0.00395078599555633	925	864	0.0891229519069703	0.519676926439623
butyrivibrio_sp_cag_318	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00658214948204978	0.00330702771369481	925	100	0.0468550040086606	0.519676926439623
bacteroides_uniformis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0134259908786821	0.00775931401044797	925	893	0.0839516757377416	0.519676926439623
bacteroides_stercoris	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0104086356695037	0.00607289875131254	925	470	0.0868840741113562	0.519676926439623
bacteroides_intestinalis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00661923186233107	0.00366051830587618	925	249	0.0708953135223359	0.519676926439623
bacteroides_xylanisolvens	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0050729694337242	0.00270085070857069	925	561	0.0606664545182849	0.519676926439623
streptococcus_thermophilus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00363048208558707	0.00210845717536115	925	384	0.0857125367374321	0.519676926439623
paraprevotella_xylaniphila	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00275380661100922	0.00161513515821533	925	254	0.088542753310051	0.519676926439623
parabacteroides_johnsonii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0030895364804353	0.00176239492471868	925	157	0.0799348439660982	0.519676926439623
slackia_isoflavoniconvertens	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00184283170737807	0.00101766418650555	925	216	0.0704963490326521	0.519676926439623
sutterella_parvirubra	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000905739176867408	0.000539082894975075	925	204	0.0932753457712144	0.519676926439623
collinsella_stercoris	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00126967809297213	0.000672376017219483	925	566	0.0593198527566629	0.519676926439623
ruminococcaceae_bacterium_d5	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00164754751101971	0.000834909243669094	925	230	0.0487952860653532	0.519676926439623
clostridium_spiroforme	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00127741193640715	0.000759490689422739	925	289	0.0930624415619072	0.519676926439623
parasutterella_excrementihominis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00353417342156493	0.00196322499282589	925	523	0.0721640045948173	0.519676926439623
firmicutes_bacterium_cag_94	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00206170319755763	0.00108753550511887	925	242	0.0583284820993029	0.519676926439623
collinsella_intestinalis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0020278814486582	0.00123594357985404	925	347	0.101195232474136	0.544360560895351
eubacterium_eligens	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00858101980363065	0.00581313527880998	925	821	0.140372391122304	0.591840351758903
lactobacillus_rogosae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00123922743242253	0.00082197525471145	925	233	0.132114404918814	0.591840351758903
veillonella_parvula	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00150522780599253	0.00100495970179643	925	192	0.134628114314301	0.591840351758903
veillonella_atypica	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00184193946093854	0.00123730659355967	925	160	0.136966636777733	0.591840351758903
clostridium_symbiosum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00126227455978895	0.000843279132516526	925	235	0.13483338653603	0.591840351758903
oscillibacter_sp_cag_241	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00360324269950649	0.00241450082866691	925	511	0.135972422152767	0.591840351758903
bacteroides_massiliensis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00396271260775287	0.00257953318904658	925	317	0.124838621042289	0.591840351758903
clostridium_leptum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00255555889606456	0.00162275182909005	925	585	0.115845496928972	0.591840351758903
alistipes_putredinis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00793054309296329	0.00566669951282683	925	739	0.16201108664152	0.662221571531276
clostridium_bolteae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000973870502614634	0.000708661859847978	925	275	0.169800402956738	0.662221571531276
firmicutes_bacterium_cag_110	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00393803231221441	0.00284818655217148	925	408	0.16711872096154	0.662221571531276
blautia_obeum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0040122521154725	0.00302866956060636	925	801	0.185725649266819	0.672047284999183
ruminococcus_callidus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00123871051994489	0.000952440250980675	925	125	0.193859793749764	0.672047284999183
eisenbergiella_tayi	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00140895133838013	0.00108042884442128	925	244	0.192739667239002	0.672047284999183
bacteroides_vulgatus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00990250410189615	0.00736417855440196	925	785	0.179068623271082	0.672047284999183
bifidobacterium_longum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00500103578874806	0.00375249568869555	925	498	0.182985227032482	0.672047284999183
ruminococcus_gnavus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0035716735608935	0.00311252080448174	925	392	0.251491808152066	0.701652429848147
coprococcus_comes	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00281660131292423	0.00246054129039203	925	752	0.252658985015842	0.701652429848147
coprococcus_catus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00164026891308341	0.00144482383304612	925	595	0.256638085356798	0.701652429848147
hungatella_hathewayi	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000691117256565348	0.000575884221369933	925	158	0.230666093752391	0.701652429848147
roseburia_sp_cag_182	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00109845608065658	0.00104746810778852	925	110	0.294804272594919	0.701652429848147
eubacterium_ramulus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00177028448637006	0.00154294444288378	925	629	0.251595771720244	0.701652429848147
roseburia_intestinalis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00501062450144015	0.00458854697517176	925	696	0.275213872182679	0.701652429848147
clostridium_disporicum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000935488493750107	0.000843119818667807	925	140	0.267635145857877	0.701652429848147
bacteroides_faecis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0021287165529921	0.0020584239770603	925	172	0.301350723075807	0.701652429848147
veillonella_dispar	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00086342561205783	0.000827956949145894	925	171	0.297437761119433	0.701652429848147
ruminococcus_lactaris	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0033903790047857	0.00304979598278878	925	491	0.26660457663434	0.701652429848147
bacteroides_sp_cag_144	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0014482070100251	0.00125513971704704	925	106	0.248905031158455	0.701652429848147
bacteroides_salyersiae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00224148260145474	0.00194770891859257	925	235	0.250127472289352	0.701652429848147
turicimonas_muris	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000843532218429894	0.000795728386171516	925	354	0.289451474951045	0.701652429848147
bacteroides_cellulosilyticus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00422356379475588	0.00405771047086802	925	535	0.29821995566703	0.701652429848147
collinsella_aerofaciens	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00381805710122359	0.00366299724918418	925	745	0.297594772073087	0.701652429848147
adlercreutzia_equolifaciens	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00155681716621591	0.0013159878103324	925	774	0.237236558908884	0.701652429848147
akkermansia_muciniphila	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00729110087626014	0.00604277787874694	925	583	0.227954004572636	0.701652429848147
lawsonibacter_asaccharolyticus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00167944715553654	0.0015320146739981	925	748	0.273287840850298	0.701652429848147
clostridium_innocuum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000971892425772363	0.000819051709058686	925	212	0.235900653627036	0.701652429848147
bifidobacterium_adolescentis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00508008717259914	0.00442842749988816	925	313	0.251651353394162	0.701652429848147
methanobrevibacter_smithii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.003316559496935	0.00300701883699509	925	369	0.270349902232036	0.701652429848147
eubacterium_sp_cag_38	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00267768629943846	0.00268932251057983	925	525	0.319761056393412	0.702573588695385
clostridium_citroniae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000409950931844931	0.000408859573133455	925	233	0.316397513717696	0.702573588695385
parabacteroides_goldsteinii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00139431375392647	0.00136407285924227	925	255	0.306975225881367	0.702573588695385
bifidobacterium_bifidum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00201226505717188	0.00198451292846627	925	116	0.310869549840669	0.702573588695385
blautia_hydrogenotrophica	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000785369068194953	0.00079712735996254	925	213	0.324843000964767	0.703826502090328
dorea_longicatena	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00289007672879905	0.00310996499082032	925	764	0.353026523532023	0.706413009800996
alistipes_inops	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00155314705662447	0.00166475801118063	925	167	0.35109191896072	0.706413009800996
ruminococcus_bromii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00642246629981362	0.00691386551922493	925	514	0.353206504900498	0.706413009800996
clostridium_sp_cag_167	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00219521226280997	0.00233099848997207	925	298	0.346634541394684	0.706413009800996
clostridium_sp_cag_242	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000952549094914106	0.00100500850818209	925	211	0.343499563038146	0.706413009800996
anaeromassilibacillus_sp_an250	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000591131787615538	0.000633504034098396	925	269	0.351074522397031	0.706413009800996
barnesiella_intestinihominis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00307269091108801	0.00349671042923027	925	487	0.379780140167596	0.740571273326812
firmicutes_bacterium_cag_145	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00132607592305379	0.00149894664692007	925	303	0.376579847061696	0.740571273326812
clostridium_lavalense	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000422487467939539	0.000498192202242349	925	236	0.396677988481989	0.763972422261608
roseburia_hominis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00249325999867501	0.0029847951015041	925	802	0.403869309837002	0.766638091852951
erysipelatoclostridium_ramosum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00119178661560473	0.00143931714657552	925	181	0.407890779639711	0.766638091852951
bacteroides_caccae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00310949695453257	0.00387582292961422	925	575	0.422609096751866	0.784845465396322
eubacterium_hallii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00220861713499365	0.0028613364979786	925	846	0.440500377629751	0.794524857634479
flavonifractor_plautii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00132294207183139	0.00172409035556101	925	640	0.443100401373075	0.794524857634479
clostridium_asparagiforme	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000325534602429833	0.000417311338378216	925	136	0.435568049178214	0.794524857634479
paraprevotella_clara	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000414914547473093	0.000570995167280693	925	125	0.467635271059595	0.819675306576368
parabacteroides_merdae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00239628751435234	0.00327711857519406	925	672	0.46483619934839	0.819675306576368
faecalibacterium_prausnitzii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00383360064393595	0.00536563174589859	925	911	0.475189966485278	0.822394842350432
eubacterium_rectale	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00591224592960944	0.00836084378027046	925	871	0.479730324704419	0.822394842350432
parabacteroides_distasonis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00282944978183747	0.00412782125296936	925	797	0.493243865399275	0.827376806476204
bifidobacterium_pseudocatenulatum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00150021927800341	0.00217357256354087	925	150	0.49026838906884	0.827376806476204
bacteroides_nordii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000379129627532078	0.000583952399424196	925	142	0.516356292876729	0.847911386197576
phascolarctobacterium_faecium	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00117816677953783	0.00181408923037532	925	468	0.51621046365589	0.847911386197576
fusicatenibacter_saccharivorans	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00274586054023543	0.00429407512389779	925	873	0.522745340615636	0.849461178500408
roseburia_sp_cag_471	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000574454897661103	0.000919296865821328	925	352	0.532203935954701	0.855915608339519
lactococcus_lactis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000424804553161998	0.000711473605367152	925	135	0.550749935571394	0.876703979072831
prevotella_copri	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00590917731300229	0.0100755192120886	925	232	0.55769395724595	0.878790478084527
blautia_sp_cag_257	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00100209180416963	0.00197082656349792	925	261	0.61125708513205	0.882926900746295
alistipes_shahii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000976958303907741	0.00191783668820027	925	726	0.610593819952858	0.882926900746295
coprococcus_eutactus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00262681764558086	0.00472278026337916	925	213	0.578221476001565	0.882926900746295
bacteroides_dorei	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00300760167949456	0.00543220953118866	925	507	0.579960627901774	0.882926900746295
bacteroides_ovatus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00212823743897799	0.00416103898052479	925	771	0.609154010265079	0.882926900746295
anaerotruncus_colihominis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000289528776391029	0.000545924465315937	925	188	0.596070674090867	0.882926900746295
asaccharobacter_celatus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000787499621016623	0.00140388125839665	925	786	0.575023289827479	0.882926900746295
eubacterium_siraeum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00403770184914244	0.00744713280300119	925	604	0.587842398853249	0.882926900746295
ruminococcaceae_bacterium_d16	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0002716787049571	0.000519986635668413	925	169	0.601469266334489	0.882926900746295
dorea_sp_cag_317	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000730291983324962	0.00168879176341967	925	321	0.665528640643837	0.911950719011981
roseburia_sp_cag_309	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000310224965901883	0.000671344075085478	925	269	0.64415072819306	0.911950719011981
roseburia_sp_cag_303	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000847070422200201	0.00188057012179918	925	134	0.652515814961206	0.911950719011981
eubacterium_sp_cag_180	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00184982897707742	0.00428994110833421	925	138	0.666425525431832	0.911950719011981
intestinibacter_bartlettii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000253314901827575	0.000575014855622775	925	140	0.659725000009959	0.911950719011981
firmicutes_bacterium_cag_83	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00110182046556965	0.00245885645851561	925	649	0.654192141142053	0.911950719011981
clostridium_sp_cag_58	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00055801657783791	0.00152579055316411	925	692	0.714674896261968	0.924154065661093
bacteroides_fragilis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00114366260051947	0.00322225316666296	925	462	0.722735871863163	0.924154065661093
bacteroides_eggerthii	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00180906252852852	0.00509135147092002	925	240	0.722432285248363	0.924154065661093
eisenbergiella_massiliensis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000355760229827329	0.000985748587070405	925	255	0.718269394192664	0.924154065661093
gordonibacter_pamelaeae	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.000411600457982131	0.00113828366051115	925	612	0.717766576971811	0.924154065661093
monoglobus_pectinilyticus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.0010116611975441	0.00269046041843616	925	403	0.706997071640011	0.924154065661093
holdemanella_biformis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.000386798368103199	0.00107793197535088	925	203	0.719805160472867	0.924154065661093
