feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	a_f205_fs_dr	a_f205_fs_dr	0.00557791203951314	0.00210321453523004	925	112	0.00819989949114975	0.182740617231337
eubacterium_sp_cag_251	a_f205_fs_dr	a_f205_fs_dr	-0.0135792477430518	0.00476279808442187	925	167	0.00446901891441534	0.182740617231337
butyrivibrio_crossotus	a_f205_fs_dr	a_f205_fs_dr	-0.0256762794697032	0.00868607997889528	925	122	0.00320158374203917	0.182740617231337
oscillibacter_sp_cag_241	a_f205_fs_dr	a_f205_fs_dr	0.0127099987241846	0.00464034280808101	925	511	0.0062966197119981	0.182740617231337
odoribacter_splanchnicus	a_f205_fs_dr	a_f205_fs_dr	-0.0129701595321309	0.00402635412190979	925	721	0.00132711432043083	0.182740617231337
enterorhabdus_caecimuris	a_f205_fs_dr	a_f205_fs_dr	0.0019323801539834	0.000719757054428637	925	374	0.00745667783128719	0.182740617231337
firmicutes_bacterium_cag_94	a_f205_fs_dr	a_f205_fs_dr	0.0058152758524126	0.00208484191821807	925	242	0.00540835004365876	0.182740617231337
firmicutes_bacterium_cag_110	a_f205_fs_dr	a_f205_fs_dr	0.0140738915664253	0.00550527142930004	925	408	0.0107469804188584	0.209566118167739
proteobacteria_bacterium_cag_139	a_f205_fs_dr	a_f205_fs_dr	-0.00605593260613324	0.00258249579825705	925	382	0.0192480292491576	0.333632506985398
dorea_formicigenerans	a_f205_fs_dr	a_f205_fs_dr	0.00696639619323449	0.00329399496895054	925	827	0.0348640019664602	0.449315699091496
roseburia_hominis	a_f205_fs_dr	a_f205_fs_dr	0.0106157768763167	0.00557932458127412	925	802	0.057604576806602	0.449315699091496
dialister_invisus	a_f205_fs_dr	a_f205_fs_dr	-0.00664634879557828	0.00332333102249836	925	244	0.0458246372528208	0.449315699091496
clostridium_sp_cag_242	a_f205_fs_dr	a_f205_fs_dr	0.0037930314947699	0.00192591615909027	925	211	0.049250763175904	0.449315699091496
bacteroides_sp_cag_144	a_f205_fs_dr	a_f205_fs_dr	-0.00495912170809951	0.00249456579187707	925	106	0.0471284951170457	0.449315699091496
lachnospira_pectinoschiza	a_f205_fs_dr	a_f205_fs_dr	0.0147929052787144	0.0077747446925057	925	467	0.0575001089176152	0.449315699091496
streptococcus_thermophilus	a_f205_fs_dr	a_f205_fs_dr	0.00788008165010437	0.00391135828739044	925	384	0.0445107903211851	0.449315699091496
paraprevotella_xylaniphila	a_f205_fs_dr	a_f205_fs_dr	0.00685013679971813	0.0031758801004102	925	254	0.0312739551116622	0.449315699091496
sutterella_parvirubra	a_f205_fs_dr	a_f205_fs_dr	-0.00219761114382113	0.00105655474357416	925	204	0.037808755439058	0.449315699091496
collinsella_intestinalis	a_f205_fs_dr	a_f205_fs_dr	-0.00466803042225454	0.00241181856127604	925	347	0.0532468508154949	0.449315699091496
firmicutes_bacterium_cag_95	a_f205_fs_dr	a_f205_fs_dr	-0.00453958545272114	0.00238042790230669	925	235	0.056849526035978	0.449315699091496
bacteroides_vulgatus	a_f205_fs_dr	a_f205_fs_dr	-0.0261964819841466	0.0142515569468378	925	785	0.0663890558701926	0.487076450166983
ruminococcus_bicirculans	a_f205_fs_dr	a_f205_fs_dr	0.0183262526668993	0.0102751085070942	925	558	0.0749348384872282	0.487076450166983
akkermansia_muciniphila	a_f205_fs_dr	a_f205_fs_dr	0.0209505089408184	0.011515626932771	925	583	0.0692799939753839	0.487076450166983
bifidobacterium_adolescentis	a_f205_fs_dr	a_f205_fs_dr	-0.0151999702257928	0.0084688775767046	925	313	0.0730854280553717	0.487076450166983
lawsonibacter_asaccharolyticus	a_f205_fs_dr	a_f205_fs_dr	0.00509642772892426	0.00293751706314984	925	748	0.0831446043059605	0.516364473024781
parasutterella_excrementihominis	a_f205_fs_dr	a_f205_fs_dr	-0.00660258305443715	0.00384219789353283	925	523	0.0860607455041301	0.516364473024781
alistipes_inops	a_f205_fs_dr	a_f205_fs_dr	-0.0053168470983506	0.00325977455404604	925	167	0.103229054591547	0.559980687951199
bacteroides_uniformis	a_f205_fs_dr	a_f205_fs_dr	-0.023910582290747	0.0148458120647045	925	893	0.107688593836769	0.559980687951199
slackia_isoflavoniconvertens	a_f205_fs_dr	a_f205_fs_dr	0.00321831529470416	0.00199151383741414	925	216	0.106442205032963	0.559980687951199
ruminococcaceae_bacterium_d5	a_f205_fs_dr	a_f205_fs_dr	-0.00262849556783499	0.0015971769858119	925	230	0.10024391844564	0.559980687951199
coprococcus_eutactus	a_f205_fs_dr	a_f205_fs_dr	0.0137923390438381	0.00906001477581589	925	213	0.12833487822794	0.57326246759552
bacteroides_faecis	a_f205_fs_dr	a_f205_fs_dr	-0.00620824685415124	0.00406041238070979	925	172	0.126622315474194	0.57326246759552
