feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
adlercreutzia_equolifaciens	a_p22_5_fs_dr	a_p22_5_fs_dr	0.119374490209545	0.0282701495361935	925	774	2.66441863208672e-05	0.0124694791981658
streptococcus_thermophilus	a_f205_fs_dr	a_f205_fs_dr	0.0269742341202174	0.00802194495588562	925	384	0.000816504538447411	0.0571187104186671
collinsella_intestinalis	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0776305537165417	0.0233453209839446	925	347	0.000923685932263544	0.0571187104186671
adlercreutzia_equolifaciens	a_f226_fs_dr	a_f226_fs_dr	-0.0228369398977137	0.00678126201580215	925	774	0.000790388527665143	0.0571187104186671
bifidobacterium_bifidum	a_f226_fs_dr	a_f226_fs_dr	-0.0317929423610199	0.00922994524615159	925	116	0.000600474084384992	0.0571187104186671
firmicutes_bacterium_cag_94	a_f205_fs_dr	a_f205_fs_dr	0.0131151230892903	0.00374827938262295	925	242	0.000489846783860448	0.0571187104186671
firmicutes_bacterium_cag_95	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0783689452779351	0.0236831196470246	925	235	0.000976388212284908	0.0571187104186671
firmicutes_bacterium_cag_110	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.185485377581512	0.0546674793389876	925	408	0.000724107701100157	0.0571187104186671
streptococcus_thermophilus	a_p22_5_fs_dr	a_p22_5_fs_dr	0.154410754529524	0.0484086872202372	925	384	0.00148672032166615	0.0695785110539759
asaccharobacter_celatus	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0966276302459771	0.0301124108604465	925	786	0.00138016052997663	0.0695785110539759
roseburia_hominis	a_f205_fs_dr	a_f205_fs_dr	0.0336918394637236	0.0110014418011079	925	802	0.00226953105926942	0.0864539185163375
streptococcus_thermophilus	a_f226_fs_dr	a_f226_fs_dr	-0.0359296559101151	0.0117218659779105	925	384	0.00225372545278094	0.0864539185163375
eubacterium_rectale	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.545308845823654	0.179129520158803	925	871	0.00240149773656493	0.0864539185163375
bacteroides_salyersiae	a_f226_fs_dr	a_f226_fs_dr	-0.0245838700395173	0.00832168937820813	925	235	0.00323941599244584	0.0903401151517064
enterorhabdus_caecimuris	a_f205_fs_dr	a_f205_fs_dr	0.00415472675313715	0.00139498384773601	925	374	0.00298262126336598	0.0903401151517064
ruthenibacterium_lactatiformans	a_f226_fs_dr	a_f226_fs_dr	-0.0255429490351047	0.00858146729237475	925	782	0.00299442763399433	0.0903401151517064
adlercreutzia_equolifaciens	a_f205_fs_dr	a_f205_fs_dr	0.014050112206757	0.00476505126573791	925	774	0.00328158537944233	0.0903401151517064
eubacterium_sp_cag_180	a_p22_5_fs_dr	a_p22_5_fs_dr	0.232987568361454	0.0828943714911928	925	138	0.00506030820694167	0.121591864291385
oscillibacter_sp_cag_241	a_f205_fs_dr	a_f205_fs_dr	0.023139664292027	0.00824808580566676	925	511	0.0051326433207986	0.121591864291385
enterorhabdus_caecimuris	a_p22_5_fs_dr	a_p22_5_fs_dr	0.023232709852721	0.00829256577374188	925	374	0.00519623351672587	0.121591864291385
eubacterium_eligens	a_f226_fs_dr	a_f226_fs_dr	0.0821420062007345	0.0298901837441237	925	821	0.00611367584265333	0.136247633064846
bacteroides_salyersiae	a_p22_5_fs_dr	a_p22_5_fs_dr	0.094394897286131	0.035269223470722	925	235	0.00761181032419881	0.148430301321877
holdemanella_biformis	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0565376904079559	0.0211141971664063	925	203	0.00755543164906613	0.148430301321877
bifidobacterium_bifidum	a_f205_fs_dr	a_f205_fs_dr	0.0181741676013406	0.00678303353821966	925	116	0.00751089306426107	0.148430301321877
ruthenibacterium_lactatiformans	a_f205_fs_dr	a_f205_fs_dr	0.0157495603638854	0.00601033818503315	925	782	0.00894600380373135	0.167469191205851
lactobacillus_rogosae	a_f226_fs_dr	a_f226_fs_dr	0.0109138300333197	0.00420771120027529	925	233	0.0096468775090545	0.173643795162981
blautia_wexlerae	a_f205_fs_dr	a_f205_fs_dr	-0.0321312836841332	0.0125598877731289	925	790	0.0106920008890126	0.178709157716354
ruthenibacterium_lactatiformans	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0916074061596021	0.03574131936184	925	782	0.0105419194552528	0.178709157716354
butyrivibrio_crossotus	a_f205_fs_dr	a_f205_fs_dr	-0.0379899823814592	0.0152683083142257	925	122	0.013021888864362	0.206602059765341
asaccharobacter_celatus	a_f226_fs_dr	a_f226_fs_dr	-0.0179196298132426	0.00721962643760599	925	786	0.0132437217798296	0.206602059765341
acidaminococcus_intestini	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0697849251122665	0.0284390244346707	925	120	0.0143571321984652	0.216746382867152
collinsella_intestinalis	a_f226_fs_dr	a_f226_fs_dr	-0.0133996762823004	0.00552876438430557	925	347	0.0155931975382587	0.228050513997033
prevotella_copri	a_f205_fs_dr	a_f205_fs_dr	0.081149976120796	0.0337454677140481	925	232	0.0163932504424165	0.232486097183361
turicimonas_muris	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0394306657495464	0.0165513269601294	925	354	0.0174095694416352	0.239637602902508
ruminococcus_bicirculans	a_f226_fs_dr	a_f226_fs_dr	0.0632306832534816	0.0267314154996544	925	558	0.0182217775982633	0.243651197599635
