feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
blautia_obeum	a_f205_fs_dr	a_f205_fs_dr	-0.323200616541828	33992.1152231908	925	801	0.999992413629447	0.999999978276768
blautia_obeum	a_f226_fs_dr	a_f226_fs_dr	-0.836935587974829	33992.1152238541	925	801	0.999980354915263	0.999999978276768
blautia_obeum	a_p22_5_fs_dr	a_p22_5_fs_dr	1.78786630702353	33992.1153378809	925	801	0.99995803406442	0.999999978276768
blautia_obeum	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.627730230044978	33992.1152250399	925	801	0.99998526551656	0.999999978276768
dorea_sp_cag_317	a_f205_fs_dr	a_f205_fs_dr	-0.0877442254704806	183162.584644624	925	321	0.999999617772577	0.999999978276768
dorea_sp_cag_317	a_f226_fs_dr	a_f226_fs_dr	-0.948258608046922	183162.584648641	925	321	0.999995869238772	0.999999978276768
dorea_sp_cag_317	a_p22_5_fs_dr	a_p22_5_fs_dr	1.40317473500527	183162.587182268	925	321	0.999993887553816	0.999999978276768
dorea_sp_cag_317	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.367172109348938	183162.584203354	925	321	0.999998400541473	0.999999978276768
roseburia_faecis	a_f205_fs_dr	a_f205_fs_dr	-0.4292169774622	580594.629816146	925	727	0.999999410146801	0.999999978276768
roseburia_faecis	a_f226_fs_dr	a_f226_fs_dr	-0.977270689033843	580594.632836416	925	727	0.999998656981738	0.999999978276768
roseburia_faecis	a_p22_5_fs_dr	a_p22_5_fs_dr	1.97794590195563	580594.623242561	925	727	0.999997281799669	0.999999978276768
roseburia_faecis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.571458026096008	580594.628499663	925	727	0.999999214671453	0.999999978276768
alistipes_inops	a_f205_fs_dr	a_f205_fs_dr	-1.51527581113864	61356.2493311894	925	167	0.999980295158389	0.999999978276768
alistipes_inops	a_f226_fs_dr	a_f226_fs_dr	1.53587459100436	61356.2494907818	925	167	0.999980027289257	0.999999978276768
alistipes_inops	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.388216709141745	61356.2490078155	925	167	0.999994951579937	0.999999978276768
alistipes_inops	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.367617534210643	61356.2493556443	925	167	0.999995219454287	0.999999978276768
dorea_formicigenerans	a_f205_fs_dr	a_f205_fs_dr	0.207625976728967	15146.9566238686	925	827	0.999989063046435	0.999999978276768
dorea_formicigenerans	a_f226_fs_dr	a_f226_fs_dr	-0.362069959229287	15146.956615332	925	827	0.999980927519784	0.999999978276768
dorea_formicigenerans	a_p22_5_fs_dr	a_p22_5_fs_dr	0.346729480251606	15146.9567901737	925	827	0.999981735598584	0.999999978276768
dorea_formicigenerans	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.192285428958811	15146.9566219425	925	827	0.999989871128646	0.999999978276768
roseburia_hominis	a_f205_fs_dr	a_f205_fs_dr	0.961225046373789	8923.72709556282	925	802	0.999914055347697	0.999999978276768
roseburia_hominis	a_f226_fs_dr	a_f226_fs_dr	-0.786025574704659	8923.72708897882	925	802	0.999929720209573	0.999999978276768
roseburia_hominis	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.240867243009069	8923.7272996198	925	802	0.999978463679142	0.999999978276768
roseburia_hominis	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.065667818596649	8923.72708468465	925	802	0.999994128536417	0.999999978276768
