feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
butyrivibrio_sp_cag_318	a_p22_5_fs_dr	a_p22_5_fs_dr	-7.67285088681394	1.58542247979122	925	100	1.62305853635038e-06	0.000759591395011977
eubacterium_rectale	a_p22_5_fs_dr	a_p22_5_fs_dr	-19.3414192784302	4.69472725929139	925	871	4.14135488090616e-05	0.00969077042132042
ruthenibacterium_lactatiformans	a_f226_fs_dr	a_f226_fs_dr	-4.49362122059314	1.19298846428142	925	782	0.00017672359200162	0.0275688803522527
eubacterium_sp_cag_180	a_p22_5_fs_dr	a_p22_5_fs_dr	16.4080106110085	4.48172241916051	925	138	0.000267375583669164	0.0312829432892922
ruminococcus_callidus	a_p22_5_fs_dr	a_p22_5_fs_dr	-11.2499784370797	3.24823020718673	925	125	0.000558423555306622	0.0504818808668818
ruthenibacterium_lactatiformans	a_f205_fs_dr	a_f205_fs_dr	2.83665583390333	0.828225971403973	925	782	0.000647203600857459	0.0504818808668818
bifidobacterium_pseudocatenulatum	a_p22_5_fs_dr	a_p22_5_fs_dr	9.98093955501554	3.0411874629277	925	150	0.00107593050682896	0.0719336395994219
lactobacillus_rogosae	a_f226_fs_dr	a_f226_fs_dr	2.7457814298613	0.857499626169281	925	233	0.00141218534184591	0.0826128424979857
bacteroides_sp_cag_144	a_f205_fs_dr	a_f205_fs_dr	-0.746470568749691	0.243149965084256	925	106	0.00222359589174761	0.115626986370876
dialister_invisus	a_f205_fs_dr	a_f205_fs_dr	-1.84261699017012	0.61451825462783	925	244	0.00279054230014325	0.120107724776493
bifidobacterium_bifidum	a_f226_fs_dr	a_f226_fs_dr	-2.13962451943245	0.714282899717039	925	116	0.00282304481312269	0.120107724776493
streptococcus_thermophilus	a_f205_fs_dr	a_f205_fs_dr	2.53601232454578	0.871660366989317	925	384	0.00373984660736987	0.145854017687425
bacteroides_cellulosilyticus	a_f205_fs_dr	a_f205_fs_dr	-2.00362750588187	0.696626639408487	925	535	0.00413909348012211	0.149007365284396
ruthenibacterium_lactatiformans	a_p22_5_fs_dr	a_p22_5_fs_dr	13.9706286283275	4.95485979342759	925	782	0.00492283007691713	0.164563176856944
butyrivibrio_crossotus	a_f205_fs_dr	a_f205_fs_dr	-1.80065063432896	0.645123605921643	925	122	0.00536868624767141	0.167503010927348
bacteroides_salyersiae	a_f226_fs_dr	a_f226_fs_dr	-1.83127870897422	0.678041849836608	925	235	0.00709342463272834	0.207482670507304
roseburia_hominis	a_f205_fs_dr	a_f205_fs_dr	2.24510456273866	0.840156283361565	925	802	0.00767928174764567	0.211406109288128
collinsella_intestinalis	a_p22_5_fs_dr	a_p22_5_fs_dr	9.59243673725733	3.64998938044331	925	347	0.00873480747498382	0.227104994349579
dialister_invisus	a_p22_5_fs_dr	a_p22_5_fs_dr	-8.73228385210811	3.46029307191586	925	244	0.0118110291020088	0.290924295775797
prevotella_copri	a_f205_fs_dr	a_f205_fs_dr	2.06375066026567	0.82935365508416	925	232	0.0130296719123033	0.292970274590846
bacteroides_cellulosilyticus	a_f226_fs_dr	a_f226_fs_dr	2.22361297665553	0.894326570877532	925	535	0.0131461020649739	0.292970274590846
ruminococcus_bromii	a_f226_fs_dr	a_f226_fs_dr	2.93372422400986	1.20836347111043	925	514	0.0153997124468038	0.313350670656704
collinsella_intestinalis	a_f226_fs_dr	a_f226_fs_dr	-2.12298756421178	0.869726995129138	925	347	0.0148437858615825	0.313350670656704
bacteroides_stercoris	a_f226_fs_dr	a_f226_fs_dr	-2.03505879179945	0.857581137955321	925	470	0.0179210299936828	0.317020391635179
bacteroides_salyersiae	a_p22_5_fs_dr	a_p22_5_fs_dr	6.7598839131226	2.87981097318389	925	235	0.0191982315631001	0.317020391635179
clostridium_lavalense	a_f205_fs_dr	a_f205_fs_dr	-1.42239750984342	0.614361787076154	925	236	0.0208279664978288	0.317020391635179
streptococcus_thermophilus	a_f226_fs_dr	a_f226_fs_dr	-2.89115800976836	1.27285783103219	925	384	0.0234027469282696	0.317020391635179
eisenbergiella_massiliensis	a_f226_fs_dr	a_f226_fs_dr	2.055617736236	0.902626657591971	925	255	0.0230049100228851	0.317020391635179
collinsella_stercoris	a_f226_fs_dr	a_f226_fs_dr	-2.19969826070436	0.970869525150394	925	566	0.0237087899727164	0.317020391635179
enterorhabdus_caecimuris	a_p22_5_fs_dr	a_p22_5_fs_dr	8.68823651582599	3.81460693604281	925	374	0.0230220405673169	0.317020391635179
asaccharobacter_celatus	a_p22_5_fs_dr	a_p22_5_fs_dr	10.2109483896465	4.49705889565974	925	786	0.0234069900878621	0.317020391635179
eubacterium_siraeum	a_f205_fs_dr	a_f205_fs_dr	2.39033684565687	1.04267881148193	925	604	0.0221067836591048	0.317020391635179
akkermansia_muciniphila	a_p22_5_fs_dr	a_p22_5_fs_dr	-15.5641760466373	6.50752256364268	925	583	0.0169768422063209	0.317020391635179
bifidobacterium_bifidum	a_f205_fs_dr	a_f205_fs_dr	1.23709515004782	0.528911739060033	925	116	0.0195580162061007	0.317020391635179
firmicutes_bacterium_cag_110	a_f205_fs_dr	a_f205_fs_dr	1.71683346022526	0.730564846802558	925	408	0.0190039257930729	0.317020391635179
lactobacillus_rogosae	a_f205_fs_dr	a_f205_fs_dr	-1.35415406748318	0.605097352144314	925	233	0.0254857669458239	0.33131497029571
bacteroides_ovatus	a_p22_5_fs_dr	a_p22_5_fs_dr	-9.62655271996439	4.32326803676203	925	771	0.0262327948306141	0.331809404884524
alistipes_inops	a_f205_fs_dr	a_f205_fs_dr	-1.44265771323333	0.65432667773351	925	167	0.0277331612325595	0.341555775179943
roseburia_hominis	a_f226_fs_dr	a_f226_fs_dr	-2.61400257522368	1.1916232803503	925	802	0.0285154721622853	0.342185665947423
adlercreutzia_equolifaciens	a_p22_5_fs_dr	a_p22_5_fs_dr	9.54246297298678	4.39391897892656	925	774	0.0301345236898361	0.352573927171082
lactobacillus_rogosae	a_p22_5_fs_dr	a_p22_5_fs_dr	-7.61805966003808	3.578911955182	925	233	0.0335604216791774	0.366297791362743
coprobacter_fastidiosus	a_p22_5_fs_dr	a_p22_5_fs_dr	7.03873853757364	3.32208213922034	925	251	0.0344382538888049	0.366297791362743
streptococcus_thermophilus	a_p22_5_fs_dr	a_p22_5_fs_dr	11.270555085508	5.25820013437074	925	384	0.0324124828746953	0.366297791362743
parabacteroides_johnsonii	a_p22_5_fs_dr	a_p22_5_fs_dr	3.73626374904003	1.76291050338725	925	157	0.034421479768766	0.366297791362743
clostridium_sp_cag_242	a_p22_5_fs_dr	a_p22_5_fs_dr	-7.26441073195141	3.52269560421878	925	211	0.0395050255730402	0.410852265959618
dialister_invisus	a_f226_fs_dr	a_f226_fs_dr	1.66596895900454	0.819397187070042	925	244	0.0423747212518252	0.420491200588781
eubacterium_sp_cag_180	a_f226_fs_dr	a_f226_fs_dr	-2.15463865124612	1.06228254994268	925	138	0.0428609555661475	0.420491200588781
holdemanella_biformis	a_p22_5_fs_dr	a_p22_5_fs_dr	5.93379492399552	2.92909831815129	925	203	0.0431273026244904	0.420491200588781
lawsonibacter_asaccharolyticus	a_f205_fs_dr	a_f205_fs_dr	1.42875015286713	0.710798631934382	925	748	0.0447257288593733	0.427176349105852
firmicutes_bacterium_cag_95	a_p22_5_fs_dr	a_p22_5_fs_dr	-6.10492701880737	3.05532291843837	925	235	0.0460368170779646	0.430904607849749
ruminococcus_callidus	a_f226_fs_dr	a_f226_fs_dr	1.53484168988238	0.775657191429437	925	125	0.0481479188873033	0.441827961554078
enterorhabdus_caecimuris	a_f205_fs_dr	a_f205_fs_dr	1.24675926602202	0.634067147969051	925	374	0.0496488289214135	0.446839460292722
dorea_longicatena	a_p22_5_fs_dr	a_p22_5_fs_dr	7.04450556249313	3.74642284894793	925	764	0.0604113618013925	0.487873667077061
alistipes_inops	a_f226_fs_dr	a_f226_fs_dr	1.62628538219157	0.867843133246037	925	167	0.0613212764581309	0.487873667077061
eubacterium_sp_cag_251	a_p22_5_fs_dr	a_p22_5_fs_dr	-6.57558136556079	3.51168303167749	925	167	0.0615054409349286	0.487873667077061
butyrivibrio_crossotus	a_p22_5_fs_dr	a_p22_5_fs_dr	-6.88058941195585	3.6136309683016	925	122	0.0572713203747931	0.487873667077061
clostridium_leptum	a_f226_fs_dr	a_f226_fs_dr	-2.70927284571286	1.4462649548729	925	585	0.0613769287013009	0.487873667077061
enterorhabdus_caecimuris	a_f226_fs_dr	a_f226_fs_dr	-1.73947126992234	0.921514928889212	925	374	0.0594369472415945	0.487873667077061
ruminococcaceae_bacterium_d16	a_f205_fs_dr	a_f205_fs_dr	0.878070147598263	0.458935845478174	925	169	0.0560309578621135	0.487873667077061
haemophilus_sp_hmsc71h05	a_p22_5_fs_dr	a_p22_5_fs_dr	-6.27403406002671	3.39651146979551	925	130	0.0651486998269927	0.508159858650543
coprococcus_eutactus	a_f205_fs_dr	a_f205_fs_dr	1.71449229183526	0.948426533452273	925	213	0.0709886860650326	0.513236766175813
ruminococcus_bromii	a_p22_5_fs_dr	a_p22_5_fs_dr	-9.15359752921155	5.08825773000678	925	514	0.0723795439478711	0.513236766175813
eisenbergiella_massiliensis	a_f205_fs_dr	a_f205_fs_dr	-1.19825450058704	0.654715383378395	925	255	0.0675508342492847	0.513236766175813
