feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
butyrivibrio_sp_cag_318	a_p22_5_fs_dr	a_p22_5_fs_dr	-7.67285088681394	1.58542247979122	925	100	1.62305853635038e-06	0.000759591395011977
eubacterium_rectale	a_p22_5_fs_dr	a_p22_5_fs_dr	-19.3414192784302	4.69472725929139	925	871	4.14135488090616e-05	0.00969077042132042
ruthenibacterium_lactatiformans	a_f226_fs_dr	a_f226_fs_dr	-4.49362122059314	1.19298846428142	925	782	0.00017672359200162	0.0275688803522527
eubacterium_sp_cag_180	a_p22_5_fs_dr	a_p22_5_fs_dr	16.4080106110085	4.48172241916051	925	138	0.000267375583669164	0.0312829432892922
ruminococcus_callidus	a_p22_5_fs_dr	a_p22_5_fs_dr	-11.2499784370797	3.24823020718673	925	125	0.000558423555306622	0.0504818808668818
ruthenibacterium_lactatiformans	a_f205_fs_dr	a_f205_fs_dr	2.83665583390333	0.828225971403973	925	782	0.000647203600857459	0.0504818808668818
bifidobacterium_pseudocatenulatum	a_p22_5_fs_dr	a_p22_5_fs_dr	9.98093955501554	3.0411874629277	925	150	0.00107593050682896	0.0719336395994219
lactobacillus_rogosae	a_f226_fs_dr	a_f226_fs_dr	2.7457814298613	0.857499626169281	925	233	0.00141218534184591	0.0826128424979857
bacteroides_sp_cag_144	a_f205_fs_dr	a_f205_fs_dr	-0.746470568749691	0.243149965084256	925	106	0.00222359589174761	0.115626986370876
dialister_invisus	a_f205_fs_dr	a_f205_fs_dr	-1.84261699017012	0.61451825462783	925	244	0.00279054230014325	0.120107724776493
bifidobacterium_bifidum	a_f226_fs_dr	a_f226_fs_dr	-2.13962451943245	0.714282899717039	925	116	0.00282304481312269	0.120107724776493
streptococcus_thermophilus	a_f205_fs_dr	a_f205_fs_dr	2.53601232454578	0.871660366989317	925	384	0.00373984660736987	0.145854017687425
bacteroides_cellulosilyticus	a_f205_fs_dr	a_f205_fs_dr	-2.00362750588187	0.696626639408487	925	535	0.00413909348012211	0.149007365284396
ruthenibacterium_lactatiformans	a_p22_5_fs_dr	a_p22_5_fs_dr	13.9706286283275	4.95485979342759	925	782	0.00492283007691713	0.164563176856944
butyrivibrio_crossotus	a_f205_fs_dr	a_f205_fs_dr	-1.80065063432896	0.645123605921643	925	122	0.00536868624767141	0.167503010927348
bacteroides_salyersiae	a_f226_fs_dr	a_f226_fs_dr	-1.83127870897422	0.678041849836608	925	235	0.00709342463272834	0.207482670507304
roseburia_hominis	a_f205_fs_dr	a_f205_fs_dr	2.24510456273866	0.840156283361565	925	802	0.00767928174764567	0.211406109288128
collinsella_intestinalis	a_p22_5_fs_dr	a_p22_5_fs_dr	9.59243673725733	3.64998938044331	925	347	0.00873480747498382	0.227104994349579
