feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
streptococcus_salivarius	acid	acid	0.0403331625857809	0.00524807335036245	925	574	1.48594791843318e-13	5.74694253556004e-10
streptococcus_parasanguinis	acid	acid	0.024246751417616	0.00319453036823651	925	416	1.99131757988913e-13	5.74694253556004e-10
phascolarctobacterium_succinatutens	prep	prep	-0.0256227762280707	0.00373294589768799	925	104	1.99835792415915e-11	3.8448406460822e-08
haemophilus_parainfluenzae	bristol	bristol	0.0024264873795588	0.000443744110905448	925	208	6.47674137404354e-08	9.34593780274482e-05
streptococcus_thermophilus	yogurt	yogurt	0.0169508215895964	0.00318231112988324	925	384	1.80965177164764e-07	0.000208906200519003
ruthenibacterium_lactatiformans	bristol	bristol	-0.0037917908649217	0.000737829244825875	925	782	3.67883254314647e-07	0.000353903690650691
veillonella_dispar	acid	acid	0.00724744519163453	0.00147306610834616	925	171	1.3695190258343e-06	0.00112926625958794
clostridium_bolteae	bristol	bristol	-0.00132839367391914	0.000292124266263793	925	275	6.56670833035328e-06	0.00379030404827991
paraprevotella_clara	acid	acid	-0.00542888731303248	0.00118485176001088	925	125	5.4974988486588e-06	0.00379030404827991
escherichia_coli	abx	abx	-0.035581701148104	0.00782334180808874	925	300	6.43145966211744e-06	0.00379030404827991
ruminococcus_torques	abx	abx	-0.0231539862719359	0.00513701688080718	925	714	7.74381827247005e-06	0.00406339264260883
veillonella_atypica	acid	acid	0.0106003739134693	0.00244718894269136	925	160	1.80449255280469e-05	0.00801194693445284
haemophilus_parainfluenzae	acid	acid	0.00761874907524896	0.0017463831625695	925	208	1.70595473441286e-05	0.00801194693445284
akkermansia_muciniphila	bristol	bristol	-0.0103359210214503	0.00244455576800427	925	583	2.75350412149098e-05	0.0113523041351757
blautia_hydrogenotrophica	bristol	bristol	-0.00148708881408597	0.000357230411241927	925	213	3.58742454218559e-05	0.0138044096383302
catenibacterium_mitsuokai	prep	prep	0.0108768811479975	0.00265309524081288	925	98	4.73808594785778e-05	0.0170926450568969
acidaminococcus_intestini	acid	acid	0.0137082313568889	0.00338534166782846	925	120	5.75838796540837e-05	0.0195514207860806
clostridium_sp_cag_253	yogurt	yogurt	-0.00564675919022633	0.00141829568686073	925	112	7.60465853579669e-05	0.0231021521413781
eubacterium_sp_cag_180	logtg	logtg	-0.0366892938445032	0.00920916829399174	925	138	7.54430545607523e-05	0.0231021521413781
barnesiella_intestinihominis	crp	crp	0.00631682809580157	0.00159745518769938	925	487	8.55466759083148e-05	0.0246887706671397
clostridium_sp_cag_58	logtg	logtg	0.0120430988613324	0.0030974304557164	925	692	0.000114793735480424	0.029825775836094
haemophilus_sp_hmsc71h05	bristol	bristol	0.00110907655012639	0.000285927809815383	925	130	0.000115228164190401	0.029825775836094
bifidobacterium_bifidum	a_trn07_fo_dr	a_trn07_fo_dr	0.00443221745715597	0.0011440267459382	925	116	0.000118848379111255	0.029825775836094
ruminococcus_torques	prep	prep	-0.037080443656418	0.00967578347987143	925	714	0.000139115730988171	0.033457333302655
clostridium_sp_cag_167	ala10v	ala10v	-0.0820294299346193	0.0212520580843138	925	298	0.00014920775581451	0.0344251509472181
agathobaculum_butyriciproducens	trans10v	trans10v	-0.00969989667599482	0.00252217407863938	925	821	0.000155068247509991	0.0344251509472181
veillonella_atypica	probx	probx	0.0127927179189494	0.00341122741777422	925	160	0.000193715471397418	0.0405695777960998
