feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
escherichia_coli	abx	abx	-0.0343814802570399	0.00719757748109315	923	300	2.14728185317184e-06	0.00167487984547403
eubacterium_sp_cag_251	logcrp	logcrp	-0.00597141517485154	0.001307349992486	923	167	5.81357166728433e-06	0.00226729295024089
bifidobacterium_bifidum	a_ala_fs_dr	a_ala_fs_dr	-0.00529449594076218	0.00124591253820965	923	116	2.428236919854e-05	0.00631341599162041
ruminococcus_torques	abx	abx	-0.0203090241249345	0.00488819313165162	923	712	3.63037957577246e-05	0.00707924017275629
phascolarctobacterium_succinatutens	abx	abx	-0.00794823367107363	0.00202646987363393	923	104	9.78519497932674e-05	0.0152649041677497
roseburia_hominis	a_ala_fs_dr	a_ala_fs_dr	0.00678490482459464	0.0018227782253918	923	800	0.000227417299032541	0.0276831712464674
flavonifractor_plautii	abx	abx	0.00873815388861269	0.00237359069724307	923	639	0.000248438716314451	0.0276831712464674
barnesiella_intestinihominis	logcrp	logcrp	0.00704480128554755	0.00196707347334926	923	487	0.000367355369022249	0.0358171484796693
bacteroides_stercoris	bmi12	bmi12	0.00745253645246356	0.00216146109943074	923	468	0.000653526405743868	0.0509750596480217
clostridium_lavalense	abx	abx	0.00251166952628302	0.000729852703517919	923	235	0.00061159674224208	0.0509750596480217
bacteroides_uniformis	logcrp	logcrp	0.0149361605342434	0.00455014912053146	923	891	0.00107642320626517	0.0701079707135163
parabacteroides_distasonis	logcrp	logcrp	0.00807066656092011	0.00245906664864385	923	795	0.00107858416482333	0.0701079707135163
dorea_longicatena	abx	abx	-0.014139156597538	0.00448927896169665	923	763	0.00170012664255925	0.0792340424222878
roseburia_faecis	abx	abx	-0.0312302545221064	0.00980106437735768	923	726	0.00150510799179365	0.0792340424222878
hungatella_hathewayi	abx	abx	0.00256645430556996	0.000821411859015129	923	158	0.00188135611297987	0.0792340424222878
bacteroides_caccae	a_ala_fs_dr	a_ala_fs_dr	0.0083812779424174	0.00270486135881807	923	574	0.00203164211339199	0.0792340424222878
