feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00641464055631495	0.00143359148280795	923	111	8.69315271536958e-06	0.00226021970599609
flavonifractor_plautii	abx	abx	0.0102133694461796	0.00226764122562169	923	639	7.57015874045578e-06	0.00226021970599609
escherichia_coli	abx	abx	-0.0278910185150209	0.00613455562076732	923	300	6.2521956354302e-06	0.00226021970599609
bifidobacterium_bifidum	a_ala_fs_dr	a_ala_fs_dr	-0.00525505231454193	0.0012169864465864	923	116	1.77886216357003e-05	0.00346878121896156
roseburia_faecis	abx	abx	-0.0335699951330736	0.00916317479400787	923	726	0.000265177759556665	0.0413677304908397
ruminococcus_torques	abx	abx	-0.0160913775213536	0.0045066286366628	923	712	0.000375561048225737	0.0431082543995229
clostridium_innocuum	abx	abx	0.00414172857101486	0.00116102940346696	923	212	0.000386868949739308	0.0431082543995229
firmicutes_bacterium_cag_95	a_ala_fs_dr	a_ala_fs_dr	0.00264210001084215	0.000755908581127155	923	234	0.00049976173206772	0.0487267688766027
blautia_wexlerae	loghdl	loghdl	0.035545399284026	0.0103865114285181	923	788	0.000664382062872001	0.0507882638555627
hungatella_hathewayi	abx	abx	0.00280489665271428	0.000824772672341528	923	158	0.000716244746681013	0.0507882638555627
acidaminococcus_intestini	abx	abx	-0.00655590921373806	0.00191708103634528	923	120	0.000658913582039391	0.0507882638555627
bacteroides_stercoris	bmi12	bmi12	0.0069354172002278	0.00204790248242438	923	468	0.000797644041576633	0.0518468627024812
eisenbergiella_massiliensis	bmi12	bmi12	0.000815381546297355	0.000248516259147413	923	255	0.00114897334695396	0.0689384008172378
roseburia_hominis	a_ala_fs_dr	a_ala_fs_dr	0.00532293086608617	0.00170692879219617	923	800	0.00193666718505821	0.100706693623027
clostridium_lavalense	abx	abx	0.00209951449216754	0.000675059921870686	923	235	0.00193206258322081	0.100706693623027
bilophila_wadsworthia	bmi12	bmi12	0.000596294684864729	0.000202227761720227	923	492	0.00344038002960014	0.167718526443007
ruminococcaceae_bacterium_d5	a_ala_fs_dr	a_ala_fs_dr	-0.00147376839714898	0.000506524199592459	923	230	0.00373852667435777	0.170687030655856
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00243455205915084	0.000838142693837199	923	407	0.0039389314766736	0.170687030655856
bacteroides_salyersiae	a_ala_fs_dr	a_ala_fs_dr	0.00352721982481718	0.00123615079053324	923	234	0.00442875845995654	0.181812189408742
coprococcus_catus	abx	abx	-0.00544609099724929	0.00195310619492215	923	593	0.00541768982837731	0.193924480286891
streptococcus_parasanguinis	agemlvs	agemlvs	0.00101440498758998	0.000358587684809602	923	415	0.0049940969368863	0.193924480286891
erysipelatoclostridium_ramosum	loghdl	loghdl	0.0123590069232225	0.00443636918955656	923	180	0.00546966482860462	0.193924480286891
clostridium_sp_cag_167	bmi12	bmi12	-0.00158498840331002	0.000571980345792721	923	297	0.00593584604121879	0.194841386407226
bifidobacterium_pseudocatenulatum	abx	abx	-0.00807060454780153	0.00292955469861872	923	150	0.00599511958176081	0.194841386407226
acidaminococcus_intestini	bmi12	bmi12	0.00146914118262971	0.000534351589357469	923	120	0.00631842572000117	0.197134882464036
alistipes_putredinis	agemlvs	agemlvs	0.00369842358062723	0.00136660532939375	923	737	0.00719890568487274	0.207729135724232
eubacterium_ventriosum	bmi12	bmi12	0.00107728107713188	0.000401776812125749	923	462	0.00772326273846504	0.207729135724232
bacteroides_caccae	a_ala_fs_dr	a_ala_fs_dr	0.0063103979444312	0.00236188217474214	923	574	0.00771094922439696	0.207729135724232
anaerotignum_lactatifermentans	bmi12	bmi12	0.00073700511743714	0.000273306388750471	923	157	0.00738136422177284	0.207729135724232
eubacterium_siraeum	abx	abx	0.0264315557128564	0.0099546639892727	923	603	0.00807068341848965	0.209837768880731
dorea_longicatena	abx	abx	-0.0106105777894089	0.00414891710750073	923	763	0.0107140121018788	0.225862957823391
blautia_wexlerae	bmi12	bmi12	0.00210819329989504	0.000818016683509801	923	788	0.0104154394374009	0.225862957823391
gemmiger_formicilis	bmi12	bmi12	-0.000866108664926993	0.000335977683999914	923	700	0.0104133844938581	0.225862957823391
clostridium_sp_cag_167	abx	abx	-0.00814968044570651	0.00316966304034129	923	297	0.0103080976546333	0.225862957823391
clostridium_sp_cag_167	a_ala_fs_dr	a_ala_fs_dr	0.00356364919224603	0.00137251933540075	923	297	0.00966644025324031	0.225862957823391
sellimonas_intestinalis	abx	abx	0.00205121139944766	0.000801624150093883	923	112	0.0106848233361137	0.225862957823391
ruminococcus_bicirculans	abx	abx	-0.0188389311702769	0.00721388605580968	923	556	0.00917186684383375	0.225862957823391
eubacterium_sp_cag_180	loghdl	loghdl	0.0335997238101377	0.0132311497665792	923	138	0.0112837069977577	0.231612933111868
roseburia_inulinivorans	bmi12	bmi12	0.00191173144037084	0.000772951910818768	923	763	0.0139233994660005	0.252563990313498
bacteroides_ovatus	loghdl	loghdl	-0.0313572825119499	0.0125617910701803	923	770	0.0127544866228326	0.252563990313498
bacteroides_xylanisolvens	loghdl	loghdl	-0.0205331791004544	0.00831495950864674	923	559	0.0137289017707769	0.252563990313498
enterorhabdus_caecimuris	loghdl	loghdl	0.00285521743168517	0.00115693719679005	923	372	0.0138740826569303	0.252563990313498
holdemania_filiformis	abx	abx	0.00187108398605933	0.000756342212810949	923	332	0.013563079372286	0.252563990313498
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000845733715562222	0.000345285793887153	923	255	0.0148944940550454	0.258171230287453
bifidobacterium_pseudocatenulatum	loghdl	loghdl	-0.016109618552645	0.00659226924858859	923	150	0.0147897929489509	0.258171230287453
anaerostipes_hadrus	loghdl	loghdl	0.0281693858882797	0.0117385550064434	923	862	0.0167790462853779	0.267532144626126
alistipes_indistinctus	abx	abx	0.00488846298379059	0.00204546695634126	923	388	0.0170643761517327	0.267532144626126
veillonella_parvula	loghdl	loghdl	-0.00720564131293495	0.00301483197454919	923	191	0.0171494964503927	0.267532144626126
slackia_isoflavoniconvertens	bmi12	bmi12	-0.000792767334692699	0.000329774787167639	923	215	0.0168009932947611	0.267532144626126
faecalibacterium_prausnitzii	loghdl	loghdl	0.0384479676170823	0.0159438532776332	923	909	0.0162032177217718	0.267532144626126
dialister_invisus	a_ala_fs_dr	a_ala_fs_dr	-0.00248714008728949	0.00106014152081089	923	244	0.0192165119332108	0.278734204794314
eubacterium_ventriosum	abx	abx	-0.00466516846516377	0.00202574160820177	923	462	0.0215157874291227	0.278734204794314
eubacterium_sp_cag_251	abx	abx	-0.00762371434465791	0.00330820602313503	923	167	0.0214280056195267	0.278734204794314
butyrivibrio_crossotus	loghdl	loghdl	0.0321476524109879	0.0137440352266951	923	122	0.0195688204675124	0.278734204794314
bacteroides_eggerthii	abx	abx	0.0150772267735949	0.00652624805071495	923	240	0.0211225414664582	0.278734204794314
bacteroides_cellulosilyticus	bmi12	bmi12	-0.00339836877290125	0.0014741149073927	923	534	0.0217984442210938	0.278734204794314
ruthenibacterium_lactatiformans	bmi12	bmi12	0.000887346872122934	0.000381758061795768	923	780	0.0207913154648376	0.278734204794314
asaccharobacter_celatus	loghdl	loghdl	0.00956756869261868	0.00413165379837377	923	784	0.0209217255199253	0.278734204794314
anaeromassilibacillus_sp_an250	loghdl	loghdl	0.00444863908113921	0.00193058918460554	923	268	0.0215319723518285	0.278734204794314
clostridium_spiroforme	bmi12	bmi12	0.000410920889361291	0.000177726315343859	923	289	0.0214250847764829	0.278734204794314
firmicutes_bacterium_cag_94	abx	abx	-0.00328148817676758	0.00140840220111619	923	242	0.0200360309460135	0.278734204794314
bacteroides_finegoldii	a_ala_fs_dr	a_ala_fs_dr	0.00299579346182885	0.0013166015467112	923	306	0.0231250412306179	0.290927938062613
bacteroides_eggerthii	loghdl	loghdl	-0.0358617412490316	0.0159553556380845	923	240	0.0248475951606404	0.300028273796599
paraprevotella_clara	a_ala_fs_dr	a_ala_fs_dr	0.000793583698247952	0.000356718983038943	923	125	0.026356752493443	0.300028273796599
bacteroides_xylanisolvens	a_ala_fs_dr	a_ala_fs_dr	0.00369116786966647	0.00165679657089627	923	559	0.026160492778039	0.300028273796599
parabacteroides_merdae	loghdl	loghdl	-0.0227343589420096	0.0101768185443019	923	670	0.025746478449906	0.300028273796599
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000517930770525421	0.00022944188424827	923	157	0.0247111215182898	0.300028273796599
haemophilus_sp_hmsc71h05	loghdl	loghdl	-0.00370805418778873	0.00166166068840737	923	130	0.0260843989719327	0.300028273796599
desulfovibrio_piger	agemlvs	agemlvs	-0.000655564226765559	0.000294039063539047	923	98	0.0265409626820069	0.300028273796599
paraprevotella_xylaniphila	loghdl	loghdl	-0.0112231773559248	0.00507513611673876	923	253	0.0272651507752886	0.303811680067502
butyrivibrio_crossotus	abx	abx	-0.012747323399745	0.00578622525351837	923	122	0.0278551510798741	0.30404782593092
lachnospira_pectinoschiza	a_ala_fs_dr	a_ala_fs_dr	-0.00540323495689227	0.00245440114502951	923	467	0.0280659531628542	0.30404782593092
clostridium_spiroforme	loghdl	loghdl	0.00500587996136327	0.00228455312581557	923	289	0.0288484662546839	0.308243886008951
streptococcus_salivarius	agemlvs	agemlvs	0.00128948759566007	0.000590546854277904	923	572	0.029792263396506	0.314026560125334
bilophila_wadsworthia	a_ala_fs_dr	a_ala_fs_dr	-0.00107040047247799	0.000494490351175908	923	492	0.0308610788340081	0.316732124875346
phascolarctobacterium_succinatutens	abx	abx	-0.00501238211918118	0.0023152193046785	923	104	0.0306998760848691	0.316732124875346
ruthenibacterium_lactatiformans	abx	abx	0.00492999983463706	0.00229304548833567	923	780	0.031872011581095	0.322859338094209
prevotella_copri	loghdl	loghdl	-0.0667742264457155	0.0316339506467812	923	232	0.0350684186801585	0.343335367688839
roseburia_intestinalis	bmi12	bmi12	0.00226252691729777	0.00107727681370912	923	694	0.0365344045104791	0.343335367688839
