feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00641464055631495	0.00143359148280795	923	111	8.69315271536958e-06	0.00226021970599609
flavonifractor_plautii	abx	abx	0.0102133694461796	0.00226764122562169	923	639	7.57015874045578e-06	0.00226021970599609
escherichia_coli	abx	abx	-0.0278910185150209	0.00613455562076732	923	300	6.2521956354302e-06	0.00226021970599609
bifidobacterium_bifidum	a_ala_fs_dr	a_ala_fs_dr	-0.00525505231454193	0.0012169864465864	923	116	1.77886216357003e-05	0.00346878121896156
roseburia_faecis	abx	abx	-0.0335699951330736	0.00916317479400787	923	726	0.000265177759556665	0.0413677304908397
ruminococcus_torques	abx	abx	-0.0160913775213536	0.0045066286366628	923	712	0.000375561048225737	0.0431082543995229
clostridium_innocuum	abx	abx	0.00414172857101486	0.00116102940346696	923	212	0.000386868949739308	0.0431082543995229
firmicutes_bacterium_cag_95	a_ala_fs_dr	a_ala_fs_dr	0.00264210001084215	0.000755908581127155	923	234	0.00049976173206772	0.0487267688766027
blautia_wexlerae	loghdl	loghdl	0.035545399284026	0.0103865114285181	923	788	0.000664382062872001	0.0507882638555627
hungatella_hathewayi	abx	abx	0.00280489665271428	0.000824772672341528	923	158	0.000716244746681013	0.0507882638555627
acidaminococcus_intestini	abx	abx	-0.00655590921373806	0.00191708103634528	923	120	0.000658913582039391	0.0507882638555627
bacteroides_stercoris	bmi12	bmi12	0.0069354172002278	0.00204790248242438	923	468	0.000797644041576633	0.0518468627024812
eisenbergiella_massiliensis	bmi12	bmi12	0.000815381546297355	0.000248516259147413	923	255	0.00114897334695396	0.0689384008172378
roseburia_hominis	a_ala_fs_dr	a_ala_fs_dr	0.00532293086608617	0.00170692879219617	923	800	0.00193666718505821	0.100706693623027
clostridium_lavalense	abx	abx	0.00209951449216754	0.000675059921870686	923	235	0.00193206258322081	0.100706693623027
bilophila_wadsworthia	bmi12	bmi12	0.000596294684864729	0.000202227761720227	923	492	0.00344038002960014	0.167718526443007
ruminococcaceae_bacterium_d5	a_ala_fs_dr	a_ala_fs_dr	-0.00147376839714898	0.000506524199592459	923	230	0.00373852667435777	0.170687030655856
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00243455205915084	0.000838142693837199	923	407	0.0039389314766736	0.170687030655856
bacteroides_salyersiae	a_ala_fs_dr	a_ala_fs_dr	0.00352721982481718	0.00123615079053324	923	234	0.00442875845995654	0.181812189408742
coprococcus_catus	abx	abx	-0.00544609099724929	0.00195310619492215	923	593	0.00541768982837731	0.193924480286891
streptococcus_parasanguinis	agemlvs	agemlvs	0.00101440498758998	0.000358587684809602	923	415	0.0049940969368863	0.193924480286891
erysipelatoclostridium_ramosum	loghdl	loghdl	0.0123590069232225	0.00443636918955656	923	180	0.00546966482860462	0.193924480286891
clostridium_sp_cag_167	bmi12	bmi12	-0.00158498840331002	0.000571980345792721	923	297	0.00593584604121879	0.194841386407226
bifidobacterium_pseudocatenulatum	abx	abx	-0.00807060454780153	0.00292955469861872	923	150	0.00599511958176081	0.194841386407226
acidaminococcus_intestini	bmi12	bmi12	0.00146914118262971	0.000534351589357469	923	120	0.00631842572000117	0.197134882464036
alistipes_putredinis	agemlvs	agemlvs	0.00369842358062723	0.00136660532939375	923	737	0.00719890568487274	0.207729135724232
eubacterium_ventriosum	bmi12	bmi12	0.00107728107713188	0.000401776812125749	923	462	0.00772326273846504	0.207729135724232
bacteroides_caccae	a_ala_fs_dr	a_ala_fs_dr	0.0063103979444312	0.00236188217474214	923	574	0.00771094922439696	0.207729135724232
anaerotignum_lactatifermentans	bmi12	bmi12	0.00073700511743714	0.000273306388750471	923	157	0.00738136422177284	0.207729135724232
eubacterium_siraeum	abx	abx	0.0264315557128564	0.0099546639892727	923	603	0.00807068341848965	0.209837768880731
dorea_longicatena	abx	abx	-0.0106105777894089	0.00414891710750073	923	763	0.0107140121018788	0.225862957823391
blautia_wexlerae	bmi12	bmi12	0.00210819329989504	0.000818016683509801	923	788	0.0104154394374009	0.225862957823391
gemmiger_formicilis	bmi12	bmi12	-0.000866108664926993	0.000335977683999914	923	700	0.0104133844938581	0.225862957823391
clostridium_sp_cag_167	abx	abx	-0.00814968044570651	0.00316966304034129	923	297	0.0103080976546333	0.225862957823391
clostridium_sp_cag_167	a_ala_fs_dr	a_ala_fs_dr	0.00356364919224603	0.00137251933540075	923	297	0.00966644025324031	0.225862957823391
sellimonas_intestinalis	abx	abx	0.00205121139944766	0.000801624150093883	923	112	0.0106848233361137	0.225862957823391
ruminococcus_bicirculans	abx	abx	-0.0188389311702769	0.00721388605580968	923	556	0.00917186684383375	0.225862957823391
eubacterium_sp_cag_180	loghdl	loghdl	0.0335997238101377	0.0132311497665792	923	138	0.0112837069977577	0.231612933111868
