feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00640603479929859	0.00142553498480087	923	111	7.95590693405578e-06	0.0020685358028545
flavonifractor_plautii	abx	abx	0.0102697261341405	0.00224821771954523	923	639	5.62931812191291e-06	0.0020685358028545
escherichia_coli	abx	abx	-0.0283191413190541	0.00608372281702835	923	300	3.76653297522627e-06	0.0020685358028545
bifidobacterium_bifidum	a_ala_fs_dr	a_ala_fs_dr	-0.00524805445857124	0.00121649742685674	923	116	1.81087859579574e-05	0.0035312132618017
eubacterium_sp_cag_180	logtg	logtg	-0.0296512138458808	0.00715443051378583	923	138	3.75153708902236e-05	0.00585239785887488
faecalibacterium_prausnitzii	logtg	logtg	-0.0326189220179107	0.00866094724875261	923	909	0.000182497307310942	0.0237246499504224
roseburia_faecis	abx	abx	-0.0334328898747589	0.00912165809705346	923	726	0.000263398880675505	0.0293501609895563
ruminococcus_torques	abx	abx	-0.0155774840769154	0.00447999086931718	923	712	0.000531744370567626	0.0414760609042748
coprococcus_eutactus	logtg	logtg	-0.0274876859588035	0.00784503490421213	923	212	0.000484923549859699	0.0414760609042748
firmicutes_bacterium_cag_95	a_ala_fs_dr	a_ala_fs_dr	0.00264836933297169	0.000754744139839765	923	234	0.000475243677295239	0.0414760609042748
clostridium_innocuum	abx	abx	0.0039951895869323	0.00115799490553915	923	212	0.00059590369798545	0.0422549894935137
acidaminococcus_intestini	abx	abx	-0.00642900508298506	0.00190206654311996	923	120	0.000760453470864036	0.0494294756061624
hungatella_hathewayi	abx	abx	0.00275901455299915	0.000821802230990801	923	158	0.000836244892190503	0.0501746935314302
clostridium_sp_cag_167	logtg	logtg	-0.0126438094926684	0.00380440534327161	923	297	0.000939971632070369	0.052369848072492
eisenbergiella_massiliensis	bmi12	bmi12	0.000806394719830291	0.000247016432545324	923	255	0.00121628633120098	0.0632468892224507
bacteroides_stercoris	bmi12	bmi12	0.00636949014635987	0.00202780384129468	923	468	0.00184615877759757	0.0900002404078817
roseburia_hominis	a_ala_fs_dr	a_ala_fs_dr	0.00521124494959213	0.00170693770251248	923	800	0.00240069596592312	0.0986316858284335
clostridium_lavalense	abx	abx	0.00205873969233435	0.000671137247495997	923	235	0.00222604941821922	0.0986316858284335
bifidobacterium_pseudocatenulatum	abx	abx	-0.00889990147557847	0.00292342796514129	923	150	0.00240256670607723	0.0986316858284335
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00249994626879656	0.000829336865308352	923	407	0.00279081648184063	0.108841842791785
gemmiger_formicilis	logtg	logtg	-0.00609160555618867	0.00207072461809047	923	700	0.00336357390317047	0.111408174298079
clostridium_sp_cag_58	logtg	logtg	0.00742442822183337	0.00250788945529871	923	690	0.00318130587907958	0.111408174298079
bacteroides_salyersiae	a_ala_fs_dr	a_ala_fs_dr	0.00361701252304128	0.00123412572588214	923	234	0.00346952906297602	0.111408174298079
bilophila_wadsworthia	bmi12	bmi12	0.000597077547011271	0.00019996452756721	923	492	0.0030600960375544	0.111408174298079
ruminococcaceae_bacterium_d5	a_ala_fs_dr	a_ala_fs_dr	-0.00147904008392984	0.000505813594573571	923	230	0.00357077481724613	0.111408174298079
streptococcus_parasanguinis	agemlvs	agemlvs	0.00102849263256077	0.00035407951517454	923	415	0.00395114588361072	0.118534376508322
eubacterium_ventriosum	bmi12	bmi12	0.0011389778535375	0.00039710784070791	923	462	0.00441377842237217	0.127509154424085
coprococcus_catus	abx	abx	-0.00547051343845329	0.00193639056298307	923	593	0.00483966692365553	0.130170351739701
bacteroides_xylanisolvens	logtg	logtg	0.0127720332035554	0.00451303024536127	923	559	0.0047639125775976	0.130170351739701
roseburia_inulinivorans	bmi12	bmi12	0.00208248969455312	0.000762323407314168	923	763	0.00666763512007927	0.161324017484839
ruminococcus_bicirculans	abx	abx	-0.0194533295523584	0.00716920544070172	923	556	0.0067908591097664	0.161324017484839
clostridium_citroniae	logtg	logtg	0.0018479081925518	0.000674912949114126	923	232	0.00637361438681578	0.161324017484839
eubacterium_siraeum	abx	abx	0.0267780508394246	0.00987498307204103	923	603	0.00682524689358935	0.161324017484839
clostridium_sp_cag_167	abx	abx	-0.00842009474200975	0.00313008510158314	923	297	0.00728657134234806	0.167162519030338
bacteroides_caccae	a_ala_fs_dr	a_ala_fs_dr	0.00632496882460891	0.00236516102708708	923	574	0.00765488162872516	0.170594504868732
dorea_longicatena	abx	abx	-0.0109285039733655	0.00412619125383025	923	763	0.00822997670779169	0.172668366491708
alistipes_putredinis	agemlvs	agemlvs	0.00360791135603197	0.00136095978728481	923	737	0.00845987940706693	0.172668366491708
streptococcus_parasanguinis	logtg	logtg	0.00727040496513168	0.00276068293365637	923	415	0.00863341832458542	0.172668366491708
acidaminococcus_intestini	bmi12	bmi12	0.0014059982642294	0.000530457037091007	923	120	0.00845064141348109	0.172668366491708
slackia_isoflavoniconvertens	logtg	logtg	-0.00447761571993655	0.00172562822179448	923	215	0.00962415839304673	0.187671088664411
oscillibacter_sp_cag_241	logtg	logtg	-0.0103734883516389	0.00406473445084734	923	511	0.0108873266989041	0.207124751832809
butyrivibrio_crossotus	logtg	logtg	-0.0188500379998456	0.00746212188757102	923	122	0.0117171863949707	0.217604890192313
clostridium_sp_cag_167	a_ala_fs_dr	a_ala_fs_dr	0.00340241814641247	0.00135937568627381	923	297	0.0126012400854833	0.222008761424686
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000860806796615687	0.000343703191413199	923	255	0.0128081977745011	0.222008761424686
holdemania_filiformis	abx	abx	0.00188216365382386	0.000752406010350599	923	332	0.0125544346950821	0.222008761424686
roseburia_sp_cag_303	bmi12	bmi12	-0.00121201926734557	0.000486241086141992	923	134	0.0132078678795494	0.223959498827142
sellimonas_intestinalis	abx	abx	0.0019715060247242	0.000797601659829755	923	112	0.01364898264287	0.226515031094438
