feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00681123478790557	0.00147906154967052	923	111	4.74357642138948e-06	0.00147999584347352
escherichia_coli	abx	abx	-0.0274678852053713	0.0059640661032458	923	300	4.73609147009521e-06	0.00147999584347352
flavonifractor_plautii	abx	abx	0.00986788254565212	0.00222170438533619	923	639	1.00401054751722e-05	0.00208834193883581
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.80564092475101e-06	1.58287626305447e-06	923	111	1.96166980459346e-05	0.00244816391613263
bifidobacterium_bifidum	a_ala_fs_dr	a_ala_fs_dr	-0.00520153102482359	0.00119805683741603	923	116	1.59672246830353e-05	0.00244816391613263
roseburia_faecis	abx	abx	-0.032004619894791	0.00911034884162537	923	726	0.000467426258080776	0.0324082205602671
ruminococcus_torques	abx	abx	-0.0158150472523329	0.00443410532808528	923	712	0.000380622116534262	0.0324082205602671
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.30263832882389e-06	2.61767428874226e-06	923	466	0.000399477835727507	0.0324082205602671
firmicutes_bacterium_cag_95	a_ala_fs_dr	a_ala_fs_dr	0.00263700566624871	0.00074779231762968	923	234	0.000444692921383186	0.0324082205602671
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.61662491297883e-05	1.06034657004281e-05	923	783	0.000677267068882872	0.0422614650982912
hungatella_hathewayi	abx	abx	0.00269864161282173	0.000807111626502887	923	158	0.000876533879473126	0.0457450603318735
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.99447069326724e-06	1.19623369650897e-06	923	230	0.000879712698689876	0.0457450603318735
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-1.00042556875848e-05	3.01903481642488e-06	923	720	0.000959720367691115	0.0460665776491735
clostridium_innocuum	abx	abx	0.00361344982850381	0.00114079785496212	923	212	0.00160656121864989	0.0716067286026807
dorea_longicatena	abx	abx	-0.0124133457916363	0.00411229693129231	923	763	0.0026120908372065	0.0905524823564919
roseburia_hominis	a_ala_fs_dr	a_ala_fs_dr	0.00517255293989915	0.00169131252832165	923	800	0.00235612890945286	0.0905524823564919
clostridium_lavalense	abx	abx	0.00201957090201712	0.000659228375042811	923	235	0.00225360357587375	0.0905524823564919
bifidobacterium_pseudocatenulatum	abx	abx	-0.00869856739653795	0.00287454719623588	923	150	0.00254879198323038	0.0905524823564919
coprococcus_catus	abx	abx	-0.00574601098777573	0.00193085789872935	923	593	0.00300360599337083	0.0971601046417324
streptococcus_parasanguinis	agemlvs	agemlvs	0.00106219552243637	0.000356513544495135	923	415	0.00311410591800424	0.0971601046417324
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.48617251262074e-05	1.19195371631342e-05	923	869	0.00357275513441605	0.101336327448892
acidaminococcus_intestini	abx	abx	-0.00555411052028531	0.00189640859706653	923	120	0.00349891943107368	0.101336327448892
clostridium_sp_cag_167	a_ala_fs_dr	a_ala_fs_dr	0.0038133251927883	0.00136361675692012	923	297	0.00533604265277023	0.128065023666486
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.29549715783576e-06	1.53244412649346e-06	923	244	0.00524866786816691	0.128065023666486
bacteroides_salyersiae	a_ala_fs_dr	a_ala_fs_dr	0.00346703163388771	0.00122741394748718	923	234	0.00483906425618853	0.128065023666486
ruminococcaceae_bacterium_d5	a_ala_fs_dr	a_ala_fs_dr	-0.00138932891955028	0.000494751471651174	923	230	0.00512541219879601	0.128065023666486
bacteroides_caccae	a_ala_fs_dr	a_ala_fs_dr	0.00643008219254726	0.00233468083819462	923	574	0.00602390350380397	0.139219103199025
clostridium_sp_cag_167	abx	abx	-0.00846721030606418	0.00310899678393239	923	297	0.00658971437345284	0.146856491751235
streptococcus_salivarius	agemlvs	agemlvs	0.0014787088465749	0.000578382051960637	923	572	0.0110445155074167	0.229725922554266
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000575539675710557	0.00022475058961279	923	157	0.0109172889227641	0.229725922554266
