feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
escherichia_coli	abx	abx	-0.0345133296785965	0.00719334771630194	923	300	1.93830950771808e-06	0.00120950513281608
eubacterium_sp_cag_251	logcrp	logcrp	-0.00595378994758177	0.00130572114066672	923	167	6.02626822691939e-06	0.00188019568679885
ruminococcus_torques	abx	abx	-0.0202349282453756	0.0048844358268001	923	712	3.82029188998589e-05	0.00794620713117065
phascolarctobacterium_succinatutens	abx	abx	-0.00783135680935502	0.00202549229896637	923	104	0.000122476106064533	0.0191062725460672
flavonifractor_plautii	abx	abx	0.00870105935978571	0.0023717372846701	923	639	0.000260919113281601	0.0325627053375438
bacteroides_stercoris	bmi12	bmi12	0.00750922413801161	0.00215565937966402	923	468	0.00057619782309695	0.0454971467851677
clostridium_lavalense	abx	abx	0.00251936413449311	0.000729339463085831	923	235	0.000583296753655996	0.0454971467851677
barnesiella_intestinihominis	logcrp	logcrp	0.00694491499024945	0.00196822973239555	923	487	0.000447295796977103	0.0454971467851677
bacteroides_uniformis	logcrp	logcrp	0.0150302469813995	0.00454543317928755	923	891	0.000989106093162505	0.068578022459267
parabacteroides_distasonis	logcrp	logcrp	0.00801480503282801	0.00245635246612215	923	795	0.00115286675499857	0.0699156668943629
bilophila_wadsworthia	bmi12	bmi12	0.000664246163176538	0.000203343759309221	923	492	0.00123248771768909	0.0699156668943629
dorea_longicatena	abx	abx	-0.0142361284172695	0.00448728128217188	923	763	0.00157250906495293	0.0701593837110283
roseburia_faecis	abx	abx	-0.0312013088256537	0.00979117786185604	923	726	0.00150365596987115	0.0701593837110283
butyrivibrio_sp_cag_318	logcrp	logcrp	-0.00647347608736222	0.00204017197868149	923	100	0.0015740887371064	0.0701593837110283
hungatella_hathewayi	abx	abx	0.00258232541855199	0.000821991601372704	923	158	0.00177655981259118	0.0739048882037931
parabacteroides_johnsonii	logcrp	logcrp	0.00313047075211794	0.00101310374648871	923	157	0.00208357262119103	0.0764793715072473
acidaminococcus_intestini	bmi12	bmi12	0.00170541454550571	0.000547989279527241	923	120	0.00205502478465549	0.0764793715072473
roseburia_faecis	logcrp	logcrp	-0.0121879168360788	0.00415759432178275	923	726	0.00347681595132297	0.0943275284185015
eubacterium_ventriosum	bmi12	bmi12	0.00125148027698465	0.000419970758113509	923	462	0.00314225693615854	0.0943275284185015
eubacterium_siraeum	abx	abx	0.031534595360229	0.010755495665996	923	603	0.00347205318828272	0.0943275284185015
acidaminococcus_intestini	abx	abx	-0.00656706896328685	0.00221288457113303	923	120	0.00310195448245468	0.0943275284185015
bifidobacterium_pseudocatenulatum	abx	abx	-0.00982350312162555	0.00331776856045893	923	150	0.00316603258547411	0.0943275284185015
firmicutes_bacterium_cag_83	logcrp	logcrp	-0.00402068753536745	0.00136390998182443	923	648	0.00330123711762561	0.0943275284185015
bifidobacterium_bifidum	logcrp	logcrp	-0.00306028452972835	0.0010519084686969	923	116	0.0037353179971903	0.0971182679269477
agathobaculum_butyriciproducens	abx	abx	-0.00772650940315173	0.00267549049589854	923	819	0.00400408180555028	0.0984292146610158
clostridium_innocuum	abx	abx	0.00367916018155755	0.00127618956173918	923	212	0.00410121727754233	0.0984292146610158
eubacterium_eligens	logcrp	logcrp	-0.0103585624673376	0.00361943009745364	923	819	0.00432954202497215	0.100060526799356
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00237135781948373	0.000842700982105939	923	407	0.00524975868054944	0.116994622023673
roseburia_inulinivorans	bmi12	bmi12	0.00230699063768109	0.00082461452141211	923	763	0.00551722465847895	0.118715454720375
ruminococcus_torques	logcrp	logcrp	0.00560911605427023	0.00203709374613133	923	712	0.00603853301843332	0.121549825919432
ruthenibacterium_lactatiformans	bmi12	bmi12	0.00108656004540563	0.000391969670788943	923	780	0.00597716302060095	0.121549825919432
alistipes_inops	logcrp	logcrp	0.00257401596190956	0.00094824281036734	923	167	0.00681202393498528	0.129177633293539
clostridium_sp_cag_253	abx	abx	0.00360583558878587	0.00133431199787884	923	111	0.0070385248909941	0.129177633293539
eubacterium_rectale	logcrp	logcrp	-0.0145753903730455	0.00538137871411774	923	869	0.00691507533848654	0.129177633293539
sellimonas_intestinalis	abx	abx	0.00239236491270235	0.000889163707150492	923	112	0.00730646209765158	0.130263781398131
