feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00693609656621173	0.00147894381916571	923	111	3.17510642559498e-06	0.001594550038596
escherichia_coli	abx	abx	-0.0274131382970682	0.00597329982826763	923	300	5.11073730319229e-06	0.001594550038596
flavonifractor_plautii	abx	abx	0.00981746973886962	0.00222279192439407	923	639	1.12385387143451e-05	0.00233761605258378
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.65370168401146e-06	1.58487019081369e-06	923	111	3.04355690986996e-05	0.00474794877939714
roseburia_faecis	abx	abx	-0.0320264436871643	0.00911842100927711	923	726	0.000468669735045035	0.0417785592383002
ruminococcus_torques	abx	abx	-0.0157185449095111	0.00443946510631763	923	712	0.000419664078059754	0.0417785592383002
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.29791516077264e-06	2.62336262150297e-06	923	466	0.000413953637925024	0.0417785592383002
hungatella_hathewayi	abx	abx	0.00268019418050499	0.000808027428236169	923	158	0.000962759856384956	0.0600762150384212
eubacterium_sp_cag_251	a_f226_fs_dr	a_f226_fs_dr	-0.0168347543590123	0.00504158560086686	923	167	0.000874913076328797	0.0600762150384212
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.56956100904097e-05	1.06175240770407e-05	923	783	0.000807381613665264	0.0600762150384212
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.85473546947411e-06	1.19937298794776e-06	923	230	0.00136286092676392	0.0773113834818804
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-9.46663420663896e-06	3.00672571115513e-06	923	720	0.00169896576987053	0.085930347921823
clostridium_innocuum	abx	abx	0.00357686136955007	0.00114079889030908	923	212	0.00179021558170465	0.085930347921823
clostridium_lavalense	abx	abx	0.00201909293122128	0.00065992735722741	923	235	0.00228331935564027	0.097520067765643
odoribacter_splanchnicus	a_f226_fs_dr	a_f226_fs_dr	-0.0128828465500492	0.00423447808046494	923	720	0.00241553965479263	0.097520067765643
acidaminococcus_intestini	abx	abx	-0.00573250839367052	0.00189017609854229	923	120	0.00250051455809341	0.097520067765643
dorea_longicatena	abx	abx	-0.0123134919657399	0.00411540724841173	923	763	0.00284772292110693	0.0979894204397996
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.55103779194474e-05	1.1911521306837e-05	923	869	0.0029836522249298	0.0979894204397996
bifidobacterium_pseudocatenulatum	abx	abx	-0.00864522073707759	0.00287688074057307	923	150	0.00272951373532272	0.0979894204397996
coprococcus_catus	abx	abx	-0.00570431102544165	0.00193056055040467	923	593	0.0032151313907735	0.0997611967051674
streptococcus_parasanguinis	agemlvs	agemlvs	0.00105063208599683	0.00035545388107969	923	415	0.00335734796603929	0.0997611967051674
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.23227472198433e-06	1.53144559823352e-06	923	244	0.00591727299619896	0.167835379528552
ruminococcus_bicirculans	a_f226_fs_dr	a_f226_fs_dr	0.0304391430587814	0.011143220059077	923	556	0.00643394826482268	0.17455581379345
clostridium_sp_cag_167	abx	abx	-0.00845203435965067	0.00312469610594614	923	297	0.00696545466765972	0.181101821359153
butyrivibrio_sp_cag_318	a_f226_fs_dr	a_f226_fs_dr	-0.0176212172117637	0.00668327306748891	923	100	0.00851846307340131	0.212620838312097
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000579691850068504	0.000224412963026804	923	157	0.0102499075311718	0.236886751831526
acidaminococcus_intestini	a_f226_fs_dr	a_f226_fs_dr	-0.0078082136918026	0.00303341241961125	923	120	0.0102199770247902	0.236886751831526
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00120538513625201	0.000469630453968176	923	157	0.0107364687197611	0.239269874326103
parabacteroides_johnsonii	a_f226_fs_dr	a_f226_fs_dr	0.00888285474144985	0.00351186623454055	923	157	0.0116003001781069	0.249606459004784
