feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00684050594109119	0.00148617470431936	923	111	4.79121223764717e-06	0.0020564822183449
escherichia_coli	abx	abx	-0.0271040909609011	0.00597717492479669	923	300	6.59128916136186e-06	0.0020564822183449
flavonifractor_plautii	abx	abx	0.0097999231527489	0.00222600874884321	923	639	1.19871476266109e-05	0.00249332670633507
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.83362355595029e-06	1.59093825932747e-06	923	111	1.99440270173647e-05	0.0031112682147089
eubacterium_rectale	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.428780424603642	0.115417908424497	923	869	0.000216245189380632	0.0230473380906471
acidaminococcus_intestini	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0687188784539979	0.0185323536691222	923	120	0.000223891304684758	0.0230473380906471
firmicutes_bacterium_cag_95	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0569296061060934	0.0155151518798636	923	234	0.000258543856786105	0.0230473380906471
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.47843786812513e-06	2.62121461707594e-06	923	466	0.000315751136847797	0.0246285886741281
ruminococcus_torques	abx	abx	-0.0157692690549603	0.00444621556342546	923	712	0.000410301457836346	0.02844756774332
roseburia_faecis	abx	abx	-0.0315041121869608	0.0091270088235891	923	726	0.000585594921556688	0.0332192028228521
butyrivibrio_sp_cag_318	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.14500867910836	0.0417946036018729	923	100	0.000547788451769821	0.0332192028228521
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.60376125786929e-05	1.06150356364943e-05	923	783	0.000717179328941778	0.0372933251049724
hungatella_hathewayi	abx	abx	0.0026746328598702	0.000809483380044798	923	158	0.00100719696009938	0.0483454540847702
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-9.73924897490147e-06	3.01684217093204e-06	923	720	0.0012933882839132	0.053804952610789
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.87183324868706e-06	1.19835098085603e-06	923	230	0.00128532095020677	0.053804952610789
acidaminococcus_intestini	abx	abx	-0.00600230101726723	0.00188109857189915	923	120	0.00147367325314122	0.0574732568725074
clostridium_innocuum	abx	abx	0.00359611557069503	0.00114387311048307	923	212	0.00174006781702733	0.0638707245779442
clostridium_lavalense	abx	abx	0.00204000814722949	0.000660854402941423	923	235	0.00208529866536666	0.0684855982730944
parabacteroides_johnsonii	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0671968867089106	0.0217466157882918	923	157	0.00207036117068022	0.0684855982730944
eubacterium_sp_cag_251	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.0979349415967117	0.0321056628715901	923	167	0.00235404352255003	0.0734461579035609
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.55870164854867e-05	1.18686536235766e-05	923	869	0.00282155419161722	0.0838404674080546
coprococcus_catus	abx	abx	-0.00569988215495655	0.00193455068538129	923	593	0.00330252994014002	0.0932614899262563
streptococcus_parasanguinis	agemlvs	agemlvs	0.00104905722812474	0.000355834491758407	923	415	0.00343752286587163	0.0932614899262563
dorea_longicatena	abx	abx	-0.0119881446987156	0.00411685386904589	923	763	0.00368139050105184	0.0940732641271892
bifidobacterium_pseudocatenulatum	abx	abx	-0.0083525027677805	0.0028757010316975	923	150	0.00376896090253162	0.0940732641271892
firmicutes_bacterium_cag_110	a_p22_5_fs_dr	a_p22_5_fs_dr	-0.101455560027171	0.0360442862772177	923	407	0.00499561805845146	0.119894833402835
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.28590380387836e-06	1.53146120576592e-06	923	244	0.0053209659938463	0.122973436302226
adlercreutzia_equolifaciens	a_p22_5_fs_dr	a_p22_5_fs_dr	0.0492725865173759	0.0181939824739566	923	772	0.00690069187344135	0.153786847465264
clostridium_sp_cag_167	abx	abx	-0.00829767283762753	0.00312862575563573	923	297	0.00814250927217006	0.175204337442556
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000579107324013347	0.000224436939816925	923	157	0.0103333975743011	0.214934669545462
eubacterium_sp_cag_180	a_p22_5_fs_dr	a_p22_5_fs_dr	0.13684890027259	0.0542588148984255	923	138	0.0118474738840682	0.2320675611361
streptococcus_salivarius	agemlvs	agemlvs	0.00145585151206284	0.000577175108305742	923	572	0.012156635992881	0.2320675611361
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00118456728159478	0.000470266707508568	923	157	0.0122728037139284	0.2320675611361
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-2.65283562577668e-05	1.0687618416302e-05	923	603	0.013268478484275	0.243515605123164
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-5.79457009839971e-06	2.34995141667721e-06	923	780	0.0139532073562125	0.248765754007904
