feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
escherichia_coli	abx	abx	-0.0343598708742942	0.00720220899691643	923	300	2.21110060586775e-06	0.00172465847257685
eubacterium_sp_cag_251	logcrp	logcrp	-0.00584875622268242	0.00130972894322323	923	167	9.27624177856832e-06	0.00361773429364164
ruminococcus_torques	abx	abx	-0.0203498864162906	0.00489079088444537	923	712	3.53624141447382e-05	0.00919422767763193
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00432650399938415	0.00108059074202818	923	116	6.89973106366559e-05	0.0134544755741479
phascolarctobacterium_succinatutens	abx	abx	-0.00797607244209505	0.0020272988321338	923	104	9.3167159839119e-05	0.0145340769349026
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00609856354882389	0.00156638564137305	923	800	0.000116934098216722	0.0152014327681739
flavonifractor_plautii	abx	abx	0.00868702263014388	0.00237553253438756	923	639	0.000272992784783017	0.029033065632223
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.00589076430140295	0.0016205807775115	923	559	0.000297775032125364	0.029033065632223
barnesiella_intestinihominis	logcrp	logcrp	0.00692304304634252	0.00197803842812074	923	487	0.00049689681581269	0.0430643907037664
clostridium_lavalense	abx	abx	0.00250788329289958	0.000730178998765773	923	235	0.000626740629311178	0.0488857690862719
bacteroides_uniformis	logcrp	logcrp	0.0151073297887315	0.00455965247333935	923	891	0.000966388691507559	0.0586211063673452
bacteroides_stercoris	bmi12	bmi12	0.00728522312594154	0.00216254549933478	923	468	0.000863287496685926	0.0586211063673452
parabacteroides_distasonis	logcrp	logcrp	0.00815382533749427	0.00246326431638272	923	795	0.000977018439455754	0.0586211063673452
dorea_longicatena	abx	abx	-0.0140684511724574	0.00449105924811504	923	763	0.00180032723191195	0.0804083919442323
roseburia_faecis	abx	abx	-0.0312545101332541	0.00980599837065275	923	726	0.00150068267811667	0.0804083919442323
clostridium_sp_cag_253	a_omega3_fs_dr	a_omega3_fs_dr	0.00172636017485617	0.00055233996154245	923	111	0.00185557827563613	0.0804083919442323
parabacteroides_johnsonii	logcrp	logcrp	0.00322207205892414	0.00101651957933227	923	157	0.00159435214290713	0.0804083919442323
bilophila_wadsworthia	bmi12	bmi12	0.00063925594287689	0.000203289715566178	923	492	0.00185373142137915	0.0804083919442323
hungatella_hathewayi	abx	abx	0.00252963520388036	0.000820341555140606	923	158	0.0021540478457233	0.0884293326139038
butyrivibrio_sp_cag_318	logcrp	logcrp	-0.00618251286199322	0.00204265613635185	923	100	0.00256215591959697	0.0951657912993159
acidaminococcus_intestini	bmi12	bmi12	0.00167309083216818	0.000549087481793512	923	120	0.00253706538189346	0.0951657912993159
eubacterium_ventriosum	bmi12	bmi12	0.00126472863797498	0.000422119329929036	923	462	0.00298525259476652	0.0963983037205592
enterorhabdus_caecimuris	a_omega3_fs_dr	a_omega3_fs_dr	0.000465353730397476	0.000156177821864078	923	372	0.00308968922181279	0.0963983037205592
eubacterium_siraeum	abx	abx	0.0321407500607238	0.010764691296616	923	603	0.00292187419456867	0.0963983037205592
acidaminococcus_intestini	abx	abx	-0.00666661824519305	0.00221618939826099	923	120	0.00272155055427779	0.0963983037205592
roseburia_faecis	logcrp	logcrp	-0.0121598752285845	0.00416721909692435	923	726	0.00362947659021111	0.10176104850619
eubacterium_eligens	logcrp	logcrp	-0.0105628611303247	0.0036243494552438	923	819	0.0036715232636902	0.10176104850619
bifidobacterium_pseudocatenulatum	abx	abx	-0.00964728009175209	0.00331807719902252	923	150	0.00375304539473389	0.10176104850619
firmicutes_bacterium_cag_83	logcrp	logcrp	-0.00397580141626983	0.00136861448729462	923	648	0.00378342359830708	0.10176104850619
roseburia_inulinivorans	bmi12	bmi12	0.00238774615791881	0.000823288668339345	923	763	0.00403643285985355	0.104947254356192
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00291223715151699	0.00102901387285086	923	244	0.00478376131224686	0.106609537815787
clostridium_sp_cag_253	abx	abx	0.00376249349215017	0.00132870443396484	923	111	0.00475302988765476	0.106609537815787
agathobaculum_butyriciproducens	abx	abx	-0.00762854020244022	0.00267385348895973	923	819	0.00446583962147895	0.106609537815787
clostridium_innocuum	abx	abx	0.00363418004879924	0.00127552081113552	923	212	0.00455559217231331	0.106609537815787
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00240801153498306	0.000845806662903202	923	407	0.00474815358578305	0.106609537815787
ruminococcus_torques	logcrp	logcrp	0.00569636200583728	0.0020427532941112	923	712	0.00542777854166999	0.11760186840285
eubacterium_rectale	logcrp	logcrp	-0.0148423158990329	0.00539128355284835	923	869	0.00604980991570239	0.12753653335805
adlercreutzia_equolifaciens	a_omega3_fs_dr	a_omega3_fs_dr	0.00194312092397124	0.000715288644162803	923	772	0.00685831854592705	0.140776012258503
sellimonas_intestinalis	abx	abx	0.0023897396643089	0.000890418135399977	923	112	0.00745420665339576	0.149084133067915
ruthenibacterium_lactatiformans	bmi12	bmi12	0.00105762702341048	0.0003936207794967	923	780	0.00767981979359865	0.149756485975174
alistipes_inops	logcrp	logcrp	0.00249275533890034	0.000952289444505698	923	167	0.0090572530578805	0.164294357794111
bifidobacterium_bifidum	logcrp	logcrp	-0.00273225272081374	0.00104266841991423	923	116	0.00896912452692487	0.164294357794111
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00131308955949376	0.000498724857796869	923	230	0.00867842176805643	0.164294357794111
clostridium_bolteae	abx	abx	0.00271741088924322	0.00104940115268052	923	274	0.00981894995337417	0.174063203718906
bacteroides_caccae	a_omega3_fs_dr	a_omega3_fs_dr	0.00582419176568997	0.00234269795784563	923	574	0.0131811430872337	0.228473146845384
ruminococcus_callidus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00139722065130172	0.000569989170898032	923	124	0.0145187311839033	0.246187180944447
clostridium_sp_cag_167	bmi12	bmi12	-0.00146850249261576	0.000601692396934915	923	297	0.0153179226560223	0.25421233344037
alistipes_putredinis	agemlvs	agemlvs	0.0034671431629723	0.00144112238575774	923	737	0.016804611902729	0.262151945682572
paraprevotella_clara	a_omega3_fs_dr	a_omega3_fs_dr	0.000796612405441523	0.000331125098642674	923	125	0.0163771509245628	0.262151945682572
streptococcus_parasanguinis	agemlvs	agemlvs	0.000937280974824275	0.000389567336595964	923	415	0.0167873587258755	0.262151945682572
ruminococcus_lactaris	abx	abx	-0.0102270525422561	0.00428358079597052	923	489	0.0172086620200329	0.263191301482856
coprococcus_comes	abx	abx	-0.00831558606674791	0.00352904425478757	923	750	0.0187109472035403	0.269032695162766
enterorhabdus_caecimuris	agemlvs	agemlvs	0.000124949852164578	5.29333095528396e-05	923	372	0.0189702541460925	0.269032695162766
ruthenibacterium_lactatiformans	abx	abx	0.00582255619178445	0.00246140487916614	923	780	0.0183012870573044	0.269032695162766
erysipelatoclostridium_ramosum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00210169246533811	0.000888474635500897	923	180	0.0183155024219502	0.269032695162766
bifidobacterium_adolescentis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00586936161733104	0.00250255711980741	923	313	0.0193414021109096	0.269398100830526
roseburia_hominis	logcrp	logcrp	-0.00420467158749153	0.00185331936468989	923	800	0.0236154552691841	0.286132988203467
coprococcus_catus	abx	abx	-0.00478006470394641	0.00211385667968107	923	593	0.0240377243896327	0.286132988203467
eubacterium_sp_cag_251	abx	abx	-0.00721826509873404	0.003178939234948	923	167	0.023452089612334	0.286132988203467
alistipes_indistinctus	abx	abx	0.00498771328505805	0.0022001852943974	923	388	0.0236775014663791	0.286132988203467
bacteroides_salyersiae	logcrp	logcrp	0.0022022322593601	0.000964275289690031	923	234	0.0227351257861307	0.286132988203467
eggerthella_lenta	a_omega3_fs_dr	a_omega3_fs_dr	0.00160334901953792	0.000699307114035516	923	399	0.0221706567693883	0.286132988203467
eisenbergiella_massiliensis	bmi12	bmi12	0.000605007850479619	0.000267584060657915	923	255	0.0245326496889929	0.286132988203467
sutterella_parvirubra	bmi12	bmi12	0.000442425181742433	0.000192153187085305	923	203	0.0221222799285746	0.286132988203467
akkermansia_muciniphila	agemlvs	agemlvs	0.00307550539398464	0.00136039650957719	923	582	0.0245780900123491	0.286132988203467
anaeromassilibacillus_sp_an250	logcrp	logcrp	0.000841972273202766	0.000373011054000877	923	268	0.0242778853343149	0.286132988203467
firmicutes_bacterium_cag_94	abx	abx	-0.00352101224859778	0.00155546190310657	923	242	0.0238783082691988	0.286132988203467
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000540399506369459	0.000243574652167651	923	157	0.0273411335855685	0.288303136811601
bacteroides_cellulosilyticus	bmi12	bmi12	-0.00316539631510099	0.00142688899304429	923	534	0.0273518360564852	0.288303136811601
barnesiella_intestinihominis	bmi12	bmi12	-0.00277820016176146	0.001252366178501	923	487	0.0273514448596905	0.288303136811601
parabacteroides_goldsteinii	bmi12	bmi12	-0.000947954382152006	0.000423344602103942	923	255	0.0259557862647852	0.288303136811601
clostridium_leptum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00203056383152846	0.000910528161639206	923	583	0.0263009854112482	0.288303136811601
desulfovibrio_piger	agemlvs	agemlvs	-0.000682836740453679	0.000305284205441828	923	98	0.0261283000519863	0.288303136811601
ruminococcaceae_bacterium_d5	bmi12	bmi12	-0.000530449097123575	0.000236419497574983	923	230	0.0256410875046139	0.288303136811601
roseburia_sp_cag_303	bmi12	bmi12	-0.00112999668037098	0.000511984301397961	923	134	0.0281612325850146	0.292876818884152
coprobacter_fastidiosus	logcrp	logcrp	0.0017476885445537	0.000820715515830419	923	249	0.0335708397819401	0.325114019128031
odoribacter_splanchnicus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00259275279180835	0.00121790310779661	923	720	0.0336327604446329	0.325114019128031
turicimonas_muris	agemlvs	agemlvs	-0.00038265812642695	0.000177745326721911	923	353	0.032223880857684	0.325114019128031
bacteroides_cellulosilyticus	abx	abx	-0.0109813020889115	0.00510443618097531	923	534	0.0318084674555914	0.325114019128031
slackia_isoflavoniconvertens	a_omega3_fs_dr	a_omega3_fs_dr	0.00134940462223703	0.000634434995415135	923	215	0.0337618404479109	0.325114019128031
acidaminococcus_intestini	logcrp	logcrp	-0.00193085978974404	0.000904265803271456	923	120	0.0331013094680623	0.325114019128031
roseburia_intestinalis	a_omega3_fs_dr	a_omega3_fs_dr	0.00558540892506623	0.00263421669480634	923	694	0.0344752506269334	0.325565540329984
clostridium_bolteae	bmi12	bmi12	0.000365352950796561	0.00017240479942643	923	274	0.034959276123294	0.325565540329984
proteobacteria_bacterium_cag_139	agemlvs	agemlvs	-0.000961796104461516	0.000454064206191035	923	380	0.035060904343229	0.325565540329984
eisenbergiella_massiliensis	abx	abx	0.0030569921614174	0.00145666163090001	923	255	0.0361864986505605	0.332064340558085
ruminococcus_bicirculans	abx	abx	-0.0158217579620417	0.00765546375762158	923	556	0.0391043767287656	0.354667602888804
alistipes_inops	agemlvs	agemlvs	-0.00101698687625938	0.00050316011271819	923	167	0.0442525619569253	0.359552065900018
hungatella_hathewayi	a_omega3_fs_dr	a_omega3_fs_dr	-0.000596471964648873	0.00029519143133144	923	158	0.0440898399245454	0.359552065900018
clostridium_disporicum	logcrp	logcrp	0.00112097083379591	0.000549597654628779	923	140	0.0417810918788032	0.359552065900018
flavonifractor_plautii	bmi12	bmi12	0.000984932016819926	0.000483289498051463	923	639	0.0425135563730823	0.359552065900018
streptococcus_thermophilus	logcrp	logcrp	-0.00292646145197221	0.00142993921835295	923	383	0.0411317849879047	0.359552065900018
streptococcus_thermophilus	a_omega3_fs_dr	a_omega3_fs_dr	0.00244370245156396	0.00118846856682186	923	383	0.0405184554585119	0.359552065900018
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000730005604669497	0.000359143132761431	923	255	0.043074746128323	0.359552065900018
holdemania_filiformis	bmi12	bmi12	0.000288164541530294	0.000141056908663033	923	332	0.0420401487752968	0.359552065900018
holdemania_filiformis	abx	abx	0.00165016404645371	0.000817738535196659	923	332	0.043971163800332	0.359552065900018
bifidobacterium_adolescentis	agemlvs	agemlvs	-0.00201593291202369	0.000988179304313962	923	313	0.0423296906178041	0.359552065900018
dorea_sp_cag_317	abx	abx	0.00487015120583595	0.0024338183277433	923	319	0.045755913344859	0.367934148546289
bacteroides_sp_cag_144	logcrp	logcrp	0.00141366199690936	0.000714688472333209	923	106	0.0483872989883671	0.377420932109263
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00100469295570594	0.000506116655219948	923	157	0.0481338638483838	0.377420932109263
holdemanella_biformis	a_omega3_fs_dr	a_omega3_fs_dr	0.0013573918541549	0.000683936036715445	923	202	0.0475962958666931	0.377420932109263
butyricimonas_virosa	agemlvs	agemlvs	0.000692570934583311	0.00035073386237651	923	493	0.0493173120415063	0.380866370221534
adlercreutzia_equolifaciens	agemlvs	agemlvs	0.000502602960576516	0.000256461881923232	923	772	0.0510821431661642	0.390628153623609
eubacterium_ramulus	abx	abx	-0.00429760647131521	0.00223305009062632	923	627	0.0546621131241544	0.410430562644019
clostridium_sp_cag_299	abx	abx	0.00172364051446572	0.000895844012753747	923	124	0.0547240750192025	0.410430562644019
clostridium_sp_cag_253	logcrp	logcrp	-0.00104994232071272	0.000551577579455211	923	111	0.0573600914441501	0.419539093740059
lactobacillus_rogosae	abx	abx	-0.00240437098465078	0.00126397572579656	923	233	0.0575521577310081	0.419539093740059
intestinibacter_bartlettii	logcrp	logcrp	-0.000761444565417639	0.000398743393987952	923	140	0.0566480220740234	0.419539093740059
anaerotignum_lactatifermentans	bmi12	bmi12	0.000545243094884045	0.000287007805838975	923	157	0.0585184600107269	0.422463701945951
eubacterium_rectale	bmi12	bmi12	0.00400140663345236	0.00211406012893858	923	869	0.0594489275912399	0.422463701945951
haemophilus_sp_hmsc71h05	bmi12	bmi12	-0.000253208933328013	0.000133880717111926	923	130	0.0595782143769931	0.422463701945951
desulfovibrio_piger	a_omega3_fs_dr	a_omega3_fs_dr	0.00115413235516575	0.000613360973877946	923	98	0.0602673773021336	0.423500489150128
akkermansia_muciniphila	logcrp	logcrp	-0.00672363340594579	0.00358367906342015	923	582	0.0610158316516333	0.424931684716732
fusicatenibacter_saccharivorans	logcrp	logcrp	-0.00509052506594911	0.00272602196097583	923	871	0.0622439091112508	0.426616335001894
collinsella_intestinalis	bmi12	bmi12	0.000775958149977182	0.000414632804336071	923	347	0.0623516181925845	0.426616335001894
