feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
escherichia_coli	abx	abx	-0.0343598708742942	0.00720220899691643	923	300	2.21110060586775e-06	0.00172465847257685
eubacterium_sp_cag_251	logcrp	logcrp	-0.00584875622268242	0.00130972894322323	923	167	9.27624177856832e-06	0.00361773429364164
ruminococcus_torques	abx	abx	-0.0203498864162906	0.00489079088444537	923	712	3.53624141447382e-05	0.00919422767763193
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00432650399938415	0.00108059074202818	923	116	6.89973106366559e-05	0.0134544755741479
phascolarctobacterium_succinatutens	abx	abx	-0.00797607244209505	0.0020272988321338	923	104	9.3167159839119e-05	0.0145340769349026
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00609856354882389	0.00156638564137305	923	800	0.000116934098216722	0.0152014327681739
flavonifractor_plautii	abx	abx	0.00868702263014388	0.00237553253438756	923	639	0.000272992784783017	0.029033065632223
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.00589076430140295	0.0016205807775115	923	559	0.000297775032125364	0.029033065632223
barnesiella_intestinihominis	logcrp	logcrp	0.00692304304634252	0.00197803842812074	923	487	0.00049689681581269	0.0430643907037664
clostridium_lavalense	abx	abx	0.00250788329289958	0.000730178998765773	923	235	0.000626740629311178	0.0488857690862719
bacteroides_uniformis	logcrp	logcrp	0.0151073297887315	0.00455965247333935	923	891	0.000966388691507559	0.0586211063673452
bacteroides_stercoris	bmi12	bmi12	0.00728522312594154	0.00216254549933478	923	468	0.000863287496685926	0.0586211063673452
parabacteroides_distasonis	logcrp	logcrp	0.00815382533749427	0.00246326431638272	923	795	0.000977018439455754	0.0586211063673452
dorea_longicatena	abx	abx	-0.0140684511724574	0.00449105924811504	923	763	0.00180032723191195	0.0804083919442323
roseburia_faecis	abx	abx	-0.0312545101332541	0.00980599837065275	923	726	0.00150068267811667	0.0804083919442323
clostridium_sp_cag_253	a_omega3_fs_dr	a_omega3_fs_dr	0.00172636017485617	0.00055233996154245	923	111	0.00185557827563613	0.0804083919442323
parabacteroides_johnsonii	logcrp	logcrp	0.00322207205892414	0.00101651957933227	923	157	0.00159435214290713	0.0804083919442323
bilophila_wadsworthia	bmi12	bmi12	0.00063925594287689	0.000203289715566178	923	492	0.00185373142137915	0.0804083919442323
hungatella_hathewayi	abx	abx	0.00252963520388036	0.000820341555140606	923	158	0.0021540478457233	0.0884293326139038
butyrivibrio_sp_cag_318	logcrp	logcrp	-0.00618251286199322	0.00204265613635185	923	100	0.00256215591959697	0.0951657912993159
acidaminococcus_intestini	bmi12	bmi12	0.00167309083216818	0.000549087481793512	923	120	0.00253706538189346	0.0951657912993159
eubacterium_ventriosum	bmi12	bmi12	0.00126472863797498	0.000422119329929036	923	462	0.00298525259476652	0.0963983037205592
enterorhabdus_caecimuris	a_omega3_fs_dr	a_omega3_fs_dr	0.000465353730397476	0.000156177821864078	923	372	0.00308968922181279	0.0963983037205592
eubacterium_siraeum	abx	abx	0.0321407500607238	0.010764691296616	923	603	0.00292187419456867	0.0963983037205592
acidaminococcus_intestini	abx	abx	-0.00666661824519305	0.00221618939826099	923	120	0.00272155055427779	0.0963983037205592
roseburia_faecis	logcrp	logcrp	-0.0121598752285845	0.00416721909692435	923	726	0.00362947659021111	0.10176104850619
eubacterium_eligens	logcrp	logcrp	-0.0105628611303247	0.0036243494552438	923	819	0.0036715232636902	0.10176104850619
bifidobacterium_pseudocatenulatum	abx	abx	-0.00964728009175209	0.00331807719902252	923	150	0.00375304539473389	0.10176104850619
firmicutes_bacterium_cag_83	logcrp	logcrp	-0.00397580141626983	0.00136861448729462	923	648	0.00378342359830708	0.10176104850619
roseburia_inulinivorans	bmi12	bmi12	0.00238774615791881	0.000823288668339345	923	763	0.00403643285985355	0.104947254356192
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00291223715151699	0.00102901387285086	923	244	0.00478376131224686	0.106609537815787
clostridium_sp_cag_253	abx	abx	0.00376249349215017	0.00132870443396484	923	111	0.00475302988765476	0.106609537815787
agathobaculum_butyriciproducens	abx	abx	-0.00762854020244022	0.00267385348895973	923	819	0.00446583962147895	0.106609537815787
clostridium_innocuum	abx	abx	0.00363418004879924	0.00127552081113552	923	212	0.00455559217231331	0.106609537815787
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00240801153498306	0.000845806662903202	923	407	0.00474815358578305	0.106609537815787
ruminococcus_torques	logcrp	logcrp	0.00569636200583728	0.0020427532941112	923	712	0.00542777854166999	0.11760186840285
eubacterium_rectale	logcrp	logcrp	-0.0148423158990329	0.00539128355284835	923	869	0.00604980991570239	0.12753653335805
adlercreutzia_equolifaciens	a_omega3_fs_dr	a_omega3_fs_dr	0.00194312092397124	0.000715288644162803	923	772	0.00685831854592705	0.140776012258503
sellimonas_intestinalis	abx	abx	0.0023897396643089	0.000890418135399977	923	112	0.00745420665339576	0.149084133067915
ruthenibacterium_lactatiformans	bmi12	bmi12	0.00105762702341048	0.0003936207794967	923	780	0.00767981979359865	0.149756485975174
alistipes_inops	logcrp	logcrp	0.00249275533890034	0.000952289444505698	923	167	0.0090572530578805	0.164294357794111
bifidobacterium_bifidum	logcrp	logcrp	-0.00273225272081374	0.00104266841991423	923	116	0.00896912452692487	0.164294357794111
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00131308955949376	0.000498724857796869	923	230	0.00867842176805643	0.164294357794111
clostridium_bolteae	abx	abx	0.00271741088924322	0.00104940115268052	923	274	0.00981894995337417	0.174063203718906
bacteroides_caccae	a_omega3_fs_dr	a_omega3_fs_dr	0.00582419176568997	0.00234269795784563	923	574	0.0131811430872337	0.228473146845384
ruminococcus_callidus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00139722065130172	0.000569989170898032	923	124	0.0145187311839033	0.246187180944447
