feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00646257059366069	0.00142810406596687	923	111	6.88623694102235e-06	0.00202953916574087
flavonifractor_plautii	abx	abx	0.0101978672297594	0.00226755709721514	923	639	7.80591986823412e-06	0.00202953916574087
escherichia_coli	abx	abx	-0.0278847218055463	0.00613557007526478	923	300	6.3044044877429e-06	0.00202953916574087
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00443809920407389	0.00104848828728019	923	116	2.58970338496017e-05	0.00504992160067234
roseburia_faecis	abx	abx	-0.0336634050516033	0.0091661075828093	923	726	0.000256122421675715	0.0399550977814115
ruminococcus_torques	abx	abx	-0.0161423029646169	0.00450708018585767	923	712	0.000360395489729784	0.046851413664872
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00152698799959978	0.000435670733089972	923	230	0.000487311007122034	0.0475128231943983
clostridium_innocuum	abx	abx	0.00410606241042337	0.00116009969285384	923	212	0.000429254078774708	0.0475128231943983
blautia_wexlerae	loghdl	loghdl	0.0352800390283183	0.0103840546568596	923	788	0.000726303023821879	0.0566516358581065
acidaminococcus_intestini	abx	abx	-0.00654812373280723	0.00191773177615576	923	120	0.000671418099162662	0.0566516358581065
hungatella_hathewayi	abx	abx	0.00277346312368372	0.000824820848472711	923	158	0.000821106405744511	0.0582239087709744
bacteroides_stercoris	bmi12	bmi12	0.00678224446149268	0.00204568795354533	923	468	0.00102192082129364	0.0645453116303293
eisenbergiella_massiliensis	bmi12	bmi12	0.000820656944230366	0.000248676220159655	923	255	0.00107575519383882	0.0645453116303293
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00467104040034094	0.00146752328816769	923	800	0.00156009395559628	0.0869195203832214
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00285663315721451	0.000912503474798687	923	244	0.00180872860026902	0.094053887213989
clostridium_lavalense	abx	abx	0.00209197020674275	0.000674994233461869	923	235	0.00200356512393339	0.0976737997917526
bilophila_wadsworthia	bmi12	bmi12	0.00059798004468409	0.000203186510613014	923	492	0.00350111731431782	0.160639500303994
clostridium_sp_cag_253	a_omega3_fs_dr	a_omega3_fs_dr	0.00155763411513694	0.000538902562543687	923	111	0.00398935468099919	0.172872036176632
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.0040825713103928	0.00142681099740544	923	559	0.00432817396574416	0.177415134886402
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00240111261997609	0.000840110243879938	923	407	0.00454910602272826	0.177415134886402
coprococcus_catus	abx	abx	-0.00544194107840402	0.00195304715292891	923	593	0.00545163204055306	0.190557604907604
alistipes_putredinis	agemlvs	agemlvs	0.0036510520722112	0.00136512110515221	923	737	0.00790077074810275	0.190557604907604
eubacterium_ventriosum	bmi12	bmi12	0.00107681672684212	0.000402003263297994	923	462	0.00778394376833672	0.190557604907604
clostridium_sp_cag_167	bmi12	bmi12	-0.00157342060326065	0.000574092518880583	923	297	0.00649822256378189	0.190557604907604
clostridium_sp_cag_167	a_omega3_fs_dr	a_omega3_fs_dr	0.00314468086408529	0.00118266158148455	923	297	0.0080620525153217	0.190557604907604
streptococcus_parasanguinis	agemlvs	agemlvs	0.000999465271813735	0.000358361822098346	923	415	0.00563513754407735	0.190557604907604
anaerotignum_lactatifermentans	bmi12	bmi12	0.000738035132021763	0.000273486656659179	923	157	0.00733864826883966	0.190557604907604
clostridium_leptum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00215949624986348	0.000799726373805659	923	583	0.00719509768586301	0.190557604907604
eubacterium_siraeum	abx	abx	0.0264828928277507	0.00995656058221107	923	603	0.00796094160994037	0.190557604907604
acidaminococcus_intestini	bmi12	bmi12	0.00143118074076989	0.00053312712356236	923	120	0.00765006616055463	0.190557604907604
bifidobacterium_adolescentis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00592483092013051	0.00218911930435038	923	313	0.00696359197769337	0.190557604907604
bifidobacterium_pseudocatenulatum	abx	abx	-0.00804927118544917	0.00292999460461535	923	150	0.006136228041015	0.190557604907604
erysipelatoclostridium_ramosum	loghdl	loghdl	0.0120179286038733	0.0044390314061071	923	180	0.00693296057702707	0.190557604907604
ruminococcus_bicirculans	abx	abx	-0.0187633472698118	0.0072187266867108	923	556	0.00950230175338942	0.217993981401287
gemmiger_formicilis	bmi12	bmi12	-0.000871772327421866	0.000336368771258022	923	700	0.0100129878519079	0.223146586413948
dorea_longicatena	abx	abx	-0.0105806736636755	0.00414984666350552	923	763	0.0109541066662399	0.2235100007802
blautia_wexlerae	bmi12	bmi12	0.00211036194937636	0.000818288568971681	923	788	0.0103628611980003	0.2235100007802
clostridium_sp_cag_167	abx	abx	-0.00806435353119375	0.00317144002238263	923	297	0.01117550003901	0.2235100007802
sellimonas_intestinalis	abx	abx	0.00205353420464236	0.000801851716950459	923	112	0.0106186978057797	0.2235100007802
eubacterium_sp_cag_180	loghdl	loghdl	0.0331287431716192	0.0132465899606986	923	138	0.0125785879979762	0.233602348533843
enterorhabdus_caecimuris	a_omega3_fs_dr	a_omega3_fs_dr	0.000482339769696206	0.000192197336721736	923	372	0.0123864706403817	0.233602348533843
enterorhabdus_caecimuris	loghdl	loghdl	0.00289488758192757	0.00115211613793212	923	372	0.012250406432086	0.233602348533843
roseburia_inulinivorans	bmi12	bmi12	0.00191061836903521	0.000772664799770436	923	763	0.0139436334764191	0.241689646924598
bacteroides_ovatus	loghdl	loghdl	-0.0311501266008108	0.0125684343232109	923	770	0.0134044515099635	0.241689646924598
holdemania_filiformis	abx	abx	0.00186777438229728	0.000756500320242168	923	332	0.0137484073980145	0.241689646924598
anaerostipes_hadrus	loghdl	loghdl	0.0285617180070045	0.0117222230416299	923	862	0.0151825624619446	0.251965930219506
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000841475059638273	0.000344363449277784	923	255	0.0151329242673566	0.251965930219506
alistipes_indistinctus	abx	abx	0.00489529639994626	0.00204554128489232	923	388	0.0169147907062066	0.253721860593099
ruminococcus_callidus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00115758502028933	0.00047843958902788	923	124	0.0157995340938009	0.253721860593099
streptococcus_thermophilus	a_omega3_fs_dr	a_omega3_fs_dr	0.00242707282278698	0.00100903946502995	923	383	0.0166460443786113	0.253721860593099
faecalibacterium_prausnitzii	loghdl	loghdl	0.0384001313814545	0.015941868963628	923	909	0.0163229460146981	0.253721860593099
bifidobacterium_pseudocatenulatum	loghdl	loghdl	-0.0159310047975661	0.00659425667833589	923	150	0.0159591433494066	0.253721860593099
veillonella_parvula	loghdl	loghdl	-0.00719111876070149	0.0030133464590567	923	191	0.0173198524921458	0.254895942337239
eubacterium_ventriosum	abx	abx	-0.00467394215923164	0.00202603867795137	923	462	0.0212910539523774	0.267855194884747
eubacterium_sp_cag_251	abx	abx	-0.00766176150439029	0.00330384481740918	923	167	0.0206215065859749	0.267855194884747
butyrivibrio_crossotus	loghdl	loghdl	0.0317984970060282	0.0137660158295678	923	122	0.0211348782713915	0.267855194884747
bacteroides_eggerthii	abx	abx	0.0150964615595432	0.00653081071071603	923	240	0.0210486343590103	0.267855194884747
bacteroides_xylanisolvens	loghdl	loghdl	-0.0194663192498247	0.00830766412582483	923	559	0.0193511409743372	0.267855194884747
slackia_isoflavoniconvertens	bmi12	bmi12	-0.000772433146503392	0.000329063389070977	923	215	0.0195305290780124	0.267855194884747
ruthenibacterium_lactatiformans	bmi12	bmi12	0.000889061466241852	0.000382748883630306	923	780	0.0208753446327564	0.267855194884747
asaccharobacter_celatus	loghdl	loghdl	0.00971471940622339	0.00412659223044091	923	784	0.0188954239153538	0.267855194884747
firmicutes_bacterium_cag_94	abx	abx	-0.00328747181680182	0.00140977682716721	923	242	0.0199316549132855	0.267855194884747
parabacteroides_merdae	loghdl	loghdl	-0.0234024079034199	0.0101841024722895	923	670	0.021807880884013	0.270002334754446
anaeromassilibacillus_sp_an250	loghdl	loghdl	0.00442897704296115	0.0019317987511353	923	268	0.0221972611378128	0.270529120117093
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000518809541981741	0.000229228934709577	923	157	0.0243410128779654	0.283372985743478
bacteroides_cellulosilyticus	bmi12	bmi12	-0.00335330936673597	0.00147473156326169	923	534	0.0236501270132034	0.283372985743478
clostridium_spiroforme	bmi12	bmi12	0.000402302400075617	0.000177626177070557	923	289	0.0242075857408624	0.283372985743478
adlercreutzia_equolifaciens	a_omega3_fs_dr	a_omega3_fs_dr	0.00143426135007231	0.00064362649229369	923	772	0.0262946937366192	0.295984312712546
haemophilus_sp_hmsc71h05	loghdl	loghdl	-0.00369632463656743	0.00166077176943396	923	130	0.0264782364122254	0.295984312712546
desulfovibrio_piger	agemlvs	agemlvs	-0.000654599907157335	0.000293632415944853	923	98	0.0265626947306131	0.295984312712546
butyrivibrio_crossotus	abx	abx	-0.0128100207822072	0.00578385076794688	923	122	0.0270354315569364	0.297008966400147
bacteroides_eggerthii	loghdl	loghdl	-0.035016325796251	0.0159893758820311	923	240	0.0287890224388948	0.31188107642136
clostridium_spiroforme	loghdl	loghdl	0.00497434518104991	0.00228200366121673	923	289	0.0296866974746241	0.317200329180916
alistipes_putredinis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00634464388102089	0.00295394903513857	923	737	0.0320347828975028	0.317889765757779
anaerostipes_hadrus	a_omega3_fs_dr	a_omega3_fs_dr	0.00417023956072108	0.00193891117031786	923	862	0.0320388057174734	0.317889765757779
blautia_hydrogenotrophica	loghdl	loghdl	0.00513865401477473	0.00240315171238236	923	212	0.032897049049328	0.317889765757779
streptococcus_salivarius	agemlvs	agemlvs	0.00126105727663224	0.00059006493688226	923	572	0.0334191805027409	0.317889765757779
paraprevotella_xylaniphila	loghdl	loghdl	-0.0109928970766675	0.00508300603754762	923	253	0.030835622027855	0.317889765757779
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00102819160732487	0.000481151206448422	923	157	0.0334150733830523	0.317889765757779
ruthenibacterium_lactatiformans	abx	abx	0.00489429180153981	0.00229547153532726	923	780	0.0333137025968101	0.317889765757779
bifidobacterium_adolescentis	agemlvs	agemlvs	-0.00206424203845697	0.000959949759969193	923	313	0.0323415630599587	0.317889765757779
phascolarctobacterium_succinatutens	abx	abx	-0.00501503791798631	0.00231490297094608	923	104	0.0305891618542163	0.317889765757779
catenibacterium_mitsuokai	loghdl	loghdl	0.00616134408871305	0.00289959513013274	923	98	0.033874326429441	0.318337043553783
prevotella_copri	loghdl	loghdl	-0.0666938482102687	0.0316839322704974	923	232	0.0355775689418057	0.323454166225492
roseburia_intestinalis	bmi12	bmi12	0.00227480617972509	0.00107801771942454	923	694	0.035662895250503	0.323454166225492
slackia_isoflavoniconvertens	a_omega3_fs_dr	a_omega3_fs_dr	0.00115792817604598	0.000550100418776423	923	215	0.0355911840997503	0.323454166225492
parabacteroides_goldsteinii	bmi12	bmi12	-0.000864856109987413	0.000412006726958213	923	255	0.0366108980108592	0.323662002882423
haemophilus_sp_hmsc71h05	bmi12	bmi12	-0.00026031053463419	0.000123898196010521	923	130	0.0364209109341032	0.323662002882423
catenibacterium_mitsuokai	bmi12	bmi12	0.000683786837450618	0.000326312462798144	923	98	0.036930664431456	0.323662002882423
blautia_wexlerae	agemlvs	agemlvs	0.0013922482074214	0.000675260541145809	923	788	0.0400782186823846	0.343527588706153
roseburia_sp_cag_303	bmi12	bmi12	-0.00101294029226125	0.000491030617643695	923	134	0.0399614825256825	0.343527588706153
blautia_hydrogenotrophica	bmi12	bmi12	0.000394690718362742	0.000192547683090721	923	212	0.0412446625565471	0.347434864189319
bacteroides_caccae	a_omega3_fs_dr	a_omega3_fs_dr	0.00414203236822233	0.00203874222116281	923	574	0.0425488738602667	0.347434864189319
clostridium_bolteae	abx	abx	0.00198902728739126	0.000974306240280225	923	274	0.0415215755290334	0.347434864189319
eisenbergiella_massiliensis	loghdl	loghdl	0.00607014519891094	0.00299038359216558	923	255	0.0427612140540701	0.347434864189319
barnesiella_intestinihominis	bmi12	bmi12	-0.00246902652065793	0.00120860244288605	923	487	0.0419004774430309	0.347434864189319
odoribacter_splanchnicus	a_omega3_fs_dr	a_omega3_fs_dr	-0.0021800128206447	0.00108213014028656	923	720	0.0443071928838743	0.356284643808474
collinsella_stercoris	a_omega3_fs_dr	a_omega3_fs_dr	-0.000707630453220015	0.000353207605469435	923	564	0.0455106524806277	0.362227642192751
