feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00646257059366069	0.00142810406596687	923	111	6.88623694102235e-06	0.00202953916574087
flavonifractor_plautii	abx	abx	0.0101978672297594	0.00226755709721514	923	639	7.80591986823412e-06	0.00202953916574087
escherichia_coli	abx	abx	-0.0278847218055463	0.00613557007526478	923	300	6.3044044877429e-06	0.00202953916574087
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00443809920407389	0.00104848828728019	923	116	2.58970338496017e-05	0.00504992160067234
roseburia_faecis	abx	abx	-0.0336634050516033	0.0091661075828093	923	726	0.000256122421675715	0.0399550977814115
ruminococcus_torques	abx	abx	-0.0161423029646169	0.00450708018585767	923	712	0.000360395489729784	0.046851413664872
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00152698799959978	0.000435670733089972	923	230	0.000487311007122034	0.0475128231943983
clostridium_innocuum	abx	abx	0.00410606241042337	0.00116009969285384	923	212	0.000429254078774708	0.0475128231943983
blautia_wexlerae	loghdl	loghdl	0.0352800390283183	0.0103840546568596	923	788	0.000726303023821879	0.0566516358581065
acidaminococcus_intestini	abx	abx	-0.00654812373280723	0.00191773177615576	923	120	0.000671418099162662	0.0566516358581065
hungatella_hathewayi	abx	abx	0.00277346312368372	0.000824820848472711	923	158	0.000821106405744511	0.0582239087709744
bacteroides_stercoris	bmi12	bmi12	0.00678224446149268	0.00204568795354533	923	468	0.00102192082129364	0.0645453116303293
eisenbergiella_massiliensis	bmi12	bmi12	0.000820656944230366	0.000248676220159655	923	255	0.00107575519383882	0.0645453116303293
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00467104040034094	0.00146752328816769	923	800	0.00156009395559628	0.0869195203832214
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00285663315721451	0.000912503474798687	923	244	0.00180872860026902	0.094053887213989
clostridium_lavalense	abx	abx	0.00209197020674275	0.000674994233461869	923	235	0.00200356512393339	0.0976737997917526
bilophila_wadsworthia	bmi12	bmi12	0.00059798004468409	0.000203186510613014	923	492	0.00350111731431782	0.160639500303994
clostridium_sp_cag_253	a_omega3_fs_dr	a_omega3_fs_dr	0.00155763411513694	0.000538902562543687	923	111	0.00398935468099919	0.172872036176632
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.0040825713103928	0.00142681099740544	923	559	0.00432817396574416	0.177415134886402
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.00240111261997609	0.000840110243879938	923	407	0.00454910602272826	0.177415134886402
coprococcus_catus	abx	abx	-0.00544194107840402	0.00195304715292891	923	593	0.00545163204055306	0.190557604907604
alistipes_putredinis	agemlvs	agemlvs	0.0036510520722112	0.00136512110515221	923	737	0.00790077074810275	0.190557604907604
eubacterium_ventriosum	bmi12	bmi12	0.00107681672684212	0.000402003263297994	923	462	0.00778394376833672	0.190557604907604
clostridium_sp_cag_167	bmi12	bmi12	-0.00157342060326065	0.000574092518880583	923	297	0.00649822256378189	0.190557604907604
clostridium_sp_cag_167	a_omega3_fs_dr	a_omega3_fs_dr	0.00314468086408529	0.00118266158148455	923	297	0.0080620525153217	0.190557604907604
streptococcus_parasanguinis	agemlvs	agemlvs	0.000999465271813735	0.000358361822098346	923	415	0.00563513754407735	0.190557604907604
anaerotignum_lactatifermentans	bmi12	bmi12	0.000738035132021763	0.000273486656659179	923	157	0.00733864826883966	0.190557604907604
clostridium_leptum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00215949624986348	0.000799726373805659	923	583	0.00719509768586301	0.190557604907604
eubacterium_siraeum	abx	abx	0.0264828928277507	0.00995656058221107	923	603	0.00796094160994037	0.190557604907604
acidaminococcus_intestini	bmi12	bmi12	0.00143118074076989	0.00053312712356236	923	120	0.00765006616055463	0.190557604907604
bifidobacterium_adolescentis	a_omega3_fs_dr	a_omega3_fs_dr	-0.00592483092013051	0.00218911930435038	923	313	0.00696359197769337	0.190557604907604
bifidobacterium_pseudocatenulatum	abx	abx	-0.00804927118544917	0.00292999460461535	923	150	0.006136228041015	0.190557604907604
erysipelatoclostridium_ramosum	loghdl	loghdl	0.0120179286038733	0.0044390314061071	923	180	0.00693296057702707	0.190557604907604
ruminococcus_bicirculans	abx	abx	-0.0187633472698118	0.0072187266867108	923	556	0.00950230175338942	0.217993981401287
gemmiger_formicilis	bmi12	bmi12	-0.000871772327421866	0.000336368771258022	923	700	0.0100129878519079	0.223146586413948
dorea_longicatena	abx	abx	-0.0105806736636755	0.00414984666350552	923	763	0.0109541066662399	0.2235100007802
blautia_wexlerae	bmi12	bmi12	0.00211036194937636	0.000818288568971681	923	788	0.0103628611980003	0.2235100007802
clostridium_sp_cag_167	abx	abx	-0.00806435353119375	0.00317144002238263	923	297	0.01117550003901	0.2235100007802
sellimonas_intestinalis	abx	abx	0.00205353420464236	0.000801851716950459	923	112	0.0106186978057797	0.2235100007802
eubacterium_sp_cag_180	loghdl	loghdl	0.0331287431716192	0.0132465899606986	923	138	0.0125785879979762	0.233602348533843
enterorhabdus_caecimuris	a_omega3_fs_dr	a_omega3_fs_dr	0.000482339769696206	0.000192197336721736	923	372	0.0123864706403817	0.233602348533843
enterorhabdus_caecimuris	loghdl	loghdl	0.00289488758192757	0.00115211613793212	923	372	0.012250406432086	0.233602348533843
roseburia_inulinivorans	bmi12	bmi12	0.00191061836903521	0.000772664799770436	923	763	0.0139436334764191	0.241689646924598
bacteroides_ovatus	loghdl	loghdl	-0.0311501266008108	0.0125684343232109	923	770	0.0134044515099635	0.241689646924598
holdemania_filiformis	abx	abx	0.00186777438229728	0.000756500320242168	923	332	0.0137484073980145	0.241689646924598
