feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00646368952598303	0.00142020350022309	923	111	6.10367991356583e-06	0.00158695677752712
flavonifractor_plautii	abx	abx	0.0102495759809561	0.00224828164078668	923	639	5.87266243596334e-06	0.00158695677752712
escherichia_coli	abx	abx	-0.0282852962290556	0.006084840125971	923	300	3.88292570857388e-06	0.00158695677752712
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00446372716693724	0.00104735700622213	923	116	2.28054660693955e-05	0.00444706588353212
eubacterium_sp_cag_180	logtg	logtg	-0.0296877392610547	0.00715655195756576	923	138	3.68983065130694e-05	0.00575613581603882
faecalibacterium_prausnitzii	logtg	logtg	-0.0325168190894986	0.00865957309064087	923	909	0.000190696335403419	0.0247905236024445
roseburia_faecis	abx	abx	-0.0335357303697796	0.00912490784988829	923	726	0.000253475983782998	0.0282444667643912
ruminococcus_torques	abx	abx	-0.0156499777010366	0.00448058727112338	923	712	0.000501818683993719	0.0391418573515101
coprococcus_eutactus	logtg	logtg	-0.0274541218390084	0.00784220504677906	923	212	0.000490357556391413	0.0391418573515101
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00153325776766209	0.000434975328911704	923	230	0.000452470209017677	0.0391418573515101
clostridium_innocuum	abx	abx	0.00395944782406196	0.00115707733347287	923	212	0.0006599380423898	0.0467956066421858
acidaminococcus_intestini	abx	abx	-0.00643780174848556	0.00190268000531932	923	120	0.000750814111028991	0.0488029172168844
clostridium_sp_cag_167	logtg	logtg	-0.0127103881336467	0.00380786984634177	923	297	0.000893157325815887	0.0535894395489532
hungatella_hathewayi	abx	abx	0.00272618014804563	0.000821886079110164	923	158	0.000963999552866886	0.0537085465168694
eisenbergiella_massiliensis	bmi12	bmi12	0.000809692259926014	0.000247030241672858	923	255	0.00116227869012096	0.0604384918862898
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.00459314041358681	0.00146702936769531	923	800	0.00185659932034026	0.0905092168665878
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00282889062115566	0.000912790473462016	923	244	0.00200861777151094	0.0921601095163843
bacteroides_stercoris	bmi12	bmi12	0.00623467856798275	0.00202455738430656	923	468	0.00225876345161852	0.0954174408792066
clostridium_lavalense	abx	abx	0.00204991721726783	0.000671121142706706	923	235	0.00232427099577555	0.0954174408792066
bifidobacterium_pseudocatenulatum	abx	abx	-0.00886588571165842	0.00292372665214692	923	150	0.00249862443746214	0.0974463530610236
clostridium_sp_cag_58	logtg	logtg	0.00743686341565167	0.00250693603647855	923	690	0.00312017289231031	0.104693396123958
