feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00687761073321933	0.00147458953706795	923	111	3.59313058012521e-06	0.00156628650584374
escherichia_coli	abx	abx	-0.0274039864864138	0.00596628387556823	923	300	5.02014905719148e-06	0.00156628650584374
flavonifractor_plautii	abx	abx	0.00984421882838303	0.0022218692775977	923	639	1.0553638470899e-05	0.00219515680194699
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.72119967464817e-06	1.57539652793765e-06	923	111	2.26966162465965e-05	0.00300103952973905
bifidobacterium_bifidum	a_omega3_fs_dr	a_omega3_fs_dr	-0.00437628647692743	0.00102994660209379	923	116	2.40467911036783e-05	0.00300103952973905
ruminococcus_torques	abx	abx	-0.0158992441469091	0.00443560190110555	923	712	0.000355957472222618	0.0337223538224587
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.34023770330635e-06	2.61756787728137e-06	923	466	0.000378295635828864	0.0337223538224587
roseburia_faecis	abx	abx	-0.0321082738382701	0.00911499133731197	923	726	0.000451068166191987	0.035183316962975
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.61238094211479e-05	1.05987190848933e-05	923	783	0.000683355439405533	0.0473793104654503
ruminococcaceae_bacterium_d5	a_omega3_fs_dr	a_omega3_fs_dr	-0.00143586944430168	0.000424770115839459	923	230	0.000765554197376496	0.0477705819162934
hungatella_hathewayi	abx	abx	0.00266417948390596	0.000807329308251218	923	158	0.00102175325461303	0.0511965096540845
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-9.95995649497656e-06	3.01254281622651e-06	923	720	0.00098558721264193	0.0511965096540845
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.9242127562599e-06	1.19475833838758e-06	923	230	0.00106659395112676	0.0511965096540845
clostridium_innocuum	abx	abx	0.00358617787324025	0.00114072041287738	923	212	0.00174034892754502	0.0775698379134351
dorea_longicatena	abx	abx	-0.0123348210050583	0.00411230374218994	923	763	0.00277977032592181	0.0912935096513267
roseburia_hominis	a_omega3_fs_dr	a_omega3_fs_dr	0.0043867594205355	0.00145242351503173	923	800	0.00266586669057207	0.0912935096513267
dialister_invisus	a_omega3_fs_dr	a_omega3_fs_dr	-0.00274081761671989	0.000900195755558997	923	244	0.002403683046009	0.0912935096513267
clostridium_lavalense	abx	abx	0.0020078324808987	0.000659215963829293	923	235	0.00238947979316604	0.0912935096513267
bifidobacterium_pseudocatenulatum	abx	abx	-0.00865764689054458	0.00287495960569725	923	150	0.00267384965319648	0.0912935096513267
coprococcus_catus	abx	abx	-0.00573552096035462	0.00193065891168527	923	593	0.0030537279371304	0.0934556399234427
bacteroides_xylanisolvens	a_omega3_fs_dr	a_omega3_fs_dr	0.00413825019990803	0.00141709719693168	923	559	0.00359444768936318	0.0934556399234427
streptococcus_parasanguinis	agemlvs	agemlvs	0.00105623991355449	0.000356557197745619	923	415	0.00328717269603633	0.0934556399234427
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.48346609612643e-05	1.19130605564312e-05	923	869	0.00358048747331016	0.0934556399234427
acidaminococcus_intestini	abx	abx	-0.00556226918471471	0.00189718152459604	923	120	0.00346426959011324	0.0934556399234427
clostridium_sp_cag_167	a_omega3_fs_dr	a_omega3_fs_dr	0.00333516139354625	0.00117318022225794	923	297	0.00462794420157408	0.115513487271289
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.27767450750769e-06	1.53270520497686e-06	923	244	0.00544586129338911	0.130700671041339
clostridium_sp_cag_167	abx	abx	-0.00832844466464132	0.00311118162415893	923	297	0.00756927470759999	0.170240771621275
