feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00695569162144218	0.00147778711317586	923	111	2.92823671628553e-06	0.00152446191450548
escherichia_coli	abx	abx	-0.0274648939972244	0.00597207526950087	923	300	4.88609587982527e-06	0.00152446191450548
flavonifractor_plautii	abx	abx	0.00982467550742354	0.00222244161928914	923	639	1.10400388002481e-05	0.00229632807045161
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.70729878722561e-06	1.58280940997227e-06	923	111	2.56695999596767e-05	0.00400445759370956
roseburia_faecis	abx	abx	-0.032007182203309	0.00911896035862909	923	726	0.00047269152791469	0.0421370733455381
ruminococcus_torques	abx	abx	-0.0158196449442428	0.00443943384555875	923	712	0.000385300769516908	0.0421370733455381
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.28988981112893e-06	2.61960921706123e-06	923	466	0.000410847895066916	0.0421370733455381
eubacterium_sp_cag_251	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00837550363221804	0.00247689634627184	923	167	0.000753772914578055	0.0557839651160082
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.56448837413972e-05	1.05994136742763e-05	923	783	0.000804576419942425	0.0557839651160082
hungatella_hathewayi	abx	abx	0.00267458583429611	0.000808794012693288	923	158	0.000997274058701924	0.0565726375118182
odoribacter_splanchnicus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.00689399514576926	0.00208024763476722	923	720	0.00095815203220907	0.0565726375118182
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.89337517693702e-06	1.19825449645294e-06	923	230	0.00120661868207587	0.0627441714679452
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-9.63722172733611e-06	3.00081031842669e-06	923	720	0.00137025832982144	0.065772399831429
clostridium_innocuum	abx	abx	0.00356874675782242	0.00114109405803008	923	212	0.00183834873440566	0.0819378293049382
dorea_longicatena	abx	abx	-0.0123283558823494	0.00411544995047375	923	763	0.00281480947032904	0.0975800616380733
clostridium_lavalense	abx	abx	0.00200402875284377	0.000659700142126894	923	235	0.00245310832610959	0.0975800616380733
acidaminococcus_intestini	abx	abx	-0.00567450762173075	0.00189008842004419	923	120	0.00276259410924454	0.0975800616380733
bifidobacterium_pseudocatenulatum	abx	abx	-0.00866812482949573	0.00287708950204943	923	150	0.00266150670408961	0.0975800616380733
coprococcus_catus	abx	abx	-0.00570086506012221	0.00193027730344106	923	593	0.00322907380151402	0.101345754271532
streptococcus_parasanguinis	agemlvs	agemlvs	0.00104913552123534	0.000355537923542922	923	415	0.00341067442259965	0.101345754271532
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.51106336686928e-05	1.1909479037146e-05	923	869	0.00331692763687713	0.101345754271532
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.25365028533411e-06	1.5321174541881e-06	923	244	0.00569323277554901	0.161480784179208
butyrivibrio_crossotus	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	-0.0123174906565725	0.00449151914472893	923	122	0.00622165260831448	0.168796140329923
clostridium_sp_cag_167	abx	abx	-0.00844760526852569	0.00312488634469895	923	297	0.00699828575750736	0.181955429695191
clostridium_sp_cag_253	a_omega3_noala_fs_dr	a_omega3_noala_fs_dr	0.00282885744398488	0.00110272927737553	923	111	0.0105111864883899	0.242925198842789
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000579699206950382	0.000224446283526837	923	157	0.0102603241308632	0.242925198842789
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00121423763709804	0.00046929416376958	923	157	0.010125293720829	0.242925198842789
