feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.0064219740158126	0.00143582055846187	923	111	8.76011430182055e-06	0.00182210377477867
flavonifractor_plautii	abx	abx	0.010217017578781	0.00226634461699672	923	639	7.42461669060674e-06	0.00182210377477867
escherichia_coli	abx	abx	-0.0278684778417738	0.00613593219513764	923	300	6.3878443634761e-06	0.00182210377477867
roseburia_faecis	abx	abx	-0.0335224839727501	0.00915604174730249	923	726	0.000267554478777298	0.039772758901741
ruminococcus_torques	abx	abx	-0.0160695422414108	0.00450660821811157	923	712	0.000382430374055202	0.039772758901741
clostridium_innocuum	abx	abx	0.00415107519839407	0.00116015836054206	923	212	0.000371592013910946	0.039772758901741
blautia_wexlerae	loghdl	loghdl	0.0353192676006786	0.0103817674942544	923	788	0.000714498137099325	0.0495385375055532
hungatella_hathewayi	abx	abx	0.00282664606422972	0.000824907493848786	923	158	0.000652652759272919	0.0495385375055532
acidaminococcus_intestini	abx	abx	-0.00655046978656452	0.00191672770240076	923	120	0.000664121589770414	0.0495385375055532
bacteroides_stercoris	bmi12	bmi12	0.00689370841035623	0.00204218813564093	923	468	0.000828733162676672	0.0517129493510243
eisenbergiella_massiliensis	bmi12	bmi12	0.000811563643697185	0.000247631791677981	923	255	0.00116299747062113	0.0659736746970531
clostridium_lavalense	abx	abx	0.00210279020833766	0.000674821695889769	923	235	0.00189382326842016	0.0984788099578483
bilophila_wadsworthia	bmi12	bmi12	0.000623176775571179	0.000203493515942337	923	492	0.00239206683194055	0.114819207933146
clostridium_sp_cag_167	bmi12	bmi12	-0.00167473600461804	0.000572878298038125	923	297	0.00372466221538725	0.166013515885832
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.0023919193069753	0.000837518965458997	923	407	0.0045789901232928	0.190485989128981
coprococcus_catus	abx	abx	-0.00545327339696784	0.00195169741939263	923	593	0.00532398407803917	0.193406587590276
streptococcus_parasanguinis	agemlvs	agemlvs	0.000997646599563376	0.000357530039208509	923	415	0.00561186773374375	0.193406587590276
bifidobacterium_pseudocatenulatum	abx	abx	-0.00810288162465033	0.00292910691674805	923	150	0.00579032251778288	0.193406587590276
erysipelatoclostridium_ramosum	loghdl	loghdl	0.0122704641737146	0.00444330493384535	923	180	0.00588898263496033	0.193406587590276
eubacterium_ventriosum	bmi12	bmi12	0.00109087527999119	0.000401269030282843	923	462	0.0069217850182717	0.204239136623293
anaerotignum_lactatifermentans	bmi12	bmi12	0.000737786167293663	0.000272744079746312	923	157	0.00720073879120586	0.204239136623293
acidaminococcus_intestini	bmi12	bmi12	0.00145753253730863	0.000532795745985395	923	120	0.00658110538285995	0.204239136623293
eubacterium_siraeum	abx	abx	0.0264500971454353	0.00994903779423718	923	603	0.00799099173936591	0.216799080233232
blautia_wexlerae	bmi12	bmi12	0.00215641685740143	0.000816225019333763	923	788	0.00865484057127465	0.225025854853141
dorea_longicatena	abx	abx	-0.0106461469173189	0.004148553305387	923	763	0.0104477818208157	0.227406793733989
alistipes_putredinis	agemlvs	agemlvs	0.00352245381700202	0.00136435819257915	923	737	0.0103120403803552	0.227406793733989
clostridium_sp_cag_167	abx	abx	-0.00824266571185915	0.00317986966671475	923	297	0.00970442726397506	0.227406793733989
sellimonas_intestinalis	abx	abx	0.00205269475352876	0.000801006004461789	923	112	0.0105685849652014	0.227406793733989
ruminococcus_bicirculans	abx	abx	-0.0187661118326178	0.00721280842056063	923	556	0.00943330839203321	0.227406793733989
