feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00669992021382713	0.00147903596131581	923	111	6.72698204551304e-06	0.00173822242082012
flavonifractor_plautii	abx	abx	0.00994930471198592	0.00221995084544779	923	639	8.35683856163518e-06	0.00173822242082012
escherichia_coli	abx	abx	-0.0273977895775591	0.00597092723320715	923	300	5.12882732644726e-06	0.00173822242082012
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	6.97217079781304e-06	1.58559892567927e-06	923	111	1.27117525019239e-05	0.00198303339030013
eubacterium_sp_cag_180	a_trn07_fo_dr	a_trn07_fo_dr	0.00876349979813491	0.00230804864347879	923	138	0.00015694269006778	0.0145949951350578
ruthenibacterium_lactatiformans	a_trn07_fo_dr	a_trn07_fo_dr	0.00375348552559532	0.000974290406106433	923	780	0.000125836914968645	0.0145949951350578
bifidobacterium_bifidum	a_trn07_fo_dr	a_trn07_fo_dr	0.00408640857633574	0.00107937734017049	923	116	0.00016372590696379	0.0145949951350578
roseburia_faecis	abx	abx	-0.032361774522834	0.00910326592717099	923	726	0.000399799328090039	0.0277194200809094
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-9.36201069353385e-06	2.62730219116078e-06	923	466	0.000385368415647374	0.0277194200809094
ruminococcus_torques	abx	abx	-0.0156020425173723	0.00443251080192979	923	712	0.000453375651654118	0.0281318260603085
haemophilus_parainfluenzae	a_trn07_fo_dr	a_trn07_fo_dr	-0.00196315489667706	0.000561448187539525	923	207	0.000495913600422106	0.0281318260603085
hungatella_hathewayi	abx	abx	0.00279343516880343	0.00080601065653275	923	158	0.000565108705237815	0.0293856526723664
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-3.58430123361154e-05	1.06281814827819e-05	923	783	0.000777681662930133	0.0373287198206464
roseburia_hominis	a_trn07_fo_dr	a_trn07_fo_dr	-0.00592671351150705	0.0018018175713665	923	800	0.0010478106194821	0.0398815784168117
roseburia_sp_cag_182	a_trn07_fo_dr	a_trn07_fo_dr	-0.00214176579828602	0.000652906345105633	923	110	0.00108651736071442	0.0398815784168117
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-3.98188008477767e-06	1.20095636259003e-06	923	230	0.000956876900715593	0.0398815784168117
clostridium_innocuum	abx	abx	0.00373193946208441	0.0011367987312171	923	212	0.00108072115071461	0.0398815784168117
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-9.76797207100303e-06	3.02364927635613e-06	923	720	0.00128356106737721	0.0426806067007694
turicibacter_sanguinis	a_trn07_fo_dr	a_trn07_fo_dr	-0.00165326085057927	0.000512114877568694	923	137	0.00129956975531189	0.0426806067007694
acidaminococcus_intestini	a_trn07_fo_dr	a_trn07_fo_dr	0.00256274224783291	0.000799088893704612	923	120	0.00139530853981443	0.0435336264422103
anaerotignum_lactatifermentans	a_trn07_fo_dr	a_trn07_fo_dr	0.00144507057890515	0.000457416639592306	923	157	0.00163951474627501	0.0487170096036002
clostridium_lavalense	abx	abx	0.00201749211316057	0.000659798187616914	923	235	0.00229709849090589	0.0646239347723051
bifidobacterium_pseudocatenulatum	abx	abx	-0.0087622351246958	0.00287599318192795	923	150	0.00238197195474842	0.0646239347723051
dorea_longicatena	abx	abx	-0.0123534349964567	0.00411530770816747	923	763	0.00275866433886798	0.0712867924002396
coprococcus_catus	abx	abx	-0.00577868669530947	0.00193173361179779	923	593	0.00285604136218909	0.0712867924002396
eubacterium_rectale	calor_fs_dr	calor_fs_dr	3.53637954363738e-05	1.19077281321774e-05	923	869	0.00309469572807882	0.0715218568267106
collinsella_aerofaciens	a_trn07_fo_dr	a_trn07_fo_dr	0.00624906161221463	0.00210526955608471	923	743	0.0030740458320453	0.0715218568267106
streptococcus_parasanguinis	agemlvs	agemlvs	0.00104866748927646	0.000355877654073191	923	415	0.00345336932657768	0.0750505505633023
bilophila_wadsworthia	a_trn07_fo_dr	a_trn07_fo_dr	0.00145042075886893	0.000495192045984843	923	492	0.00348792622810219	0.0750505505633023
acidaminococcus_intestini	abx	abx	-0.00544962332277883	0.00188883123129801	923	120	0.00401561710187671	0.0835248357190356
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-4.32228198848369e-06	1.52975605421355e-06	923	244	0.00490031987401218	0.0986386968188259
eisenbergiella_massiliensis	a_trn07_fo_dr	a_trn07_fo_dr	0.00156669896629618	0.000562428065131766	923	255	0.0054550477790766	0.106373431691994
