feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0127456117282133	0.00252335107357091	923	593	7.58415916615032e-07	0.00047325153196778
roseburia_hominis	ala_avg	ala_avg	0.0109608893544545	0.00270567081648604	923	800	6.51672058478854e-05	0.0177233196482839
paraprevotella_clara	ala_avg	ala_avg	0.00351110734979833	0.000881307949119857	923	125	8.52082675398267e-05	0.0177233196482839
hungatella_hathewayi	abx_avg	abx_avg	0.00319250023861473	0.000878767216295603	923	158	0.000334717274194992	0.0522158947744187
clostridium_lavalense	abx_avg	abx_avg	0.0031168854640832	0.000914470502888132	923	235	0.000741295102591206	0.0925136288033825
ruminococcus_torques	abx_avg	abx_avg	-0.0213746665807641	0.00646957721896292	923	712	0.00106902937118	0.102291914037672
lactobacillus_rogosae	abx_avg	abx_avg	-0.00466568733017995	0.00142097711110491	923	233	0.00114750544593542	0.102291914037672
clostridium_sp_cag_253	ala_avg	ala_avg	0.00354719686751257	0.0010972133383392	923	111	0.00136449848868956	0.106430882117786
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0189049265502618	0.00619486406676045	923	407	0.00247795869658361	0.171805136296463
clostridium_innocuum	abx_avg	abx_avg	0.00383047068049282	0.00128663176716023	923	212	0.00315638463995143	0.196958401532969
oscillibacter_sp_57_20	ala_avg	ala_avg	0.00974893926296648	0.00340285096283074	923	662	0.00446196349674212	0.253115020178826
roseburia_faecis	abx_avg	abx_avg	-0.0295371034357455	0.0114007680967133	923	726	0.0100359337356188	0.324360958122059
alistipes_putredinis	agemlvs	agemlvs	0.0034068641301113	0.00133884311529015	923	737	0.0114358030107136	0.324360958122059
alistipes_putredinis	abx_avg	abx_avg	-0.0309026433699887	0.0121350446056541	923	737	0.0113749665141309	0.324360958122059
ruminococcus_bromii	ala_avg	ala_avg	-0.0192292653103417	0.00748195429951119	923	512	0.0106480544747458	0.324360958122059
bacteroides_fragilis	ala_avg	ala_avg	-0.00906310831338045	0.00350199724977238	923	461	0.0101147222637877	0.324360958122059
butyricimonas_virosa	abx_avg	abx_avg	-0.00793291340102249	0.00310844798033329	923	493	0.0111967461989363	0.324360958122059
streptococcus_parasanguinis	agemlvs	agemlvs	0.000962844414410097	0.000351053300614385	923	415	0.00645277709476612	0.324360958122059
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00792824064392469	0.00309076969423217	923	819	0.0107925189065388	0.324360958122059
eubacterium_rectale	calor_avg	calor_avg	2.62931155668737e-05	1.02981980110726e-05	923	869	0.011175502959678	0.324360958122059
lawsonibacter_asaccharolyticus	ala_avg	ala_avg	-0.00464894486819398	0.0017172079962208	923	746	0.00716688587924263	0.324360958122059
proteobacteria_bacterium_cag_139	ala_avg	ala_avg	-0.00558861906319799	0.00215041348188828	923	380	0.00980932514010539	0.324360958122059
roseburia_intestinalis	abx_avg	abx_avg	0.0200643203772045	0.00809162641720076	923	694	0.0137023192995988	0.359673823451546
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00347268402786608	0.00140237892977709	923	212	0.0138336085942902	0.359673823451546
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00287446930574555	0.00122074484987536	923	267	0.0191810232609256	0.363543382348436
