feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0127456117282133	0.00252335107357091	923	593	7.58415916615032e-07	0.00047325153196778
roseburia_hominis	ala_avg	ala_avg	0.0109608893544545	0.00270567081648604	923	800	6.51672058478854e-05	0.0177233196482839
paraprevotella_clara	ala_avg	ala_avg	0.00351110734979833	0.000881307949119857	923	125	8.52082675398267e-05	0.0177233196482839
hungatella_hathewayi	abx_avg	abx_avg	0.00319250023861473	0.000878767216295603	923	158	0.000334717274194992	0.0522158947744187
clostridium_lavalense	abx_avg	abx_avg	0.0031168854640832	0.000914470502888132	923	235	0.000741295102591206	0.0925136288033825
ruminococcus_torques	abx_avg	abx_avg	-0.0213746665807641	0.00646957721896292	923	712	0.00106902937118	0.102291914037672
lactobacillus_rogosae	abx_avg	abx_avg	-0.00466568733017995	0.00142097711110491	923	233	0.00114750544593542	0.102291914037672
clostridium_sp_cag_253	ala_avg	ala_avg	0.00354719686751257	0.0010972133383392	923	111	0.00136449848868956	0.106430882117786
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0189049265502618	0.00619486406676045	923	407	0.00247795869658361	0.171805136296463
clostridium_innocuum	abx_avg	abx_avg	0.00383047068049282	0.00128663176716023	923	212	0.00315638463995143	0.196958401532969
