feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126440583026076	0.00251965735772016	923	593	8.87877564935716e-07	0.000554035600519887
hungatella_hathewayi	abx_avg	abx_avg	0.00338957178514755	0.000882794825159308	923	158	0.000152997025885387	0.0477350720762406
ruminococcus_torques	abx_avg	abx_avg	-0.021644218234886	0.00637998860860227	923	712	0.000785052241394243	0.117382517457118
ruminococcus_lactaris	ala10v	ala10v	0.0282859429367566	0.00859247177960187	923	489	0.00111240832321729	0.117382517457118
lactobacillus_rogosae	abx_avg	abx_avg	-0.00464318282643701	0.00141206369511907	923	233	0.00112867805247229	0.117382517457118
clostridium_lavalense	abx_avg	abx_avg	0.0030527392466002	0.000904865390229767	923	235	0.000837025751831515	0.117382517457118
clostridium_innocuum	abx_avg	abx_avg	0.00395242187830996	0.00129198513433449	923	212	0.00242715427076681	0.195277243071436
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0188839267649774	0.00619447510175605	923	407	0.00250355439835174	0.195277243071436
streptococcus_parasanguinis	agemlvs	agemlvs	0.00099187985331492	0.000347606423981817	923	415	0.00462004109468947	0.320322849231803
blautia_sp_cag_257	ala10v	ala10v	-0.0154165705969712	0.00607478429437986	923	261	0.0116598595763491	0.383533202729789
roseburia_faecis	abx_avg	abx_avg	-0.029574701870967	0.0113593191593758	923	726	0.00967667715805496	0.383533202729789
ruminococcus_torques	calor10v	calor10v	1.45882015849783e-05	6.15134670885014e-06	923	712	0.0183484245779758	0.383533202729789
roseburia_sp_cag_303	ala10v	ala10v	0.0140769779305258	0.00546646107574585	923	134	0.010504336998521	0.383533202729789
eubacterium_ramulus	calor10v	calor10v	6.90681855941609e-06	2.76445357337344e-06	923	627	0.0130158065830026	0.383533202729789
roseburia_intestinalis	abx_avg	abx_avg	0.0192182737481537	0.00809913232963076	923	694	0.0182805596048195	0.383533202729789
alistipes_putredinis	agemlvs	agemlvs	0.00315966221008587	0.00133346848016209	923	737	0.018439096285086	0.383533202729789
alistipes_putredinis	abx_avg	abx_avg	-0.0308672118685515	0.012143966364896	923	737	0.0115280292609387	0.383533202729789
eubacterium_sp_cag_251	calor10v	calor10v	1.26125829521569e-05	4.79739965087118e-06	923	167	0.00900301065141055	0.383533202729789
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0125959171867994	0.00497315870905464	923	167	0.0118207363241636	0.383533202729789
blautia_hydrogenotrophica	abx_avg	abx_avg	0.0033922184983182	0.00139941410499899	923	212	0.0159456212525088	0.383533202729789
sellimonas_intestinalis	abx_avg	abx_avg	0.00241711572805223	0.000985802017943574	923	112	0.0147493124923908	0.383533202729789
flavonifractor_plautii	abx_avg	abx_avg	0.00844187357312033	0.0034461914416333	923	639	0.014863243387174	0.383533202729789
clostridium_bolteae	abx_avg	abx_avg	0.00299172838345085	0.0012464694074729	923	274	0.0169762579235464	0.383533202729789
eggerthella_lenta	ala10v	ala10v	0.00948981111859633	0.00370456733641817	923	399	0.0109061319165424	0.383533202729789
butyricimonas_virosa	abx_avg	abx_avg	-0.00788063624069668	0.00309994346392249	923	493	0.0115103205161059	0.383533202729789
clostridium_lavalense	ala10v	ala10v	-0.00322157011498864	0.00134290447124938	923	235	0.0170403508800306	0.383533202729789
