feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00641774146160464	0.00142765204376605	900	107	7.89452879458892e-06	0.0016420619892745
flavonifractor_plautii	abx	abx	0.0102728878470375	0.00224694688293489	900	625	5.5247678256233e-06	0.0016420619892745
escherichia_coli	abx	abx	-0.0283025820045809	0.00608500244372522	900	294	3.8318927825564e-06	0.0016420619892745
eubacterium_sp_cag_180	logtg	logtg	-0.0296883117349018	0.00715644447524231	900	134	3.68698182261566e-05	0.00575169164328043
faecalibacterium_prausnitzii	logtg	logtg	-0.0325317746612986	0.00864782645504187	900	886	0.000185714968606042	0.023177228082034
roseburia_faecis	abx	abx	-0.0333923400524605	0.00911475843608069	900	708	0.000265086333266995	0.0275689786597675
ruminococcus_torques	abx	abx	-0.0155635705140977	0.0044800144004249	900	693	0.000537868788875003	0.0397759968488252
coprococcus_eutactus	logtg	logtg	-0.0275122224523684	0.00784171209213188	900	206	0.000476672206681968	0.0397759968488252
clostridium_innocuum	abx	abx	0.00400457032319015	0.00115722289295562	900	207	0.000573692262242671	0.0397759968488252
hungatella_hathewayi	abx	abx	0.00278000024074085	0.000822087061344112	900	156	0.00076668732334272	0.0398677408138215
clostridium_sp_cag_167	logtg	logtg	-0.0129439123115322	0.00381200956962841	900	285	0.00072755473190869	0.0398677408138215
acidaminococcus_intestini	abx	abx	-0.00642549169342055	0.0019016886619982	900	115	0.00076358072307804	0.0398677408138215
eisenbergiella_massiliensis	bmi12	bmi12	0.000802504847895776	0.000246145682462778	900	253	0.00123317892168999	0.0591925882411196
bacteroides_stercoris	bmi12	bmi12	0.00632941218283598	0.00202198705774741	900	453	0.00191282419524827	0.0852573069882086
clostridium_lavalense	abx	abx	0.00206147485354876	0.000670902134402169	900	229	0.00218829251568172	0.0853434081115873
bilophila_wadsworthia	bmi12	bmi12	0.000622412954004131	0.00020123639791276	900	481	0.00216718720001845	0.0853434081115873
bifidobacterium_pseudocatenulatum	abx	abx	-0.00892360904606588	0.00292267456054329	900	147	0.00233308480195673	0.0856379362600587
clostridium_sp_cag_58	logtg	logtg	0.00742456659730064	0.00250492612584892	900	673	0.00314557864319669	0.10736030642169
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.0024566961395227	0.000828670305340878	900	393	0.00326898368912196	0.10736030642169
gemmiger_formicilis	logtg	logtg	-0.00605968765179328	0.00206628974503026	900	680	0.00346311418822973	0.108049162672768
eubacterium_ventriosum	bmi12	bmi12	0.00115310334617536	0.000396602839708578	900	447	0.00390793595380662	0.116121525484539
coprococcus_catus	abx	abx	-0.00547769430352069	0.00193498860283741	900	576	0.00475411560434801	0.123607005713048
bacteroides_xylanisolvens	logtg	logtg	0.012860560101988	0.00452552196142924	900	543	0.00459298409124362	0.123607005713048
streptococcus_parasanguinis	agemlvs	agemlvs	0.00101320863635086	0.000352958271297497	900	412	0.00439078126432759	0.123607005713048
clostridium_sp_cag_167	abx	abx	-0.00849443568105989	0.00313871774230844	900	285	0.00694150853917214	0.155373784412599
ruminococcus_bicirculans	abx	abx	-0.019392615736955	0.00716894482075213	900	541	0.00696277488834769	0.155373784412599
clostridium_citroniae	logtg	logtg	0.00182644738469207	0.000674465585061156	900	228	0.00697190058261661	0.155373784412599
eubacterium_siraeum	abx	abx	0.0267974262340596	0.00986967549293602	900	583	0.00675554922601301	0.155373784412599
dorea_longicatena	abx	abx	-0.0109582654793452	0.00412576392970432	900	741	0.00805068618939709	0.170533254915499
roseburia_inulinivorans	bmi12	bmi12	0.00201788166414624	0.000761503178212931	900	742	0.00847200465125074	0.170533254915499
streptococcus_parasanguinis	logtg	logtg	0.00730460402307309	0.00275898934162724	900	412	0.00828738302247354	0.170533254915499
acidaminococcus_intestini	bmi12	bmi12	0.00139424582839877	0.000528820677769812	900	115	0.00879854881244294	0.171571701842637
roseburia_sp_cag_303	bmi12	bmi12	-0.00125453296577245	0.000486781638682012	900	130	0.010427598839105	0.191382616157799
slackia_isoflavoniconvertens	logtg	logtg	-0.00443150369672687	0.00172643338216906	900	211	0.010427898957316	0.191382616157799
oscillibacter_sp_cag_241	logtg	logtg	-0.0103671558164119	0.00406216145010735	900	498	0.0108853491359594	0.194070224595391
alistipes_putredinis	agemlvs	agemlvs	0.00343334262308098	0.00135927072770981	900	716	0.0120677740990598	0.203695098646851
butyrivibrio_crossotus	logtg	logtg	-0.0187715995462653	0.00746291601846016	900	116	0.0120780747595088	0.203695098646851
holdemania_filiformis	abx	abx	0.00188386540250194	0.000751922165798515	900	323	0.012418639074381	0.203927125852994
sellimonas_intestinalis	abx	abx	0.00197329107374936	0.000797016551839323	900	112	0.0134959455280663	0.215935128449062
eubacterium_ventriosum	abx	abx	-0.00482135862967274	0.00201302930491033	900	447	0.0168258125123331	0.244169930411532
bacteroides_ovatus	logtg	logtg	0.0164065696966614	0.00683627279429128	900	751	0.016625951980208	0.244169930411532
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000831910041659304	0.000342837856619745	900	250	0.0158517009095023	0.244169930411532
ruthenibacterium_lactatiformans	bmi12	bmi12	0.000907916436586617	0.000376744208678066	900	758	0.016579089676404	0.244169930411532
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000543446010451604	0.000227997200268053	900	154	0.0177803562790402	0.252157779957297
bacteroides_cellulosilyticus	bmi12	bmi12	-0.00342262959432562	0.00146362738380889	900	515	0.0200018579815907	0.277359097344724
bifidobacterium_adolescentis	agemlvs	agemlvs	-0.00222985625663628	0.000960279251201914	900	301	0.0209182873250544	0.283761115018129
alistipes_indistinctus	abx	abx	0.00458701450679762	0.0020344764407163	900	376	0.0244024116822452	0.323980955100447
coprococcus_catus	logtg	logtg	-0.00523621393816261	0.00234455293425954	900	576	0.0258761242789888	0.333451794792787
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00107009671624432	0.000478869537902384	900	151	0.0261845159372541	0.333451794792787
eubacterium_sp_cag_251	abx	abx	-0.00705531539119866	0.0032885153172838	900	164	0.0321912123807079	0.341069309046455
eubacterium_sp_cag_180	bmi12	bmi12	0.00269880206139717	0.00124448318294609	900	134	0.0308766418499836	0.341069309046455
clostridium_bolteae	abx	abx	0.00207605080672037	0.000966542769028811	900	270	0.0320110775772595	0.341069309046455
eisenbergiella_massiliensis	logtg	logtg	-0.00357952128652157	0.00163250932768272	900	253	0.0286639974888226	0.341069309046455
anaerotignum_lactatifermentans	bmi12	bmi12	0.000587740984562309	0.000270268697027268	900	154	0.0304148095798811	0.341069309046455
ruthenibacterium_lactatiformans	abx	abx	0.00494392449496489	0.00228312516984722	900	758	0.0306636271353057	0.341069309046455
desulfovibrio_piger	agemlvs	agemlvs	-0.000631648141472686	0.000293563780365628	900	97	0.0322485404386873	0.341069309046455
methanobrevibacter_smithii	logtg	logtg	-0.0111535776208485	0.00507294531439322	900	357	0.0281751598168356	0.341069309046455
phascolarctobacterium_succinatutens	abx	abx	-0.00492127956709201	0.00228924196455951	900	101	0.0318916722971282	0.341069309046455
firmicutes_bacterium_cag_83	logtg	logtg	0.00868553132884097	0.00401925056108377	900	628	0.0309894690182452	0.341069309046455
coprococcus_comes	abx	abx	-0.00677444989644649	0.00324767353364439	900	728	0.0372720596001408	0.363402581101372
streptococcus_salivarius	agemlvs	agemlvs	0.00122330155600559	0.000583116851591962	900	561	0.0367632478481474	0.363402581101372
parabacteroides_johnsonii	bmi12	bmi12	0.00118821757092723	0.000567226691568538	900	151	0.0369966683328576	0.363402581101372
agathobaculum_butyriciproducens	abx	abx	-0.00522945476033157	0.0025025500766658	900	796	0.0369625269677368	0.363402581101372
firmicutes_bacterium_cag_94	abx	abx	-0.00295652585476036	0.00140249507309522	900	234	0.0353110225585466	0.363402581101372
barnesiella_intestinihominis	logtg	logtg	-0.012354142830461	0.00594834388768425	900	469	0.0381005541802928	0.365765320130811
bacteroides_eggerthii	abx	abx	0.0132326908736826	0.00650005900517921	900	236	0.0420941401714912	0.397980961621371
proteobacteria_bacterium_cag_139	agemlvs	agemlvs	-0.000876258737330389	0.000430882967207275	900	370	0.0428726814619608	0.399291839287515
clostridium_sp_cag_167	bmi12	bmi12	-0.00112468535984169	0.000558381628496709	900	285	0.0448814611657897	0.408924592512088
ruminococcus_lactaris	abx	abx	-0.00795832702461529	0.00403558101932579	900	476	0.0489192760767287	0.408924592512088
lactobacillus_rogosae	abx	abx	-0.0022166887976795	0.00112823157470791	900	226	0.0497820209637957	0.408924592512088
flavonifractor_plautii	logtg	logtg	0.00563040383071647	0.00284717982364788	900	625	0.048334758244434	0.408924592512088
turicimonas_muris	agemlvs	agemlvs	-0.000324865263709704	0.00016395982528193	900	343	0.0484891711950718	0.408924592512088
bacteroides_cellulosilyticus	abx	abx	-0.00996856492915079	0.00504666596339856	900	515	0.0485909479459976	0.408924592512088
sutterella_parvirubra	bmi12	bmi12	0.000358694160185478	0.00018086085394625	900	196	0.0482918913045361	0.408924592512088
holdemania_filiformis	bmi12	bmi12	0.000266543771554176	0.000134975239322054	900	323	0.0491832638073088	0.408924592512088
phascolarctobacterium_faecium	logtg	logtg	0.00606018979190798	0.00308509449889484	900	453	0.0498049183187799	0.408924592512088
butyrivibrio_crossotus	abx	abx	-0.0112035701481877	0.00574387127521897	900	116	0.0514367751162889	0.416838281461874
holdemanella_biformis	logtg	logtg	0.00354257349825418	0.00182906689127153	900	199	0.053105309466632	0.422789675758814
lawsonibacter_asaccharolyticus	abx	abx	0.00388195352582063	0.0020079934425801	900	728	0.0535262570271576	0.422789675758814
alistipes_putredinis	bmi12	bmi12	0.00311095346986478	0.00161673584916067	900	716	0.0552473244181877	0.430929130461864
prevotella_copri	abx	abx	-0.0244290995970825	0.0128386308503989	900	226	0.0574225179259171	0.434802822680684
bacteroides_salyersiae	logtg	logtg	-0.00629575479068232	0.0033143473994942	900	229	0.0578343498116935	0.434802822680684
butyricimonas_virosa	bmi12	bmi12	-0.000796116060156853	0.000416875892491517	900	479	0.05708483145392	0.434802822680684
roseburia_sp_cag_182	abx	abx	-0.00251788746272127	0.00135339018592643	900	102	0.063259717869723	0.452926861106652
veillonella_parvula	agemlvs	agemlvs	0.000375199766890359	0.000201885653265293	900	188	0.0641485773789546	0.452926861106652
clostridium_bolteae	logtg	logtg	0.00215741895861942	0.00116537485397898	900	270	0.0646001452539937	0.452926861106652
coprobacter_fastidiosus	agemlvs	agemlvs	-0.00068976728101089	0.000369122207070994	900	242	0.0626561348771597	0.452926861106652
escherichia_coli	agemlvs	agemlvs	0.00231617914521481	0.00124535639969298	900	294	0.0639060174373605	0.452926861106652
methanobrevibacter_smithii	agemlvs	agemlvs	0.00138094303692911	0.000742437843095782	900	357	0.0638950464053348	0.452926861106652
eubacterium_siraeum	logtg	logtg	-0.0227575548314705	0.0123312176525118	900	583	0.0653665749161837	0.453208252752207
eubacterium_ramulus	abx	abx	-0.00374352850562267	0.00207018787466649	900	609	0.0709049172017656	0.473260571195985
bacteroides_dorei	abx	abx	0.0121213318030298	0.0067107721158822	900	490	0.0712924578404208	0.473260571195985
slackia_isoflavoniconvertens	bmi12	bmi12	-0.000590349745492008	0.000324742669637827	900	211	0.0700531750421911	0.473260571195985
catenibacterium_mitsuokai	bmi12	bmi12	0.000584496357990185	0.000322881884461706	900	93	0.071242815649245	0.473260571195985
bifidobacterium_adolescentis	bmi12	bmi12	-0.00205248182225919	0.0011452650364713	900	301	0.0740982513055027	0.486708513838249
dorea_sp_cag_317	abx	abx	0.00386005835566087	0.00217116799050929	900	311	0.0757848878284613	0.491166565808153
roseburia_sp_cag_182	agemlvs	agemlvs	-0.000301903707582815	0.000171553819811756	900	102	0.0794997165811274	0.491166565808153
bacteroides_intestinalis	abx	abx	0.00812070809899706	0.00461976327422364	900	239	0.0791433823185277	0.491166565808153
clostridium_lavalense	bmi12	bmi12	0.000220483347908243	0.000124041000968807	900	229	0.076461920298558	0.491166565808153
parabacteroides_goldsteinii	bmi12	bmi12	-0.000718731281238882	0.000407334375533245	900	250	0.0786509867133604	0.491166565808153
akkermansia_muciniphila	agemlvs	agemlvs	0.00228542156179794	0.00128903700877175	900	570	0.0772786391396576	0.491166565808153
alistipes_inops	agemlvs	agemlvs	-0.000814658162284105	0.000466800774681375	900	160	0.0820183332335112	0.501759215075598
blautia_wexlerae	agemlvs	agemlvs	0.00116125817303409	0.000683900537053423	900	767	0.0905413933608392	0.51514987885482
roseburia_sp_cag_309	abx	abx	-0.00155376404144102	0.000913986482467787	900	260	0.0895047799595767	0.51514987885482
alistipes_putredinis	logtg	logtg	-0.0160466763839804	0.00938045089104957	900	716	0.0875168773162868	0.51514987885482
oscillibacter_sp_cag_241	agemlvs	agemlvs	0.0010057520427025	0.00058275363258295	900	498	0.0854363569623459	0.51514987885482
