feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00641774146160464	0.00142765204376605	923	111	7.89452879458892e-06	0.0016420619892745
flavonifractor_plautii	abx	abx	0.0102728878470375	0.00224694688293489	923	639	5.5247678256233e-06	0.0016420619892745
escherichia_coli	abx	abx	-0.0283025820045809	0.00608500244372522	923	300	3.8318927825564e-06	0.0016420619892745
eubacterium_sp_cag_180	logtg	logtg	-0.0296883117349018	0.00715644447524231	923	138	3.68698182261566e-05	0.00575169164328043
faecalibacterium_prausnitzii	logtg	logtg	-0.0325317746612986	0.00864782645504187	923	909	0.000185714968606042	0.023177228082034
roseburia_faecis	abx	abx	-0.0333923400524605	0.00911475843608069	923	726	0.000265086333266995	0.0275689786597675
ruminococcus_torques	abx	abx	-0.0155635705140977	0.0044800144004249	923	712	0.000537868788875003	0.0397759968488252
coprococcus_eutactus	logtg	logtg	-0.0275122224523684	0.00784171209213188	923	212	0.000476672206681968	0.0397759968488252
clostridium_innocuum	abx	abx	0.00400457032319015	0.00115722289295562	923	212	0.000573692262242671	0.0397759968488252
hungatella_hathewayi	abx	abx	0.00278000024074085	0.000822087061344112	923	158	0.00076668732334272	0.0398677408138215
clostridium_sp_cag_167	logtg	logtg	-0.0129439123115322	0.00381200956962841	923	297	0.00072755473190869	0.0398677408138215
acidaminococcus_intestini	abx	abx	-0.00642549169342055	0.0019016886619982	923	120	0.00076358072307804	0.0398677408138215
eisenbergiella_massiliensis	bmi12	bmi12	0.000802504847895776	0.000246145682462778	923	255	0.00123317892168999	0.0591925882411196
bacteroides_stercoris	bmi12	bmi12	0.00632941218283598	0.00202198705774741	923	468	0.00191282419524827	0.0852573069882086
clostridium_lavalense	abx	abx	0.00206147485354876	0.000670902134402169	923	235	0.00218829251568172	0.0853434081115873
bilophila_wadsworthia	bmi12	bmi12	0.000622412954004131	0.00020123639791276	923	492	0.00216718720001845	0.0853434081115873
bifidobacterium_pseudocatenulatum	abx	abx	-0.00892360904606588	0.00292267456054329	923	150	0.00233308480195673	0.0856379362600587
clostridium_sp_cag_58	logtg	logtg	0.00742456659730064	0.00250492612584892	923	690	0.00314557864319669	0.10736030642169
firmicutes_bacterium_cag_110	bmi12	bmi12	-0.0024566961395227	0.000828670305340878	923	407	0.00326898368912196	0.10736030642169
gemmiger_formicilis	logtg	logtg	-0.00605968765179328	0.00206628974503026	923	700	0.00346311418822973	0.108049162672768
eubacterium_ventriosum	bmi12	bmi12	0.00115310334617536	0.000396602839708578	923	462	0.00390793595380662	0.116121525484539
coprococcus_catus	abx	abx	-0.00547769430352069	0.00193498860283741	923	593	0.00475411560434801	0.123607005713048
bacteroides_xylanisolvens	logtg	logtg	0.012860560101988	0.00452552196142924	923	559	0.00459298409124362	0.123607005713048
streptococcus_parasanguinis	agemlvs	agemlvs	0.00101320863635086	0.000352958271297497	923	415	0.00439078126432759	0.123607005713048
clostridium_sp_cag_167	abx	abx	-0.00849443568105989	0.00313871774230844	923	297	0.00694150853917214	0.155373784412599
ruminococcus_bicirculans	abx	abx	-0.019392615736955	0.00716894482075213	923	556	0.00696277488834769	0.155373784412599
clostridium_citroniae	logtg	logtg	0.00182644738469207	0.000674465585061156	923	232	0.00697190058261661	0.155373784412599
eubacterium_siraeum	abx	abx	0.0267974262340596	0.00986967549293602	923	603	0.00675554922601301	0.155373784412599
dorea_longicatena	abx	abx	-0.0109582654793452	0.00412576392970432	923	763	0.00805068618939709	0.170533254915499
roseburia_inulinivorans	bmi12	bmi12	0.00201788166414624	0.000761503178212931	923	763	0.00847200465125074	0.170533254915499
streptococcus_parasanguinis	logtg	logtg	0.00730460402307309	0.00275898934162724	923	415	0.00828738302247354	0.170533254915499
acidaminococcus_intestini	bmi12	bmi12	0.00139424582839877	0.000528820677769812	923	120	0.00879854881244294	0.171571701842637
roseburia_sp_cag_303	bmi12	bmi12	-0.00125453296577245	0.000486781638682012	923	134	0.010427598839105	0.191382616157799
slackia_isoflavoniconvertens	logtg	logtg	-0.00443150369672687	0.00172643338216906	923	215	0.010427898957316	0.191382616157799
oscillibacter_sp_cag_241	logtg	logtg	-0.0103671558164119	0.00406216145010735	923	511	0.0108853491359594	0.194070224595391
alistipes_putredinis	agemlvs	agemlvs	0.00343334262308098	0.00135927072770981	923	737	0.0120677740990598	0.203695098646851
butyrivibrio_crossotus	logtg	logtg	-0.0187715995462653	0.00746291601846016	923	122	0.0120780747595088	0.203695098646851
holdemania_filiformis	abx	abx	0.00188386540250194	0.000751922165798515	923	332	0.012418639074381	0.203927125852994
sellimonas_intestinalis	abx	abx	0.00197329107374936	0.000797016551839323	923	112	0.0134959455280663	0.215935128449062
eubacterium_ventriosum	abx	abx	-0.00482135862967274	0.00201302930491033	923	462	0.0168258125123331	0.244169930411532
bacteroides_ovatus	logtg	logtg	0.0164065696966614	0.00683627279429128	923	770	0.016625951980208	0.244169930411532
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000831910041659304	0.000342837856619745	923	255	0.0158517009095023	0.244169930411532
ruthenibacterium_lactatiformans	bmi12	bmi12	0.000907916436586617	0.000376744208678066	923	780	0.016579089676404	0.244169930411532
