feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126941783362062	0.00252513100189062	923	593	8.50964415535322e-07	0.000531001795294041
hungatella_hathewayi	abx_avg	abx_avg	0.00322494121410513	0.000880690694577531	923	158	0.000300529032367381	0.093765058098623
ruminococcus_torques	abx_avg	abx_avg	-0.0215975806062584	0.00638513671856901	923	712	0.000813762672712805	0.126215440667201
lactobacillus_rogosae	abx_avg	abx_avg	-0.00463197447799796	0.00141781061448117	923	233	0.00121361000641539	0.126215440667201
clostridium_lavalense	abx_avg	abx_avg	0.00310562466110048	0.000912658504459204	923	235	0.000755839234001108	0.126215440667201
ruthenibacterium_lactatiformans	dha_avg	dha_avg	0.0198316600840844	0.0059939780110672	923	780	0.00105732302968678	0.126215440667201
ruminococcus_torques	dha_avg	dha_avg	-0.0422782637800424	0.0138932508025596	923	712	0.00254876323731397	0.208021756184012
clostridium_innocuum	abx_avg	abx_avg	0.00387979256745111	0.00129308561485451	923	212	0.00293147009822917	0.208021756184012
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0185921283439488	0.00621391292822902	923	407	0.00300031379111555	0.208021756184012
streptococcus_parasanguinis	agemlvs	agemlvs	0.000980442899470049	0.000348578736205564	923	415	0.00523115986612278	0.326424375646061
roseburia_faecis	abx_avg	abx_avg	-0.0297816933972477	0.0114095864880763	923	726	0.0094949440264865	0.426809464571928
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00287604514563399	0.00122061928177292	923	267	0.0191030814282415	0.426809464571928
roseburia_intestinalis	abx_avg	abx_avg	0.0192165666627548	0.00803138315331432	923	694	0.0173417197544338	0.426809464571928
roseburia_intestinalis	dha_avg	dha_avg	-0.0443050159234274	0.0174776507788509	923	694	0.0117544243264726	0.426809464571928
alistipes_putredinis	agemlvs	agemlvs	0.00315946745869321	0.00133322098958808	923	737	0.0184246879475062	0.426809464571928
alistipes_putredinis	abx_avg	abx_avg	-0.0301304150481016	0.012171714955372	923	737	0.0138548989044126	0.426809464571928
alistipes_finegoldii	calor_avg	calor_avg	-1.62929565640352e-05	6.91340719352517e-06	923	756	0.0190753057135254	0.426809464571928
clostridium_sp_cag_299	dha_avg	dha_avg	-0.00646562333675519	0.0027889902828904	923	124	0.0210900283804694	0.426809464571928
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0123513505349047	0.00501797034981818	923	167	0.0143955231023604	0.426809464571928
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00352508725606777	0.00140357313920171	923	212	0.0125522600827345	0.426809464571928
sellimonas_intestinalis	abx_avg	abx_avg	0.00227789499078538	0.000988028866105521	923	112	0.0217862393788998	0.426809464571928
flavonifractor_plautii	abx_avg	abx_avg	0.00818721487170207	0.00344876647373657	923	639	0.0182190607480862	0.426809464571928
clostridium_bolteae	abx_avg	abx_avg	0.00295333139050222	0.00124842309967127	923	274	0.0186135689768159	0.426809464571928
paraprevotella_clara	dha_avg	dha_avg	0.00836858435565188	0.00346612798391762	923	125	0.0163627940306685	0.426809464571928
