feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0127078454935916	0.00252381423915785	923	593	8.18965212399075e-07	0.000511034292537023
hungatella_hathewayi	abx_avg	abx_avg	0.00323472696690151	0.00087960974149855	923	158	0.000283584738101481	0.0657939906295749
ruthenibacterium_lactatiformans	dpa_avg	dpa_avg	0.218378833588467	0.0598980072044068	923	780	0.000316317262642187	0.0657939906295749
clostridium_lavalense	abx_avg	abx_avg	0.00312928238303619	0.000914635378212726	923	235	0.000708080098310315	0.110460495336409
ruminococcus_torques	abx_avg	abx_avg	-0.0213447420958597	0.00641539448168193	923	712	0.000986688894869367	0.118146113585604
lactobacillus_rogosae	abx_avg	abx_avg	-0.00466761576444971	0.00142030518028206	923	233	0.0011360203229385	0.118146113585604
clostridium_innocuum	abx_avg	abx_avg	0.0039089514994697	0.00129302879430301	923	212	0.00272689026152465	0.228409037024853
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.01864209221185	0.0062147471708789	923	407	0.00292832098749812	0.228409037024853
streptococcus_parasanguinis	agemlvs	agemlvs	0.000980877999741789	0.000348058674844078	923	415	0.00514579798302449	0.356775326823031
roseburia_faecis	abx_avg	abx_avg	-0.0298750318682731	0.0113972975496694	923	726	0.00920127997762541	0.417784588424677
ruminococcus_torques	dpa_avg	dpa_avg	-0.355575723895887	0.140092722650157	923	712	0.0116481265574237	0.417784588424677
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00287624349292227	0.00122029388152234	923	267	0.0190635549584708	0.417784588424677
roseburia_intestinalis	abx_avg	abx_avg	0.0195962936239762	0.00808739000323369	923	694	0.0159832323055051	0.417784588424677
alistipes_putredinis	agemlvs	agemlvs	0.00313840047741269	0.00133008746833402	923	737	0.0189323744700506	0.417784588424677
alistipes_putredinis	abx_avg	abx_avg	-0.0301704461342695	0.0121431306390455	923	737	0.013512155703532	0.417784588424677
alistipes_finegoldii	calor_avg	calor_avg	-1.66081678373235e-05	6.90070330861351e-06	923	756	0.016696335836093	0.417784588424677
eubacterium_sp_cag_38	dpa_avg	dpa_avg	-0.270238004586987	0.102001701672295	923	523	0.00849188169074684	0.417784588424677
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0123261636274386	0.00501425036709649	923	167	0.0145220571927398	0.417784588424677
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00352229928225875	0.001402540986598	923	212	0.0125573978256076	0.417784588424677
eisenbergiella_tayi	dpa_avg	dpa_avg	0.0969100092371683	0.0373377491847157	923	244	0.00990206622704178	0.417784588424677
flavonifractor_plautii	abx_avg	abx_avg	0.00820681454082633	0.0034483730376976	923	639	0.017933023642919	0.417784588424677
