feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126985735540022	0.00252497341960775	923	593	8.42712995657548e-07	0.00052585290929031
hungatella_hathewayi	abx_avg	abx_avg	0.00323214453315804	0.00088040168204578	923	158	0.000290228362730324	0.0905512491718611
ruminococcus_torques	abx_avg	abx_avg	-0.0215440597983449	0.00639771416030876	923	712	0.000857625786442291	0.133789622684997
clostridium_lavalense	abx_avg	abx_avg	0.00311404608008166	0.000913634074076355	923	235	0.000741151672484819	0.133789622684997
lactobacillus_rogosae	abx_avg	abx_avg	-0.00465559805240096	0.00142024823526781	923	233	0.00116882139861395	0.14586891054702
ruthenibacterium_lactatiformans	epa_avg	epa_avg	0.0192476715228516	0.00646228839018342	923	780	0.00314605002690914	0.245391902098913
clostridium_innocuum	abx_avg	abx_avg	0.00390241890186566	0.00129355953909581	923	212	0.0027821808261553	0.245391902098913
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0186146698449292	0.00621503100182494	923	407	0.00297101400471024	0.245391902098913
ruminococcus_torques	epa_avg	epa_avg	-0.0426765602656619	0.0149782996317606	923	712	0.00468576583896656	0.297837627111567
streptococcus_parasanguinis	agemlvs	agemlvs	0.000989713200693743	0.000348144114269604	923	415	0.0047730388960187	0.297837627111567
roseburia_faecis	abx_avg	abx_avg	-0.02978139160429	0.0114088000621286	923	726	0.00949096527919923	0.433869713984753
eubacterium_sp_cag_38	epa_avg	epa_avg	-0.0283334286307804	0.0109383617101542	923	523	0.0100599430968154	0.433869713984753
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00352596495158841	0.00140332870649825	923	212	0.0125154725187909	0.433869713984753
butyricimonas_virosa	abx_avg	abx_avg	-0.00783934156590411	0.00308567237950491	923	493	0.0115632300110458	0.433869713984753
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000559620514898834	0.000221019647274257	923	157	0.0118455039320565	0.433869713984753
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00807491592338617	0.00311264609974335	923	819	0.00993925274324129	0.433869713984753
clostridium_leptum	calor_avg	calor_avg	-4.73889059150193e-06	1.8591000987083e-06	923	583	0.0112964129991686	0.433869713984753
eubacterium_rectale	calor_avg	calor_avg	2.64448167306756e-05	1.03485476492911e-05	923	869	0.0111047734068359	0.433869713984753
alistipes_putredinis	abx_avg	abx_avg	-0.0301525567000673	0.0121736637042117	923	737	0.0138009239189751	0.435459408893494
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0123912802172169	0.00501115819939373	923	167	0.0139570323363299	0.435459408893494
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00288112256559212	0.00122038401187546	923	267	0.018871702227276	0.437560961278284
roseburia_intestinalis	abx_avg	abx_avg	0.0193866181544162	0.00806803253530386	923	694	0.0168742591705126	0.437560961278284
alistipes_putredinis	agemlvs	agemlvs	0.0031694919595535	0.00133378230472294	923	737	0.0181081393816512	0.437560961278284
eisenbergiella_tayi	epa_avg	epa_avg	0.0095616564633884	0.00400561845924629	923	244	0.0175974381309467	0.437560961278284
flavonifractor_plautii	abx_avg	abx_avg	0.00816675853519332	0.00344764993493367	923	639	0.0184705376072659	0.437560961278284
clostridium_bolteae	abx_avg	abx_avg	0.00297107456939243	0.00124993548886356	923	274	0.0180617792837058	0.437560961278284
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0102098609163086	0.00432710057330439	923	720	0.0189329262091565	0.437560961278284
alistipes_finegoldii	calor_avg	calor_avg	-1.61674939605898e-05	6.92526198689979e-06	923	756	0.0202211881522066	0.450643621677746
sellimonas_intestinalis	abx_avg	abx_avg	0.00227070414913963	0.000987923982170581	923	112	0.0221880711022981	0.456625430343641
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0206623894648268	0.00902113156559231	923	487	0.0226849172125847	0.456625430343641
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000769215107278632	0.000333430672579536	923	255	0.021740488191149	0.456625430343641
desulfovibrio_piger	agemlvs	agemlvs	-0.000644743924428068	0.000283447219145196	923	98	0.0236398169231349	0.460976430001131
ruthenibacterium_lactatiformans	abx_avg	abx_avg	0.00624369561102082	0.00276004780206059	923	780	0.0244400308069725	0.462138764350025
hungatella_hathewayi	calor_avg	calor_avg	-1.39511314927571e-06	6.36110695888816e-07	923	158	0.0291478247535884	0.528236451396431
streptococcus_salivarius	agemlvs	agemlvs	0.00123580381201323	0.000565508465213636	923	572	0.0296286471135819	0.528236451396431
alistipes_onderdonkii	abx_avg	abx_avg	0.00654940464451022	0.00315895207552085	923	147	0.0390108346027535	0.541651721535577
sellimonas_intestinalis	calor_avg	calor_avg	-1.50495376699966e-06	7.15244767212114e-07	923	112	0.0361667797250374	0.541651721535577
ruminococcus_lactaris	abx_avg	abx_avg	-0.0127506477043773	0.00590267971094741	923	489	0.0315430654218992	0.541651721535577
veillonella_parvula	agemlvs	agemlvs	0.000406137174000347	0.000197659770568418	923	191	0.0407974854361733	0.541651721535577
ruminococcus_bicirculans	abx_avg	abx_avg	-0.0207720276430899	0.00999319260713619	923	556	0.0384925889783165	0.541651721535577
paraprevotella_clara	epa_avg	epa_avg	0.00795487420621753	0.00373828585660829	923	125	0.034160938226536	0.541651721535577
butyricimonas_virosa	epa_avg	epa_avg	0.0153090978232232	0.00722377306986651	923	493	0.0348758223365489	0.541651721535577
anaerotignum_lactatifermentans	abx_avg	abx_avg	0.00415861435989096	0.00201745074092187	923	157	0.0401241102827027	0.541651721535577
bacteroides_cellulosilyticus	epa_avg	epa_avg	0.0529392110234003	0.0257316403102971	923	534	0.0405071820811527	0.541651721535577
parabacteroides_johnsonii	agemlvs	agemlvs	-0.000967973523152275	0.000467625222921764	923	157	0.0392976300229522	0.541651721535577
collinsella_stercoris	abx_avg	abx_avg	0.00288815539485495	0.00134523148390247	923	564	0.0325987370619802	0.541651721535577
bifidobacterium_adolescentis	abx_avg	abx_avg	-0.0180679678094761	0.0086272380767377	923	313	0.0370746395146853	0.541651721535577
eubacterium_sp_cag_180	epa_avg	epa_avg	-0.0446003235826699	0.0221487047400536	923	138	0.0449412975063637	0.552912058046566
bacteroides_finegoldii	calor_avg	calor_avg	7.5626098436103e-06	3.76006552836945e-06	923	306	0.0451899278211136	0.552912058046566
collinsella_intestinalis	epa_avg	epa_avg	0.0137284150286799	0.00680675975221646	923	347	0.0445975500521478	0.552912058046566
bifidobacterium_adolescentis	agemlvs	agemlvs	-0.00191573314044575	0.000945405722868136	923	313	0.0436118297636957	0.552912058046566
alistipes_shahii	epa_avg	epa_avg	0.0182033905229068	0.00969614301341652	923	725	0.0614372548200726	0.595951259736524
eubacterium_hallii	abx_avg	abx_avg	-0.00864365825763028	0.00461546074107286	923	844	0.0620863133910356	0.595951259736524
roseburia_intestinalis	epa_avg	epa_avg	-0.0359935224837703	0.0188896300493346	923	694	0.0576768448494612	0.595951259736524
alistipes_finegoldii	abx_avg	abx_avg	-0.0178221061172321	0.00955340874241777	923	756	0.0630703421164346	0.595951259736524
eubacterium_ventriosum	epa_avg	epa_avg	-0.0133320382634748	0.00695465030445679	923	462	0.0561862106268807	0.595951259736524
clostridium_sp_cag_299	epa_avg	epa_avg	-0.00557190389791715	0.00301030537413778	923	124	0.0651369482151885	0.595951259736524
clostridium_sp_cag_253	agemlvs	agemlvs	0.000403572333360238	0.000217699372061367	923	111	0.0647627324899561	0.595951259736524
clostridium_sp_cag_253	abx_avg	abx_avg	0.00381524751274393	0.00198578228390139	923	111	0.0556628591745214	0.595951259736524
clostridium_sp_cag_242	abx_avg	abx_avg	-0.00394486474811885	0.00204229853519874	923	211	0.0543423170372124	0.595951259736524
eisenbergiella_tayi	calor_avg	calor_avg	-2.33719334050974e-06	1.23679975449087e-06	923	244	0.0597653591679752	0.595951259736524
bacteroides_eggerthii	abx_avg	abx_avg	0.0242534243363201	0.0124753750379821	923	240	0.0528027480160167	0.595951259736524
clostridium_symbiosum	calor_avg	calor_avg	-2.14438492480207e-06	1.1298852580904e-06	923	234	0.05864048928238	0.595951259736524
oscillibacter_sp_cag_241	agemlvs	agemlvs	0.00103873875213469	0.00055937330529913	923	511	0.0642954637114919	0.595951259736524
sutterella_parvirubra	calor_avg	calor_avg	-1.91867427829431e-06	9.74747303795778e-07	923	203	0.0500214690281732	0.595951259736524
holdemanella_biformis	calor_avg	calor_avg	-3.13590465077004e-06	1.66929003681034e-06	923	202	0.0612793706732052	0.595951259736524
methanobrevibacter_smithii	agemlvs	agemlvs	0.00140673203039365	0.000723910442892858	923	369	0.0529302191516503	0.595951259736524
phascolarctobacterium_faecium	calor_avg	calor_avg	-6.00052108216021e-06	3.25085651232878e-06	923	466	0.0658984566054811	0.595951259736524
proteobacteria_bacterium_cag_139	agemlvs	agemlvs	-0.00079942964059665	0.000422485583879105	923	380	0.0594133565322566	0.595951259736524
eubacterium_sp_cag_180	calor_avg	calor_avg	-1.25962987700074e-05	6.86272180195456e-06	923	138	0.0674376377368167	0.60115837068248
dorea_longicatena	abx_avg	abx_avg	-0.0105303260935297	0.00580002454167907	923	763	0.0704351526295183	0.608541812978516
ruminococcus_gnavus	epa_avg	epa_avg	-0.0265580551285942	0.0147199304153807	923	392	0.0722044671234412	0.608541812978516
eubacterium_ramulus	calor_avg	calor_avg	3.77076142650678e-06	2.09376097057017e-06	923	627	0.0727270428950309	0.608541812978516
dialister_invisus	epa_avg	epa_avg	-0.0159190163514309	0.00885298877522727	923	244	0.0731420448291486	0.608541812978516
akkermansia_muciniphila	agemlvs	agemlvs	0.002271054443712	0.00125700651346989	923	582	0.0718135972572111	0.608541812978516
bacteroides_uniformis	epa_avg	epa_avg	0.0636187936936563	0.0355583468683436	923	891	0.0745903287645383	0.610824837895046
lachnospira_pectinoschiza	epa_avg	epa_avg	0.0315849040737953	0.0177610274928511	923	467	0.0763531047368807	0.610824837895046
clostridium_leptum	epa_avg	epa_avg	-0.0107387193063808	0.00602063255381185	923	583	0.0754695813119931	0.610824837895046
dorea_sp_cag_317	calor_avg	calor_avg	-4.95990987353147e-06	2.81106107363608e-06	923	319	0.0786687212034637	0.611959692986891
coprococcus_comes	abx_avg	abx_avg	-0.00826147841577916	0.00485611283526264	923	750	0.0899321234084844	0.611959692986891
bacteroides_dorei	calor_avg	calor_avg	2.1286656117417e-05	1.2374399905973e-05	923	507	0.0864162914994105	0.611959692986891
veillonella_dispar	agemlvs	agemlvs	0.000251667610181744	0.000148159519478668	923	170	0.0903573351016464	0.611959692986891
eggerthella_lenta	abx_avg	abx_avg	0.00429702484467212	0.00252366918533588	923	399	0.0896580286902465	0.611959692986891
anaerotruncus_colihominis	abx_avg	abx_avg	0.00156765877356292	0.000896651094413619	923	188	0.0814530180639109	0.611959692986891
coprobacter_fastidiosus	agemlvs	agemlvs	-0.00060527770069147	0.00035829354047144	923	249	0.0921862358025125	0.611959692986891
bacteroides_intestinalis	calor_avg	calor_avg	-1.13308381107943e-05	6.41707700475606e-06	923	247	0.0784587606627916	0.611959692986891
clostridium_symbiosum	agemlvs	agemlvs	-0.000298344238733232	0.000170908843428357	923	234	0.0818527255637261	0.611959692986891
turicimonas_muris	agemlvs	agemlvs	-0.000275968307382984	0.000160417390452491	923	353	0.0864077096250779	0.611959692986891
parabacteroides_distasonis	calor_avg	calor_avg	-1.02323247152932e-05	5.95485889552578e-06	923	795	0.086769577428545	0.611959692986891
