feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126820698993953	0.00251629976924026	923	593	7.99845308130621e-07	0.000499103472273507
hungatella_hathewayi	abx_avg	abx_avg	0.00332228072170787	0.000880680324709805	923	158	0.000198049404608236	0.0411942761585131
paraprevotella_clara	epa10v	epa10v	0.0344792196973549	0.00893626640672477	923	125	0.000140014334556067	0.0411942761585131
clostridium_lavalense	abx_avg	abx_avg	0.00317851670667782	0.000911964349584917	923	235	0.000563460933256683	0.0878999055880425
ruminococcus_torques	abx_avg	abx_avg	-0.0214106771347298	0.00635950212438157	923	712	0.000859616484379849	0.100128403075667
lactobacillus_rogosae	abx_avg	abx_avg	-0.00471616039849575	0.0014144483876984	923	233	0.000962773106496794	0.100128403075667
parabacteroides_johnsonii	epa10v	epa10v	0.0768156215307867	0.0238542038038569	923	157	0.00141991353377242	0.126575149296284
clostridium_innocuum	abx_avg	abx_avg	0.00399964168154705	0.00129212109174925	923	212	0.00215774558729631	0.168304155809113
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0186018220524761	0.00619227655044257	923	407	0.00288754916761572	0.20020340895469
roseburia_faecis	abx_avg	abx_avg	-0.0308269347027073	0.0113767592878503	923	726	0.00711669205612435	0.396873633771262
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00296239994651118	0.00121286683724616	923	267	0.0151621348357404	0.396873633771262
eubacterium_ramulus	calor10v	calor10v	6.89064666472628e-06	2.77531329978397e-06	923	627	0.0135900779227277	0.396873633771262
alistipes_putredinis	abx_avg	abx_avg	-0.030273298303505	0.0121434775267529	923	737	0.0132025953352108	0.396873633771262
eubacterium_sp_cag_251	calor10v	calor10v	1.22114679179915e-05	4.80351349988198e-06	923	167	0.0115204532431423	0.396873633771262
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0129547399084284	0.00495815559890094	923	167	0.00942871721462449	0.396873633771262
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00344877045900162	0.00139934300152991	923	212	0.0142837262777584	0.396873633771262
sellimonas_intestinalis	abx_avg	abx_avg	0.00243343318564602	0.000984247009365123	923	112	0.0139476883246138	0.396873633771262
flavonifractor_plautii	abx_avg	abx_avg	0.00861448988258425	0.00344186061399809	923	639	0.0128433397945388	0.396873633771262
clostridium_bolteae	abx_avg	abx_avg	0.00301948124478181	0.00124540304251373	923	274	0.0159003859683999	0.396873633771262
butyricimonas_virosa	abx_avg	abx_avg	-0.00789964921836045	0.00309609974506	923	493	0.0112141442413847	0.396873633771262
streptococcus_parasanguinis	agemlvs	agemlvs	0.00095526047144372	0.000351424963162116	923	415	0.00693837804694003	0.396873633771262
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000545916394345583	0.00022253530728824	923	157	0.0147227588022107	0.396873633771262
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00117931996121194	0.000464393275377929	923	157	0.0115983761570774	0.396873633771262
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00827822371697331	0.00310204297348797	923	819	0.00802332524011252	0.396873633771262
slackia_isoflavoniconvertens	epa10v	epa10v	0.0339983643681963	0.0139622469903713	923	215	0.0154773090685131	0.396873633771262
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0102336205489036	0.00431022503045805	923	720	0.0182064202867273	0.436954086881455
roseburia_intestinalis	abx_avg	abx_avg	0.0189121620887531	0.00807445316292403	923	694	0.0198245865761522	0.438776618933135
alistipes_putredinis	agemlvs	agemlvs	0.00310902835533124	0.00134735544083149	923	737	0.0217016474690041	0.438776618933135
veillonella_parvula	agemlvs	agemlvs	0.000456502146822862	0.000198467429133913	923	191	0.0221494226058527	0.438776618933135
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0206341701402763	0.00899647250916514	923	487	0.0225013650734941	0.438776618933135
clostridium_leptum	calor10v	calor10v	-5.68177468942261e-06	2.47481573346247e-06	923	583	0.0223752154645326	0.438776618933135
desulfovibrio_piger	agemlvs	agemlvs	-0.000663892257750316	0.00028555032062778	923	98	0.0207488166278571	0.438776618933135
roseburia_sp_cag_303	epa10v	epa10v	0.0477983968004571	0.0210096887846099	923	134	0.0236201309922942	0.446635204217928
ruminococcus_torques	epa10v	epa10v	-0.0816675109730318	0.0361978543561951	923	712	0.0247868409441796	0.454911433799061
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000748486337918349	0.000336901246936441	923	255	0.0270547297380161	0.467212106418578
ruthenibacterium_lactatiformans	abx_avg	abx_avg	0.00614314063017876	0.00277621890134731	923	780	0.0277032819511016	0.467212106418578
firmicutes_bacterium_cag_94	epa10v	epa10v	0.0280479587737158	0.0126427371362175	923	242	0.0272536067097744	0.467212106418578
collinsella_stercoris	abx_avg	abx_avg	0.00294611058874716	0.00134547398609291	923	564	0.0293176256742061	0.481426274229068
ruminococcus_bromii	epa10v	epa10v	-0.163702002082322	0.0754883731892517	923	512	0.0309067860736774	0.48843138967205
ruminococcus_lactaris	abx_avg	abx_avg	-0.0125865170401764	0.00587387016023065	923	489	0.0329230671472024	0.48843138967205
eisenbergiella_massiliensis	epa10v	epa10v	0.0221629146477116	0.0103870960606944	923	255	0.0336579323011188	0.48843138967205
bifidobacterium_longum	epa10v	epa10v	-0.0910024034062493	0.0426023435204241	923	498	0.0335011811119825	0.48843138967205
bifidobacterium_adolescentis	abx_avg	abx_avg	-0.0185568736556336	0.00858823918157826	923	313	0.0315085056827724	0.48843138967205
dialister_invisus	epa10v	epa10v	-0.04371459386814	0.021427304088312	923	244	0.0422030488612171	0.504357228836891
clostridium_sp_cag_299	epa10v	epa10v	-0.01502295385099	0.0072865434666418	923	124	0.040080489000844	0.504357228836891
alistipes_onderdonkii	abx_avg	abx_avg	0.0065958632255097	0.00314549368786501	923	147	0.0368485468580992	0.504357228836891
sellimonas_intestinalis	calor10v	calor10v	-1.93017676113364e-06	9.51045332988137e-07	923	112	0.0432580233054221	0.504357228836891
bacteroides_eggerthii	abx_avg	abx_avg	0.0255359512497145	0.0124041250823796	923	240	0.0403761464966651	0.504357228836891
ruminococcus_bicirculans	abx_avg	abx_avg	-0.0206879249584859	0.00995893248056686	923	556	0.0386122331827217	0.504357228836891
streptococcus_salivarius	agemlvs	agemlvs	0.00117657159347181	0.000569971784693131	923	572	0.0398413005793895	0.504357228836891
anaerotignum_lactatifermentans	abx_avg	abx_avg	0.00409228138405952	0.00200565471220864	923	157	0.0421784442438274	0.504357228836891
clostridium_leptum	epa10v	epa10v	-0.0294975814422922	0.0145732192209625	923	583	0.0438390088527756	0.504357228836891
eubacterium_rectale	calor10v	calor10v	2.78226572749818e-05	1.37971288508858e-05	923	869	0.0446504338151852	0.504357228836891
akkermansia_muciniphila	agemlvs	agemlvs	0.00254882849956495	0.00126362773857906	923	582	0.0445857026917306	0.504357228836891
methanobrevibacter_smithii	agemlvs	agemlvs	0.00146884374813162	0.000730520667619973	923	369	0.0452628282289518	0.504357228836891
firmicutes_bacterium_cag_95	calor10v	calor10v	5.34997238645162e-06	2.59897448056147e-06	923	234	0.0404095073390497	0.504357228836891
haemophilus_sp_hmsc71h05	epa10v	epa10v	-0.0101137878260419	0.00505445819420244	923	130	0.0462531401553587	0.506350165911295
eubacterium_hallii	abx_avg	abx_avg	-0.00916837443196167	0.00461702737972214	923	844	0.0479792706523509	0.513335565619185
