feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0127469546630236	0.0025245901213721	923	593	7.65439647115024e-07	0.000477634339799775
paraprevotella_clara	omega3_avg	omega3_avg	0.00309485890624402	0.000718073705226324	923	125	2.21766807677607e-05	0.00691912439954134
hungatella_hathewayi	abx_avg	abx_avg	0.00319340040659828	0.000879970254978359	923	158	0.000339532955273272	0.0706228546968407
roseburia_hominis	omega3_avg	omega3_avg	0.00745029027220854	0.00223921121951215	923	800	0.000986540973819094	0.102600261277186
ruminococcus_torques	abx_avg	abx_avg	-0.0216515329020225	0.00643210782163613	923	712	0.000861408633053715	0.102600261277186
clostridium_lavalense	abx_avg	abx_avg	0.00309974461478423	0.000913592734625969	923	235	0.000782809301963106	0.102600261277186
lactobacillus_rogosae	abx_avg	abx_avg	-0.00464206033560819	0.00142043579259994	923	233	0.00120931577168245	0.107801863075692
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0188735707445728	0.00620610859020855	923	407	0.00256397487717827	0.199990040419905
clostridium_innocuum	abx_avg	abx_avg	0.00381940421448738	0.00128899012734932	923	212	0.00329912825167954	0.228739558783115
proteobacteria_bacterium_cag_139	omega3_avg	omega3_avg	-0.00503489659156596	0.00175496659975818	923	380	0.00440627663400035	0.274951661961622
streptococcus_parasanguinis	agemlvs	agemlvs	0.000964766362688411	0.000349595281756189	923	415	0.00613585785811824	0.348070482133253
roseburia_faecis	abx_avg	abx_avg	-0.0295464942962579	0.0114096626614033	923	726	0.0100696128848591	0.367852413546503
roseburia_intestinalis	abx_avg	abx_avg	0.0198018180400752	0.00811767254260227	923	694	0.0152944944705605	0.367852413546503
alistipes_putredinis	agemlvs	agemlvs	0.00326068347123839	0.00133721689348874	923	737	0.0153271838977709	0.367852413546503
alistipes_putredinis	abx_avg	abx_avg	-0.0307832507373516	0.0121687188042242	923	737	0.0119238759850905	0.367852413546503
ruminococcus_bromii	omega3_avg	omega3_avg	-0.014968681215098	0.00613196112672452	923	512	0.0152162804525174	0.367852413546503
clostridium_sp_cag_253	omega3_avg	omega3_avg	0.00231884502027059	0.000904831122765477	923	111	0.0108782942943305	0.367852413546503
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0123773871952666	0.00502047659234826	923	167	0.0142407064192038	0.367852413546503
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00347889727428844	0.00140382700145955	923	212	0.0137623090216868	0.367852413546503
oscillibacter_sp_57_20	omega3_avg	omega3_avg	0.00723531535339386	0.00279483220072378	923	662	0.0100909491712269	0.367852413546503
butyricimonas_virosa	abx_avg	abx_avg	-0.00783636654012035	0.00310120672830025	923	493	0.0120138971823207	0.367852413546503
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000540559038995813	0.000221520417351976	923	157	0.0152502048513469	0.367852413546503
bacteroides_cellulosilyticus	omega3_avg	omega3_avg	0.0125406739459733	0.00503791216070877	923	534	0.0133355131714689	0.367852413546503
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00789775336949222	0.00309731561516129	923	819	0.0112655408245458	0.367852413546503
clostridium_leptum	calor_avg	calor_avg	-4.5465873407972e-06	1.85507107495495e-06	923	583	0.0148158900602573	0.367852413546503
eubacterium_rectale	calor_avg	calor_avg	2.64555216660382e-05	1.03103863576805e-05	923	869	0.0107826654176949	0.367852413546503
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00287861239927444	0.00122099707348269	923	267	0.019033955970786	0.384171189823485
alistipes_finegoldii	calor_avg	calor_avg	-1.62101332562876e-05	6.89863507649776e-06	923	756	0.019429383870105	0.384171189823485
flavonifractor_plautii	abx_avg	abx_avg	0.00807216447704572	0.0034431905249282	923	639	0.0197010866576146	0.384171189823485
clostridium_bolteae	abx_avg	abx_avg	0.0029345943978573	0.00124836015902153	923	274	0.0193611585943091	0.384171189823485
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0103068426852157	0.0043240279074457	923	720	0.0177588803069316	0.384171189823485
desulfovibrio_piger	agemlvs	agemlvs	-0.000676737871339657	0.000284015456531812	923	98	0.0178133931217812	0.384171189823485
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000776857581976114	0.000335128559757587	923	255	0.0211202405404095	0.399364548400471
sellimonas_intestinalis	abx_avg	abx_avg	0.00227731205957947	0.000988318537600687	923	112	0.0218581963445831	0.401162191735879
ruminococcus_torques	omega3_avg	omega3_avg	-0.00673594988719276	0.00295984434816128	923	712	0.0235583636608116	0.412592266650403
hungatella_hathewayi	calor_avg	calor_avg	-1.43407363111899e-06	6.33195351794685e-07	923	158	0.0243213917658648	0.412592266650403
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0203088927854635	0.00899219187974195	923	487	0.0246280101035986	0.412592266650403
clostridium_spiroforme	omega3_avg	omega3_avg	-0.00133859334965045	0.000594834575126485	923	289	0.0251258111101207	0.412592266650403
lawsonibacter_asaccharolyticus	omega3_avg	omega3_avg	-0.00314795886841917	0.00141141168145276	923	746	0.0264481732218397	0.423170771549436
ruminococcus_gnavus	omega3_avg	omega3_avg	-0.00620007379963343	0.00288650737313797	923	392	0.0325183805472868	0.469765230266198
roseburia_sp_cag_303	omega3_avg	omega3_avg	0.00349525348428338	0.00170686070242333	923	134	0.0414560431271299	0.469765230266198
clostridium_sp_cag_299	omega3_avg	omega3_avg	-0.00127646952515022	0.000590517285487979	923	124	0.0314152751033941	0.469765230266198
alistipes_onderdonkii	abx_avg	abx_avg	0.00646239504683492	0.00315518995688649	923	147	0.0414245268229994	0.469765230266198
sellimonas_intestinalis	calor_avg	calor_avg	-1.48736699187051e-06	7.12882721846739e-07	923	112	0.0377526204916852	0.469765230266198
eisenbergiella_tayi	calor_avg	calor_avg	-2.59530235967799e-06	1.24533332809559e-06	923	244	0.0380066198768967	0.469765230266198
ruminococcus_lactaris	abx_avg	abx_avg	-0.012604238953844	0.0059151907895826	923	489	0.0339052528144422	0.469765230266198
veillonella_parvula	agemlvs	agemlvs	0.00041249966482888	0.000198444756167731	923	191	0.0385248806024433	0.469765230266198
ruminococcus_bicirculans	abx_avg	abx_avg	-0.0208984456682194	0.00999770370091757	923	556	0.0374206812151064	0.469765230266198
