feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0125014740163067	0.00253036066925724	923	593	1.28844088720775e-06	0.000803987113617634
hungatella_hathewayi	abx_avg	abx_avg	0.00333385715126765	0.000884635335879955	923	158	0.000201046354164294	0.0627264624992597
ruminococcus_torques	abx_avg	abx_avg	-0.0211166645867856	0.00640524491646651	923	712	0.00109552108286007	0.188828941057739
lactobacillus_rogosae	abx_avg	abx_avg	-0.00464458377480582	0.00142284377965359	923	233	0.00122488437602454	0.188828941057739
clostridium_lavalense	abx_avg	abx_avg	0.00287704189246466	0.000898780052584099	923	235	0.00151305241232163	0.188828941057739
clostridium_innocuum	abx_avg	abx_avg	0.00406858246842217	0.00129934447336152	923	212	0.00191913300163958	0.199589832170516
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0183504470767659	0.00622907631434513	923	407	0.00347145119217478	0.309455077702437
paraprevotella_clara	omega3_noala10v	omega3_noala10v	0.00731980021977253	0.00261066007624901	923	125	0.00538351090055483	0.373256755771802
streptococcus_parasanguinis	agemlvs	agemlvs	0.000987892440661837	0.000350378381182972	923	415	0.00512527048082253	0.373256755771802
alistipes_inops	omega3_noala10v	omega3_noala10v	0.0183868893891471	0.00672212530901072	923	167	0.00661249861739489	0.403832873345749
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00842009728354135	0.00310755150392075	923	819	0.00711884872885134	0.403832873345749
roseburia_faecis	abx_avg	abx_avg	-0.0299094928508577	0.0114279480434528	923	726	0.00930802273942965	0.441216917891214
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00294274714110667	0.00122189163298309	923	267	0.0166275627000433	0.441216917891214
eubacterium_ramulus	calor10v	calor10v	6.61118557858591e-06	2.78476871492546e-06	923	627	0.0182368783304214	0.441216917891214
alistipes_putredinis	abx_avg	abx_avg	-0.029147018578326	0.012185918270421	923	737	0.0173755491523616	0.441216917891214
eubacterium_sp_cag_251	calor10v	calor10v	1.22731922941945e-05	4.82915022241869e-06	923	167	0.0115453502727022	0.441216917891214
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0129214677437252	0.00499405448516647	923	167	0.0101388801715262	0.441216917891214
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00353781052097855	0.0014071595569332	923	212	0.0124620118961734	0.441216917891214
sellimonas_intestinalis	abx_avg	abx_avg	0.00248621118893573	0.000989983964214885	923	112	0.0125264482480702	0.441216917891214
flavonifractor_plautii	abx_avg	abx_avg	0.00819984165747857	0.00345264976541194	923	639	0.0181726234920079	0.441216917891214
clostridium_bolteae	abx_avg	abx_avg	0.00303680103595222	0.0012505301932502	923	274	0.0157347146519324	0.441216917891214
