feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126247892160247	0.00251872687341604	923	593	9.13520967794486e-07	0.000570037083903759
hungatella_hathewayi	abx_avg	abx_avg	0.00343119796600069	0.00088095399496599	923	158	0.000123415201971914	0.0385055430152372
lactobacillus_rogosae	abx_avg	abx_avg	-0.00480654685341564	0.00141804419427139	923	233	0.00079396763819785	0.124013391671353
clostridium_lavalense	abx_avg	abx_avg	0.00306774842636047	0.000905356647897209	923	235	0.000794957638918927	0.124013391671353
ruminococcus_torques	abx_avg	abx_avg	-0.0209784931654891	0.00642072210774241	923	712	0.00121127219271109	0.151166769650344
clostridium_innocuum	abx_avg	abx_avg	0.00404320848181964	0.00129333495740223	923	212	0.00195105437775974	0.202909655287013
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0187495603081769	0.00619739956231493	923	407	0.00269697341924432	0.240415916229779
roseburia_faecis	abx_avg	abx_avg	-0.0304521360558743	0.0113920204226378	923	726	0.0079196684657082	0.408851875181443
roseburia_sp_cag_471	omega610v	omega610v	0.00116066790318579	0.00044253592711297	923	350	0.0091729587380452	0.408851875181443
eubacterium_sp_cag_251	calor10v	calor10v	1.27894788405314e-05	4.78610381728884e-06	923	167	0.00794783554940806	0.408851875181443
streptococcus_parasanguinis	agemlvs	agemlvs	0.000977274915362038	0.000347992563230923	923	415	0.00530080412427085	0.408851875181443
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00824161304096207	0.00310372394815997	923	819	0.00833914185461608	0.408851875181443
bifidobacterium_longum	omega610v	omega610v	-0.00419150977830549	0.00156620776853468	923	498	0.00786338537791472	0.408851875181443
phascolarctobacterium_succinatutens	omega610v	omega610v	-0.00286552868946852	0.00108980233346143	923	104	0.00899185374284183	0.408851875181443
blautia_sp_cag_257	omega610v	omega610v	-0.00203130268808217	0.000860685306973747	923	261	0.0189112301162308	0.432304867960806
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00282032412411826	0.00121348192686974	923	267	0.020783887882731	0.432304867960806
eubacterium_ramulus	calor10v	calor10v	6.65812876633868e-06	2.76117822996073e-06	923	627	0.0165041972456022	0.432304867960806
roseburia_intestinalis	abx_avg	abx_avg	0.0191417887542914	0.00809640204901246	923	694	0.0187052965253412	0.432304867960806
alistipes_putredinis	agemlvs	agemlvs	0.003132168005504	0.00133457671248775	923	737	0.0195728737088862	0.432304867960806
alistipes_putredinis	abx_avg	abx_avg	-0.0304082704165995	0.0121542159271554	923	737	0.0128821075223852	0.432304867960806
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0128002532501498	0.00497358225453027	923	167	0.0105391226252921	0.432304867960806
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00345287193244703	0.00140063691991205	923	212	0.0142586447132867	0.432304867960806
sellimonas_intestinalis	abx_avg	abx_avg	0.00242058469551712	0.000985504038699094	923	112	0.0145795030557266	0.432304867960806
flavonifractor_plautii	abx_avg	abx_avg	0.00849585247996491	0.00344649659581281	923	639	0.0142503995831408	0.432304867960806
clostridium_bolteae	abx_avg	abx_avg	0.00301476263427376	0.00124636624876237	923	274	0.0161454159950884	0.432304867960806
butyricimonas_virosa	abx_avg	abx_avg	-0.0076313993704114	0.00308000183345661	923	493	0.0137640230476237	0.432304867960806
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0101168410965159	0.00431233692883561	923	720	0.0196193054266148	0.432304867960806
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000559690344242156	0.000220455549048576	923	157	0.0116227833294118	0.432304867960806
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0209534076293356	0.0090035942555719	923	487	0.0206145733236878	0.432304867960806
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000776340862504285	0.000333846814686571	923	255	0.0207183331278616	0.432304867960806
desulfovibrio_piger	agemlvs	agemlvs	-0.000651285515529935	0.000282819484453713	923	98	0.0219798299447923	0.442432705985496
bacteroides_sp_cag_144	omega610v	omega610v	-0.00184820167848433	0.000815748903603463	923	106	0.0241836197475579	0.443840550661062
clostridium_lavalense	omega610v	omega610v	-0.000433582797802	0.000190111055396869	923	235	0.0232570804333368	0.443840550661062
eubacterium_rectale	omega610v	omega610v	0.00675899407239787	0.0029790072027485	923	869	0.0239871648816081	0.443840550661062
ruminococcus_lactaris	omega610v	omega610v	0.00274821115657323	0.00122664873734391	923	489	0.0257900930675575	0.447028279837662
collinsella_stercoris	abx_avg	abx_avg	0.00303486777010932	0.0013493922184832	923	564	0.0252325106542074	0.447028279837662
ruminococcus_torques	calor10v	calor10v	1.35228056660381e-05	6.17515022867531e-06	923	712	0.0293096228846446	0.454087961549887
butyrivibrio_crossotus	omega610v	omega610v	-0.00453592924130964	0.0020727799785584	923	122	0.0294176818940966	0.454087961549887
streptococcus_salivarius	agemlvs	agemlvs	0.00122767897585222	0.000565012443745487	923	572	0.030563612796627	0.454087961549887
eubacterium_rectale	calor10v	calor10v	3.00386537078903e-05	1.36224970271832e-05	923	869	0.0282195972013934	0.454087961549887
bifidobacterium_adolescentis	abx_avg	abx_avg	-0.0187656841749128	0.00859557120001253	923	313	0.0297990055574377	0.454087961549887
