feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126914771177405	0.00252273972965371	923	593	8.36471308595414e-07	0.000521958096563539
hungatella_hathewayi	abx_avg	abx_avg	0.00321395504540842	0.00087870081282309	923	158	0.00030534812543396	0.075832962716257
agathobaculum_butyriciproducens	trans_avg	trans_avg	-0.00877382973549209	0.00243395939560292	923	819	0.000364581551520467	0.075832962716257
ruminococcus_torques	abx_avg	abx_avg	-0.0210803174650624	0.00641319938242981	923	712	0.0011330943012933	0.0830136699157017
anaerostipes_hadrus	trans_avg	trans_avg	-0.0165287262049334	0.00505387612664759	923	862	0.00119731254686108	0.0830136699157017
clostridium_sp_cag_167	trans_avg	trans_avg	-0.0110990660219311	0.00331541131714708	923	297	0.000919887493516408	0.0830136699157017
lactobacillus_rogosae	abx_avg	abx_avg	-0.00468264057841599	0.00140474523995728	923	233	0.000966218684009499	0.0830136699157017
clostridium_lavalense	abx_avg	abx_avg	0.0031361475014534	0.000914957546399265	923	235	0.000692525389143632	0.0830136699157017
collinsella_stercoris	trans_avg	trans_avg	0.00365323681686092	0.00105580902404414	923	564	0.000617774056919025	0.0830136699157017
bilophila_wadsworthia	trans_avg	trans_avg	0.003809859764969	0.00119100365125329	923	492	0.0015280303190379	0.0953490919079648
clostridium_innocuum	abx_avg	abx_avg	0.00389285602108275	0.00128882695289413	923	212	0.00275019358199319	0.146785268605607
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0186891402307898	0.00620663505103043	923	407	0.0028227936270309	0.146785268605607
streptococcus_parasanguinis	agemlvs	agemlvs	0.000992945376278105	0.000348644729170079	923	415	0.00469808442891812	0.210130515957456
acidaminococcus_intestini	trans_avg	trans_avg	0.00894935508335706	0.00314342121678059	923	120	0.0047144667041737	0.210130515957456
eubacterium_eligens	trans_avg	trans_avg	-0.022101482928586	0.00795669515128678	923	819	0.00581407700552238	0.241865603429731
clostridium_sp_cag_299	trans_avg	trans_avg	0.0027410722412116	0.0010195583956564	923	124	0.00756743253285587	0.294442378431998
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00813434283060099	0.00304796225979415	923	819	0.00802166736112816	0.294442378431998
roseburia_faecis	abx_avg	abx_avg	-0.0297709304595535	0.0114013681505414	923	726	0.0094701709293093	0.305391656068665
alistipes_putredinis	trans_avg	trans_avg	0.0249646115498278	0.00961438593011508	923	737	0.0098743082124494	0.305391656068665
lactobacillus_rogosae	trans_avg	trans_avg	-0.00289279434315794	0.00112157629517523	923	233	0.0103786114811195	0.305391656068665
butyricimonas_virosa	abx_avg	abx_avg	-0.0079740420279126	0.00310763565872079	923	493	0.0107670135152414	0.305391656068665
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000571893906984889	0.000220722104998604	923	157	0.0100316336188336	0.305391656068665
ruminococcus_gnavus	trans_avg	trans_avg	0.0123763770870797	0.00499141675643556	923	392	0.0137060534825647	0.306193487629527
ruminococcus_torques	trans_avg	trans_avg	0.012755621397397	0.00511710450171392	923	712	0.0132142604493443	0.306193487629527
alistipes_shahii	trans_avg	trans_avg	0.00801115658613832	0.0032877829466228	923	725	0.0154070741416017	0.306193487629527
