feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126914771177405	0.00252273972965371	923	593	8.36471308595414e-07	0.000521958096563539
hungatella_hathewayi	abx_avg	abx_avg	0.00321395504540842	0.00087870081282309	923	158	0.00030534812543396	0.075832962716257
agathobaculum_butyriciproducens	trans_avg	trans_avg	-0.00877382973549209	0.00243395939560292	923	819	0.000364581551520467	0.075832962716257
ruminococcus_torques	abx_avg	abx_avg	-0.0210803174650624	0.00641319938242981	923	712	0.0011330943012933	0.0830136699157017
anaerostipes_hadrus	trans_avg	trans_avg	-0.0165287262049334	0.00505387612664759	923	862	0.00119731254686108	0.0830136699157017
clostridium_sp_cag_167	trans_avg	trans_avg	-0.0110990660219311	0.00331541131714708	923	297	0.000919887493516408	0.0830136699157017
lactobacillus_rogosae	abx_avg	abx_avg	-0.00468264057841599	0.00140474523995728	923	233	0.000966218684009499	0.0830136699157017
clostridium_lavalense	abx_avg	abx_avg	0.0031361475014534	0.000914957546399265	923	235	0.000692525389143632	0.0830136699157017
collinsella_stercoris	trans_avg	trans_avg	0.00365323681686092	0.00105580902404414	923	564	0.000617774056919025	0.0830136699157017
bilophila_wadsworthia	trans_avg	trans_avg	0.003809859764969	0.00119100365125329	923	492	0.0015280303190379	0.0953490919079648
clostridium_innocuum	abx_avg	abx_avg	0.00389285602108275	0.00128882695289413	923	212	0.00275019358199319	0.146785268605607
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0186891402307898	0.00620663505103043	923	407	0.0028227936270309	0.146785268605607
streptococcus_parasanguinis	agemlvs	agemlvs	0.000992945376278105	0.000348644729170079	923	415	0.00469808442891812	0.210130515957456
acidaminococcus_intestini	trans_avg	trans_avg	0.00894935508335706	0.00314342121678059	923	120	0.0047144667041737	0.210130515957456
eubacterium_eligens	trans_avg	trans_avg	-0.022101482928586	0.00795669515128678	923	819	0.00581407700552238	0.241865603429731
