feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126503917907563	0.00251079069693833	923	593	8.04851701136719e-07	0.000376670596131984
hungatella_hathewayi	abx_avg	abx_avg	0.00336504153363964	0.000879022621483976	923	158	0.000160002027662874	0.0374404744731124
clostridium_lavalense	abx_avg	abx_avg	0.00318371492220843	0.000909761667359199	923	235	0.000535318425458585	0.0835096743715392
lactobacillus_rogosae	abx_avg	abx_avg	-0.00477949365731818	0.0014135663652052	923	233	0.000817499171503596	0.0956474030659207
ruminococcus_torques	abx_avg	abx_avg	-0.0208761856708689	0.00640087734969694	923	712	0.00123531608732484	0.115625585773605
clostridium_innocuum	abx_avg	abx_avg	0.00403243313227751	0.00128870622371492	923	212	0.00193257714954192	0.150741017664269
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0186575474435255	0.00617857078425974	923	407	0.00274578116426119	0.183575083553462
streptococcus_parasanguinis	agemlvs	agemlvs	0.000981838773403462	0.000347704720343211	923	415	0.00505712271079791	0.295841678581678
roseburia_faecis	abx_avg	abx_avg	-0.0305816899532063	0.0113557674379916	923	726	0.00747071192029668	0.326510898146155
eubacterium_sp_cag_251	calor10v	calor10v	1.28190618341889e-05	4.77582475852232e-06	923	167	0.00767440145215322	0.326510898146155
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00844640787886448	0.00310177863687983	923	819	0.00683974316177903	0.326510898146155
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00290447112707276	0.00121322950026986	923	267	0.017275956624782	0.366882039852754
eubacterium_ramulus	calor10v	calor10v	6.67733736601808e-06	2.75523547997681e-06	923	627	0.0159698342413149	0.366882039852754
roseburia_intestinalis	abx_avg	abx_avg	0.0192438941693834	0.00807027171337587	923	694	0.0177212592988449	0.366882039852754
alistipes_putredinis	abx_avg	abx_avg	-0.0303309925869029	0.0121161969923325	923	737	0.0128280869890478	0.366882039852754
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0127520416350776	0.00495811646558358	923	167	0.0105882946757443	0.366882039852754
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00346968623992739	0.00139612896008263	923	212	0.0134962646528786	0.366882039852754
sellimonas_intestinalis	abx_avg	abx_avg	0.00241476605041087	0.000982317291751371	923	112	0.0144970523878856	0.366882039852754
flavonifractor_plautii	abx_avg	abx_avg	0.00854407827885284	0.00343596158092697	923	639	0.0134288978174616	0.366882039852754
clostridium_bolteae	abx_avg	abx_avg	0.00302416789036562	0.0012423868170067	923	274	0.0154890926190366	0.366882039852754
butyricimonas_virosa	abx_avg	abx_avg	-0.00796739656132814	0.00309108725581345	923	493	0.0104185673774908	0.366882039852754
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0102257230723358	0.00430035001589201	923	720	0.0180305275996011	0.366882039852754
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000558621297751901	0.000220084295235237	923	157	0.0116398294951913	0.366882039852754
alistipes_putredinis	agemlvs	agemlvs	0.00313464709175197	0.00133222240117423	923	737	0.019263018130024	0.375628853535468
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000777835420225764	0.000333281567346743	923	255	0.0202637377285285	0.379337170278054
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0207376291361861	0.00897821429052706	923	487	0.021573350962764	0.384136025685453
desulfovibrio_piger	agemlvs	agemlvs	-0.000649341725876635	0.000282369534170396	923	98	0.0221616937895454	0.384136025685453
collinsella_stercoris	abx_avg	abx_avg	0.00300710198657182	0.00134535514061899	923	564	0.0261384471203589	0.436885473297428
ruminococcus_torques	calor10v	calor10v	1.35782723084854e-05	6.16222155943523e-06	923	712	0.0283249832677825	0.436992631221764
alistipes_onderdonkii	abx_avg	abx_avg	0.0065467651619758	0.00313960959977979	923	147	0.0379035438866914	0.436992631221764
sellimonas_intestinalis	calor10v	calor10v	-1.97903737608743e-06	9.44205212499155e-07	923	112	0.0368890369119424	0.436992631221764
ruminococcus_lactaris	abx_avg	abx_avg	-0.0123287936993568	0.0058753852334886	923	489	0.0366933789344479	0.436992631221764
veillonella_parvula	agemlvs	agemlvs	0.000410820557824224	0.000197186637784505	923	191	0.0380838019519904	0.436992631221764
ruminococcus_bicirculans	abx_avg	abx_avg	-0.0206736352882386	0.00993517255587336	923	556	0.0382835424788297	0.436992631221764
streptococcus_salivarius	agemlvs	agemlvs	0.00123238226830184	0.000564258520850315	923	572	0.0297167667019513	0.436992631221764
parabacteroides_johnsonii	agemlvs	agemlvs	-0.000971433702885881	0.000466746822018992	923	157	0.038240703951832	0.436992631221764
clostridium_leptum	calor10v	calor10v	-5.14733456401475e-06	2.47313152947857e-06	923	583	0.0382488393738055	0.436992631221764
ruthenibacterium_lactatiformans	abx_avg	abx_avg	0.00594588910504894	0.00278147235496725	923	780	0.0333899139107562	0.436992631221764
eubacterium_rectale	calor10v	calor10v	2.90593389946335e-05	1.37053458116438e-05	923	869	0.0348130792514694	0.436992631221764
bifidobacterium_adolescentis	abx_avg	abx_avg	-0.0181095830206394	0.00859590764947044	923	313	0.0359667614681511	0.436992631221764
firmicutes_bacterium_cag_95	calor10v	calor10v	5.62670996321682e-06	2.5813198568227e-06	923	234	0.0300508283410181	0.436992631221764
anaerotignum_lactatifermentans	abx_avg	abx_avg	0.00412064772201336	0.0020017283120381	923	157	0.0403885655124845	0.450044015710542
bacteroides_eggerthii	abx_avg	abx_avg	0.0251460972597586	0.0123948775240628	923	240	0.0433503511598371	0.47181312425125
eubacterium_hallii	abx_avg	abx_avg	-0.0091968724616751	0.0046044908468132	923	844	0.0466977381037705	0.496694123467377
bifidobacterium_adolescentis	agemlvs	agemlvs	-0.00187297807967019	0.000945297921041185	923	313	0.0484600029241507	0.503984030411168
clostridium_sp_cag_242	abx_avg	abx_avg	-0.00395196693370024	0.00203349239055411	923	211	0.0528845281364053	0.538042590605167
methanobrevibacter_smithii	agemlvs	agemlvs	0.00138882544814039	0.000723063278221473	923	369	0.0557162444515425	0.55479154049621
dorea_longicatena	abx_avg	abx_avg	-0.0106529003591317	0.00575487092445154	923	763	0.0651318476331957	0.560344254258119
eubacterium_ventriosum	calor10v	calor10v	5.2279003840909e-06	2.85017052520967e-06	923	462	0.0676123086880509	0.560344254258119
clostridium_sp_cag_253	agemlvs	agemlvs	0.000404270075931165	0.000217351794371191	923	111	0.0638784744330383	0.560344254258119
clostridium_sp_cag_253	abx_avg	abx_avg	0.00370535396666384	0.00197574729292205	923	111	0.0617227022421857	0.560344254258119
eisenbergiella_tayi	calor10v	calor10v	-3.11370717391023e-06	1.65192424416307e-06	923	244	0.0604131258459568	0.560344254258119
bacteroides_vulgatus	calor10v	calor10v	-2.86363148993665e-05	1.53490044140156e-05	923	783	0.0630516947762452	0.560344254258119
anaerotruncus_colihominis	abx_avg	abx_avg	0.00167865826489773	0.000894402241463188	923	188	0.0615304349312446	0.560344254258119
clostridium_leptum	abx_avg	abx_avg	0.00484479094541606	0.00257792748446899	923	583	0.0611429609794431	0.560344254258119
erysipelatoclostridium_ramosum	calor10v	calor10v	-5.07782686334203e-06	2.77480952657348e-06	923	180	0.0682470566083606	0.560344254258119
proteobacteria_bacterium_cag_139	agemlvs	agemlvs	-0.000777521726334483	0.000422679792801271	923	380	0.066812488441806	0.560344254258119
coprococcus_comes	abx_avg	abx_avg	-0.00873215081604741	0.00482913361771867	923	750	0.0715702238619974	0.567709572329064
oscillibacter_sp_cag_241	agemlvs	agemlvs	0.00101399680480128	0.000560003288948697	923	511	0.0711852914859102	0.567709572329064
dorea_sp_cag_317	calor10v	calor10v	-6.52279901166363e-06	3.71484626824264e-06	923	319	0.0801203151243795	0.568402141562973
dorea_sp_cag_317	abx_avg	abx_avg	0.00651932424452734	0.00385331616905811	923	319	0.0916912520671423	0.568402141562973
dorea_longicatena	calor10v	calor10v	9.84877433929073e-06	5.53849594845518e-06	923	763	0.0763848507979409	0.568402141562973
roseburia_hominis	abx_avg	abx_avg	-0.00853130055695408	0.00491877511016272	923	800	0.0838793207051786	0.568402141562973
alistipes_finegoldii	calor10v	calor10v	-1.59569600059218e-05	9.19148003588799e-06	923	756	0.0835726463984944	0.568402141562973
alistipes_finegoldii	abx_avg	abx_avg	-0.0162664455210902	0.00954486741894261	923	756	0.0893596555581236	0.568402141562973
ruminococcus_bromii	calor10v	calor10v	-2.17140636891801e-05	1.28386060775958e-05	923	512	0.0918228104904446	0.568402141562973
veillonella_dispar	agemlvs	agemlvs	0.000249295777529569	0.000147805841898726	923	170	0.0926390046150349	0.568402141562973
bacteroides_finegoldii	calor10v	calor10v	8.82055229533611e-06	4.98331862845899e-06	923	306	0.0777400774658975	0.568402141562973
coprobacter_fastidiosus	agemlvs	agemlvs	-0.000601782527798896	0.000357691121327893	923	249	0.0935191557699763	0.568402141562973
clostridium_symbiosum	agemlvs	agemlvs	-0.000293496934613826	0.000171408953493531	923	234	0.0878332879584346	0.568402141562973
clostridium_symbiosum	abx_avg	abx_avg	0.00280028553165775	0.00155845741039171	923	234	0.0733240806924191	0.568402141562973
bacteroides_xylanisolvens	abx_avg	abx_avg	0.0104171498701033	0.00593845475278661	923	559	0.0804034417050243	0.568402141562973
