feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00703272800133127	0.00150708085323459	925	112	0.00000355733390824606	0.00215692998240778
escherichia_coli	abx	abx	-0.027346474186146	0.00604341134574236	925	300	0.00000691323712310186	0.00215692998240778
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	0.00000701217608065308	0.00000161829924011961	925	112	0.0000169404899762002	0.00264271643628723
flavonifractor_plautii	abx	abx	0.00979130500689803	0.00223593891561773	925	640	0.000013354664356436	0.00264271643628723
ruminococcus_torques	abx	abx	-0.0163342660900129	0.00444078295800352	925	714	0.000249113336539913	0.027739495182259
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-0.00000969388716754141	0.00000264825236358204	925	468	0.000266725915214029	0.027739495182259
roseburia_faecis	abx	abx	-0.0331361936686952	0.0091829731628665	925	727	0.000327048590908383	0.0291540458181187
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-0.0000369780764434821	0.000010738481100623	925	785	0.000602035582999731	0.0376724299983854
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-0.0000105138475065528	0.00000305347060254947	925	721	0.000603724839717715	0.0376724299983854
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-0.00000422306590623601	0.00000121440630362443	925	230	0.000534963090869224	0.0376724299983854
streptococcus_parasanguinis	agemlvs	agemlvs	0.00116985798675796	0.000352727407044465	925	416	0.00102154962920789	0.0579497244205204
dorea_longicatena	abx	abx	-0.0127498173586443	0.00414369705914925	925	764	0.00215702928272686	0.112165522701796
hungatella_hathewayi	abx	abx	0.00247119614024392	0.000812742015273294	925	158	0.00246198873050224	0.112239477423999
streptococcus_salivarius	agemlvs	agemlvs	0.00168491650325068	0.000553046748483858	925	574	0.00251819340374356	0.112239477423999
clostridium_lavalense	abx	abx	0.00193948057421083	0.000667570715952311	925	236	0.00376224944396627	0.133245149881686
eubacterium_rectale	calor_fs_dr	calor_fs_dr	0.0000351798885814004	0.0000120057688499167	925	871	0.00351602860872729	0.133245149881686
clostridium_innocuum	abx	abx	0.00333336071740389	0.00114892736118097	925	212	0.00383818424519852	0.133245149881686
bifidobacterium_pseudocatenulatum	abx	abx	-0.00845209255495458	0.00291603790816185	925	150	0.00384361009274095	0.133245149881686
acidaminococcus_intestini	abx	abx	-0.00541914399155317	0.00188968071994586	925	120	0.00424289788088897	0.139345698824985
coprococcus_catus	abx	abx	-0.00554129034662839	0.00194682584222425	925	595	0.0045299528549345	0.141334529073956
clostridium_sp_cag_167	abx	abx	-0.00873176797933551	0.00315068009221353	925	298	0.00570281614295221	0.169455108247723
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-0.000028641415550832	0.0000108306354558757	925	604	0.00834923030828224	0.236814532380369
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-0.00000404803832041697	0.00000154391074364173	925	244	0.0090021789539656	0.244233029011936
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00122982172109847	0.000471023824221262	925	157	0.00947837838025021	0.246437837886505
parabacteroides_goldsteinii	calor_fs_dr	calor_fs_dr	-0.00000512612926950718	0.00000199385768848646	925	255	0.0103077073887276	0.25728037642264
clostridium_sp_cag_58	calor_fs_dr	calor_fs_dr	-0.00000557909557023683	0.00000221321201395322	925	692	0.0119273455228306	0.265809414508796
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-0.00000604073158746078	0.000002380780063698	925	782	0.0114331839452627	0.265809414508796
erysipelatoclostridium_ramosum	calor_fs_dr	calor_fs_dr	-0.00000491568479959919	0.00000194469805038301	925	181	0.0116755002740817	0.265809414508796
alistipes_indistinctus	abx	abx	0.00485407785298681	0.00201777645417415	925	390	0.0163491043913206	0.314209664176599
bacteroides_salyersiae	calor_fs_dr	calor_fs_dr	-0.00000683183624326851	0.00000283742822553648	925	235	0.0162680454962145	0.314209664176599
agathobaculum_butyriciproducens	calor_fs_dr	calor_fs_dr	0.00000634640384014357	0.00000264254102635636	925	821	0.0166168572401086	0.314209664176599
