feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00690849832402876	0.00150589297984976	925	112	0.00000515572209172766	0.00187132030048821
escherichia_coli	abx	abx	-0.0275036582588196	0.00603726014514672	925	300	0.00000599782147592375	0.00187132030048821
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	0.00000705608882871289	0.00000162104439371197	925	112	0.0000155141380474973	0.00242020553540957
flavonifractor_plautii	abx	abx	0.0098071787181954	0.00223160778022977	925	640	0.0000124485968766575	0.00242020553540957
roseburia_faecis	abx	abx	-0.0335303594085849	0.00916921234423186	925	727	0.000271946956278423	0.0249419516336607
ruminococcus_torques	abx	abx	-0.0163393117093689	0.00441418935376276	925	714	0.000227650269357935	0.0249419516336607
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-0.00000967231989293022	0.0000026513872553572	925	468	0.000279797534351963	0.0249419516336607
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-0.0000106097296922929	0.00000305053826078719	925	721	0.000531657427566538	0.04146927935019
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-0.0000369558418345377	0.0000107530308291394	925	785	0.00061694725822631	0.0427750099036908
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-0.00000415053784991029	0.00000121869157400758	925	230	0.000694366461666901	0.0433284672080146
streptococcus_parasanguinis	agemlvs	agemlvs	0.00119556392191178	0.000353302390474347	925	416	0.000808031360991647	0.0458374153871625
dorea_longicatena	abx	abx	-0.0128718931373592	0.00413367282101324	925	764	0.00190677275692839	0.0991521833602761
hungatella_hathewayi	abx	abx	0.00248690607981261	0.000809887240989015	925	158	0.00223043297040829	0.0994135838239123
streptococcus_salivarius	agemlvs	agemlvs	0.00170479793628875	0.000552197416653348	925	574	0.00220658002039654	0.0994135838239123
clostridium_lavalense	abx	abx	0.00198187017704036	0.000667053634307641	925	236	0.00304924931785223	0.116591055347667
clostridium_innocuum	abx	abx	0.00339295559498602	0.0011459330986188	925	212	0.003176358879664	0.116591055347667
bifidobacterium_pseudocatenulatum	abx	abx	-0.00864500045652109	0.00291373756972017	925	150	0.00308949319485545	0.116591055347667
eubacterium_rectale	calor_fs_dr	calor_fs_dr	0.0000349500314826195	0.0000120449599627205	925	871	0.00384809756803513	0.130189529747741
acidaminococcus_intestini	abx	abx	-0.00545615102079682	0.00188832835326703	925	120	0.00396410427116519	0.130189529747741
coprococcus_catus	abx	abx	-0.00551920564800908	0.00194302898500174	925	595	0.00461260070712704	0.143913142062364
ruminococcus_torques	dha_pfa	dha_pfa	-0.012412849934947	0.00438815383129723	925	714	0.00499494737708221	0.148421293490443
clostridium_sp_cag_167	abx	abx	-0.00864017825205458	0.00314578562551879	925	298	0.00614849237315929	0.169304521904272
firmicutes_bacterium_cag_94	dha_pfa	dha_pfa	0.00423516483392576	0.00153764873019704	925	242	0.00624039103172797	0.169304521904272
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00124615834890075	0.000470227414862374	925	157	0.00846907695583458	0.220196000851699
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-0.00000403284747541237	0.00000154394132036067	925	244	0.0092636243176374	0.22414041177344
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-0.0000281865727166998	0.0000108160643912222	925	604	0.00933918382389334	0.22414041177344
clostridium_sp_cag_58	calor_fs_dr	calor_fs_dr	-0.00000564045024968448	0.0000022120610871615	925	692	0.0109866630039152	0.244300388946554
parabacteroides_goldsteinii	calor_fs_dr	calor_fs_dr	-0.00000509115230323943	0.00000199814988301837	925	255	0.0110078644589427	0.244300388946554
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-0.00000605297522825621	0.00000238329713244871	925	782	0.0113537039734776	0.244300388946554
eisenbergiella_massiliensis	dha_pfa	dha_pfa	0.00321406028161573	0.00126979919029147	925	255	0.0118752956196604	0.247006148888937
agathobaculum_butyriciproducens	calor_fs_dr	calor_fs_dr	0.00000653781796038345	0.0000026286507478587	925	821	0.0131422176145483	0.256273243483691
erysipelatoclostridium_ramosum	calor_fs_dr	calor_fs_dr	-0.0000048420281680532	0.000001940399181319	925	181	0.0127876586107733	0.256273243483691
veillonella_parvula	agemlvs	agemlvs	0.00050523836273133	0.000204575193491076	925	192	0.0141012220099001	0.266641288914474
agathobaculum_butyriciproducens	dha_pfa	dha_pfa	0.005188884235089	0.00213707522055095	925	821	0.0157713315506126	0.281180311073779
