feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00694554144410175	0.00150734627002298	925	112	0.00000469128927451055	0.00173518070013223
escherichia_coli	abx	abx	-0.0276085463334538	0.00603873118050076	925	300	0.0000055614766029879	0.00173518070013223
flavonifractor_plautii	abx	abx	0.00980492566966102	0.00223413120507856	925	640	0.0000127881845313694	0.00265994238252483
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	0.00000691748928872486	0.00000162255795419837	925	112	0.0000229983744589489	0.00358774641559603
roseburia_faecis	abx	abx	-0.03342969170478	0.00917550195477841	925	727	0.000286334883806344	0.0255247096421656
ruminococcus_torques	abx	abx	-0.0164933624319929	0.00442799883723522	925	714	0.000207949024632746	0.0255247096421656
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-0.000009751344600035	0.00000265351855654228	925	468	0.000252353491741004	0.0255247096421656
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-0.0000374082036722434	0.0000107456808894276	925	785	0.000524304223580421	0.0365781658288219
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-0.00000424281227658059	0.00000121878358066884	925	230	0.000527569699454161	0.0365781658288219
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-0.0000102748388572094	0.00000304883798737814	925	721	0.00078641219572373	0.0448505718724021
streptococcus_parasanguinis	agemlvs	agemlvs	0.00118945853951958	0.00035318353746916	925	416	0.000855002369488477	0.0448505718724021
fusicatenibacter_saccharivorans	dpa_pfa	dpa_pfa	-0.0765625280065276	0.0227380721422997	925	873	0.000862510997546195	0.0448505718724021
firmicutes_bacterium_cag_94	dpa_pfa	dpa_pfa	0.0231484252856527	0.00696746950809237	925	242	0.00100400158457482	0.0481920760595911
dorea_longicatena	abx	abx	-0.0130319483634042	0.00413449277464471	925	764	0.00167713994743436	0.0747525233713599
hungatella_hathewayi	abx	abx	0.00246220359656097	0.00081081595404485	925	158	0.00249361491580136	0.0943541976312256
streptococcus_salivarius	agemlvs	agemlvs	0.0016873096291247	0.000552249501593024	925	574	0.00244788511945313	0.0943541976312256
clostridium_lavalense	abx	abx	0.0020156520618616	0.00066662086269688	925	236	0.0025705470508507	0.0943541976312256
clostridium_innocuum	abx	abx	0.0034034401870508	0.00114843038143795	925	212	0.00314883699901131	0.103414436178056
bifidobacterium_pseudocatenulatum	abx	abx	-0.00865040995803934	0.00291603562589844	925	150	0.00309426851186486	0.103414436178056
acidaminococcus_intestini	abx	abx	-0.00546904412778255	0.00188877509646073	925	120	0.00388819604658851	0.121311716653561
eubacterium_rectale	calor_fs_dr	calor_fs_dr	0.0000346158470353883	0.0000120537821773921	925	871	0.00422527151781893	0.125550925100905
coprococcus_catus	abx	abx	-0.00554644185197561	0.0019444155300537	925	595	0.00444378705556577	0.126041960121502
collinsella_stercoris	dpa_pfa	dpa_pfa	0.0120760119590238	0.00426450831088739	925	566	0.0049574663769186	0.134498218225966
clostridium_sp_cag_167	abx	abx	-0.00877147439836522	0.00314396246467146	925	298	0.00538914460267996	0.140117759669679
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-0.0000294459793459188	0.0000108143289806728	925	604	0.00661941150782972	0.16522051123543
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-0.00000417831299937173	0.00000154052055709845	925	244	0.00690763911254834	0.16578333870116
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00123833133703549	0.000470617055624235	925	157	0.00894156456591533	0.206649492190043
erysipelatoclostridium_ramosum	calor_fs_dr	calor_fs_dr	-0.0000050597753692196	0.00000194280712081391	925	181	0.00937927640144743	0.2090238740894
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-0.00000612814744966228	0.00000238334496120349	925	782	0.0103827270821512	0.223407644802149
parabacteroides_goldsteinii	calor_fs_dr	calor_fs_dr	-0.00000502005809795428	0.00000199835475456562	925	255	0.012182290856735	0.253391649820087
clostridium_sp_cag_58	calor_fs_dr	calor_fs_dr	-0.00000546042432554874	0.0000022126856715604	925	692	0.0138311824425616	0.278408317553499
alistipes_finegoldii	calor_fs_dr	calor_fs_dr	-0.000017386989333664	0.00000715247337523796	925	758	0.0152857650445466	0.284477914511724
alistipes_indistinctus	abx	abx	0.00481135140720567	0.00201615601145177	925	390	0.0172251027880685	0.284477914511724
veillonella_parvula	agemlvs	agemlvs	0.000492210587044943	0.000205884068338807	925	192	0.0174567866451309	0.284477914511724
ruminococcus_bicirculans	abx	abx	-0.0172978159724412	0.00725012678948273	925	558	0.0172524901750914	0.284477914511724
bacteroides_salyersiae	calor_fs_dr	calor_fs_dr	-0.00000673953160801055	0.00000283781263270909	925	235	0.0177798696569828	0.284477914511724
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000536351722489053	0.000223228022251104	925	158	0.0168783654368213	0.284477914511724
eubacterium_siraeum	abx	abx	0.0233718613716537	0.00982067551636654	925	604	0.0175314148674785	0.284477914511724
catenibacterium_mitsuokai	calor_fs_dr	calor_fs_dr	0.00000330271641928113	0.00000136928247531651	925	98	0.0160714703259191	0.284477914511724
agathobaculum_butyriciproducens	calor_fs_dr	calor_fs_dr	0.00000624231257038307	0.00000264587158854085	925	821	0.0186211088696986	0.290489298367299
dorea_sp_cag_317	dpa_pfa	dpa_pfa	0.0285624944033598	0.0121888427412403	925	321	0.0197801695370249	0.301044531490331
firmicutes_bacterium_cag_83	abx	abx	-0.00738531280121715	0.00317564028379764	925	649	0.0202660833539377	0.301096095544217
eisenbergiella_massiliensis	dpa_pfa	dpa_pfa	0.0134724993302191	0.00579672218990177	925	255	0.0207849421163586	0.301623346060646
clostridium_sp_cag_253	agemlvs	agemlvs	0.000529440041789618	0.000229295813592571	925	112	0.0216518553708943	0.307062676169046
eubacterium_ramulus	abx	abx	-0.00463008832914685	0.00205422066251873	925	629	0.0244481724517123	0.3262493167732
bacteroides_plebeius	dpa_pfa	dpa_pfa	-0.0819341982994407	0.0363121697719697	925	145	0.0247826097488702	0.3262493167732
anaerotruncus_colihominis	calor_fs_dr	calor_fs_dr	-0.00000179382373900374	0.000000796441561598495	925	188	0.0246981087423466	0.3262493167732
phascolarctobacterium_succinatutens	abx	abx	-0.00506263229167955	0.0022556711486188	925	104	0.0250961012902461	0.3262493167732
parabacteroides_johnsonii	calor_fs_dr	calor_fs_dr	-0.00000567843257219986	0.00000254558521822265	925	157	0.0259522248274089	0.330493638618431
bacteroides_eggerthii	abx	abx	0.0142345992193144	0.0064112517729761	925	240	0.0266757592440235	0.33224726578625
proteobacteria_bacterium_cag_139	calor_fs_dr	calor_fs_dr	0.00000423862775683376	0.00000191518826111569	925	382	0.0271548246075301	0.33224726578625
butyricimonas_virosa	calor_fs_dr	calor_fs_dr	-0.00000437219063987245	0.00000200280549864207	925	494	0.0292987770217037	0.351585324260445
sellimonas_intestinalis	abx	abx	0.00171020092746045	0.000787382733359433	925	113	0.0301407616947146	0.353118742895945
phascolarctobacterium_succinatutens	dpa_pfa	dpa_pfa	0.0358590863644817	0.0164997952062888	925	104	0.0305583527506106	0.353118742895945
desulfovibrio_piger	agemlvs	agemlvs	-0.000635655955699771	0.000293735504855277	925	98	0.0312616182513887	0.35422030839758
lawsonibacter_asaccharolyticus	calor_fs_dr	calor_fs_dr	-0.00000475150525488298	0.00000220911150801904	925	748	0.0317890020356802	0.35422030839758
roseburia_sp_cag_471	calor_fs_dr	calor_fs_dr	0.00000286703173869398	0.00000134207326291808	925	352	0.0329343286076715	0.360098894512256
eubacterium_ventriosum	abx	abx	-0.0042285012759547	0.00200471061779574	925	464	0.0352019752648199	0.360098894512256
bacteroides_galacturonicus	abx	abx	0.00261419718010431	0.00123791050391877	925	175	0.0349873768296978	0.360098894512256
