feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00694554144410175	0.00150734627002298	925	112	0.00000469128927451055	0.00173518070013223
escherichia_coli	abx	abx	-0.0276085463334538	0.00603873118050076	925	300	0.0000055614766029879	0.00173518070013223
flavonifractor_plautii	abx	abx	0.00980492566966102	0.00223413120507856	925	640	0.0000127881845313694	0.00265994238252483
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	0.00000691748928872486	0.00000162255795419837	925	112	0.0000229983744589489	0.00358774641559603
roseburia_faecis	abx	abx	-0.03342969170478	0.00917550195477841	925	727	0.000286334883806344	0.0255247096421656
ruminococcus_torques	abx	abx	-0.0164933624319929	0.00442799883723522	925	714	0.000207949024632746	0.0255247096421656
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-0.000009751344600035	0.00000265351855654228	925	468	0.000252353491741004	0.0255247096421656
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-0.0000374082036722434	0.0000107456808894276	925	785	0.000524304223580421	0.0365781658288219
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-0.00000424281227658059	0.00000121878358066884	925	230	0.000527569699454161	0.0365781658288219
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-0.0000102748388572094	0.00000304883798737814	925	721	0.00078641219572373	0.0448505718724021
streptococcus_parasanguinis	agemlvs	agemlvs	0.00118945853951958	0.00035318353746916	925	416	0.000855002369488477	0.0448505718724021
fusicatenibacter_saccharivorans	dpa_pfa	dpa_pfa	-0.0765625280065276	0.0227380721422997	925	873	0.000862510997546195	0.0448505718724021
firmicutes_bacterium_cag_94	dpa_pfa	dpa_pfa	0.0231484252856527	0.00696746950809237	925	242	0.00100400158457482	0.0481920760595911
dorea_longicatena	abx	abx	-0.0130319483634042	0.00413449277464471	925	764	0.00167713994743436	0.0747525233713599
hungatella_hathewayi	abx	abx	0.00246220359656097	0.00081081595404485	925	158	0.00249361491580136	0.0943541976312256
streptococcus_salivarius	agemlvs	agemlvs	0.0016873096291247	0.000552249501593024	925	574	0.00244788511945313	0.0943541976312256
clostridium_lavalense	abx	abx	0.0020156520618616	0.00066662086269688	925	236	0.0025705470508507	0.0943541976312256
clostridium_innocuum	abx	abx	0.0034034401870508	0.00114843038143795	925	212	0.00314883699901131	0.103414436178056
bifidobacterium_pseudocatenulatum	abx	abx	-0.00865040995803934	0.00291603562589844	925	150	0.00309426851186486	0.103414436178056
acidaminococcus_intestini	abx	abx	-0.00546904412778255	0.00188877509646073	925	120	0.00388819604658851	0.121311716653561
eubacterium_rectale	calor_fs_dr	calor_fs_dr	0.0000346158470353883	0.0000120537821773921	925	871	0.00422527151781893	0.125550925100905
coprococcus_catus	abx	abx	-0.00554644185197561	0.0019444155300537	925	595	0.00444378705556577	0.126041960121502
collinsella_stercoris	dpa_pfa	dpa_pfa	0.0120760119590238	0.00426450831088739	925	566	0.0049574663769186	0.134498218225966
clostridium_sp_cag_167	abx	abx	-0.00877147439836522	0.00314396246467146	925	298	0.00538914460267996	0.140117759669679
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-0.0000294459793459188	0.0000108143289806728	925	604	0.00661941150782972	0.16522051123543
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-0.00000417831299937173	0.00000154052055709845	925	244	0.00690763911254834	0.16578333870116
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00123833133703549	0.000470617055624235	925	157	0.00894156456591533	0.206649492190043
erysipelatoclostridium_ramosum	calor_fs_dr	calor_fs_dr	-0.0000050597753692196	0.00000194280712081391	925	181	0.00937927640144743	0.2090238740894
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-0.00000612814744966228	0.00000238334496120349	925	782	0.0103827270821512	0.223407644802149
