feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
clostridium_sp_cag_253	abx	abx	0.00701308673569097	0.00150715026832476	925	112	0.00000378734418987148	0.0015736276010628
escherichia_coli	abx	abx	-0.0277381207600921	0.0060393999089465	925	300	0.00000504367820853461	0.0015736276010628
flavonifractor_plautii	abx	abx	0.00985133546824637	0.00223539055408824	925	640	0.000011776617835112	0.0024495365097033
clostridium_sp_cag_253	calor_fs_dr	calor_fs_dr	0.0000069894865652125	0.00000161924622720899	925	112	0.0000182174642654742	0.00284192442541397
roseburia_faecis	abx	abx	-0.0337739452685228	0.00918228554001703	925	727	0.000250516114716276	0.0217693288820192
ruminococcus_torques	abx	abx	-0.016665526199006	0.00442895504810707	925	714	0.000179128026955874	0.0217693288820192
enterorhabdus_caecimuris	epa_pfa	epa_pfa	0.00146951933911106	0.000399683477283748	925	374	0.000279093960025888	0.0217693288820192
phascolarctobacterium_faecium	calor_fs_dr	calor_fs_dr	-0.00000973052217383596	0.00000265090147443401	925	468	0.000256497372800437	0.0217693288820192
bacteroides_vulgatus	calor_fs_dr	calor_fs_dr	-0.0000368359775810598	0.0000107464594661737	925	785	0.000637609933164831	0.0361698725722595
odoribacter_splanchnicus	calor_fs_dr	calor_fs_dr	-0.0000104930259024671	0.00000304257526646259	925	721	0.000591879813369342	0.0361698725722595
ruminococcaceae_bacterium_d5	calor_fs_dr	calor_fs_dr	-0.00000417986869466738	0.00000121851300632329	925	230	0.000635306983983335	0.0361698725722595
streptococcus_parasanguinis	agemlvs	agemlvs	0.00119567840415864	0.000353231578544958	925	416	0.000805212377859212	0.041871043648679
firmicutes_bacterium_cag_94	epa_pfa	epa_pfa	0.00453814076449473	0.00137915354008003	925	242	0.00112144536592268	0.0538293775642887
dorea_longicatena	abx	abx	-0.0133345994918785	0.00412601440399928	925	764	0.00127635191410681	0.056888828171618
hungatella_hathewayi	abx	abx	0.00245521764047239	0.000812361364396695	925	158	0.0026128143938546	0.0893329460004719
streptococcus_salivarius	agemlvs	agemlvs	0.00169214354884115	0.000552415858940137	925	574	0.00238672842910025	0.0893329460004719
paraprevotella_clara	epa_pfa	epa_pfa	0.00305191919684158	0.000994929024839164	925	125	0.00236402170351436	0.0893329460004719
clostridium_lavalense	abx	abx	0.00202638326547492	0.000667192118021195	925	236	0.00245932936036606	0.0893329460004719
bifidobacterium_pseudocatenulatum	abx	abx	-0.00876906236355261	0.00291688094735263	925	150	0.00272007367629642	0.0893329460004719
coprococcus_catus	abx	abx	-0.00563165251023683	0.00194461743194806	925	595	0.0038769752893286	0.106166322134166
eubacterium_rectale	calor_fs_dr	calor_fs_dr	0.0000348528665598025	0.0000120335612251535	925	871	0.00391318174532982	0.106166322134166
acidaminococcus_intestini	abx	abx	-0.00551426792889879	0.00188884557702655	925	120	0.00360583519205085	0.106166322134166
clostridium_innocuum	abx	abx	0.00334887345037259	0.00114906425091019	925	212	0.00368185243753142	0.106166322134166
clostridium_sp_cag_167	abx	abx	-0.00874643932749349	0.00314914994843653	925	298	0.00559948087666751	0.145586502793355
eubacterium_siraeum	calor_fs_dr	calor_fs_dr	-0.0000286387620015847	0.0000108071576620913	925	604	0.00821619210960542	0.205076155055751
eisenbergiella_tayi	calor_fs_dr	calor_fs_dr	-0.00000405423107438486	0.00000154307825183421	925	244	0.00886211218922926	0.20777840553349
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00123720889498086	0.000470530020182056	925	157	0.00899041177789138	0.20777840553349
parabacteroides_goldsteinii	calor_fs_dr	calor_fs_dr	-0.00000507886085467802	0.00000199716175944322	925	255	0.0111621126212969	0.227788557564559
ruthenibacterium_lactatiformans	calor_fs_dr	calor_fs_dr	-0.00000606603786389424	0.00000237715353699823	925	782	0.0109740863737079	0.227788557564559
fusicatenibacter_saccharivorans	epa_pfa	epa_pfa	-0.0115281243908876	0.0045217961436489	925	873	0.0113164187251624	0.227788557564559
erysipelatoclostridium_ramosum	calor_fs_dr	calor_fs_dr	-0.00000496348294476739	0.0000019365558340401	925	181	0.0105625833434376	0.227788557564559
clostridium_sp_cag_58	calor_fs_dr	calor_fs_dr	-0.000005576811422487	0.00000221182499777006	925	692	0.0119091409281816	0.232228248099542
dorea_longicatena	epa_pfa	epa_pfa	-0.00876037905127556	0.00352779617418294	925	764	0.0135930393073126	0.25703201599282
alistipes_finegoldii	calor_fs_dr	calor_fs_dr	-0.000017140356492768	0.00000714823243232441	925	758	0.0167263225760415	0.273046365558929
alistipes_indistinctus	abx	abx	0.00476529467296537	0.00201721051605921	925	390	0.0183781207587741	0.273046365558929
veillonella_parvula	agemlvs	agemlvs	0.000490059288492267	0.000204954039537168	925	192	0.0174403731772364	0.273046365558929
ruminococcus_bicirculans	abx	abx	-0.01716448496553	0.00725793370123048	925	558	0.0182524964190848	0.273046365558929
bacteroides_salyersiae	calor_fs_dr	calor_fs_dr	-0.00000682286055998326	0.00000283751746706202	925	235	0.0164119003199428	0.273046365558929
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000531518082615931	0.000223600333608593	925	158	0.0180736968981452	0.273046365558929
agathobaculum_butyriciproducens	calor_fs_dr	calor_fs_dr	0.00000632514940594757	0.0000026419429086199	925	821	0.0169570426326137	0.273046365558929
eubacterium_siraeum	abx	abx	0.0235798749210029	0.00982855407884992	925	604	0.0166417835947599	0.273046365558929
catenibacterium_mitsuokai	calor_fs_dr	calor_fs_dr	0.00000331076279489067	0.00000136854035191343	925	98	0.0157594340976839	0.273046365558929
