feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0126440583026076	0.00251965735772016	923	593	0.000000887877564935716	0.000554035600519887
hungatella_hathewayi	abx_avg	abx_avg	0.00338957178514755	0.000882794825159308	923	158	0.000152997025885387	0.0477350720762406
ruminococcus_torques	abx_avg	abx_avg	-0.021644218234886	0.00637998860860227	923	712	0.000785052241394243	0.117382517457118
ruminococcus_lactaris	ala10v	ala10v	0.0282859429367566	0.00859247177960187	923	489	0.00111240832321729	0.117382517457118
lactobacillus_rogosae	abx_avg	abx_avg	-0.00464318282643701	0.00141206369511907	923	233	0.00112867805247229	0.117382517457118
clostridium_lavalense	abx_avg	abx_avg	0.0030527392466002	0.000904865390229767	923	235	0.000837025751831515	0.117382517457118
clostridium_innocuum	abx_avg	abx_avg	0.00395242187830996	0.00129198513433449	923	212	0.00242715427076681	0.195277243071436
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0188839267649774	0.00619447510175605	923	407	0.00250355439835174	0.195277243071436
streptococcus_parasanguinis	agemlvs	agemlvs	0.00099187985331492	0.000347606423981817	923	415	0.00462004109468947	0.320322849231803
blautia_sp_cag_257	ala10v	ala10v	-0.0154165705969712	0.00607478429437986	923	261	0.0116598595763491	0.383533202729789
roseburia_faecis	abx_avg	abx_avg	-0.029574701870967	0.0113593191593758	923	726	0.00967667715805496	0.383533202729789
ruminococcus_torques	calor10v	calor10v	0.0000145882015849783	0.00000615134670885014	923	712	0.0183484245779758	0.383533202729789
roseburia_sp_cag_303	ala10v	ala10v	0.0140769779305258	0.00546646107574585	923	134	0.010504336998521	0.383533202729789
eubacterium_ramulus	calor10v	calor10v	0.00000690681855941609	0.00000276445357337344	923	627	0.0130158065830026	0.383533202729789
roseburia_intestinalis	abx_avg	abx_avg	0.0192182737481537	0.00809913232963076	923	694	0.0182805596048195	0.383533202729789
alistipes_putredinis	agemlvs	agemlvs	0.00315966221008587	0.00133346848016209	923	737	0.018439096285086	0.383533202729789
alistipes_putredinis	abx_avg	abx_avg	-0.0308672118685515	0.012143966364896	923	737	0.0115280292609387	0.383533202729789
eubacterium_sp_cag_251	calor10v	calor10v	0.0000126125829521569	0.00000479739965087118	923	167	0.00900301065141055	0.383533202729789
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0125959171867994	0.00497315870905464	923	167	0.0118207363241636	0.383533202729789
blautia_hydrogenotrophica	abx_avg	abx_avg	0.0033922184983182	0.00139941410499899	923	212	0.0159456212525088	0.383533202729789
sellimonas_intestinalis	abx_avg	abx_avg	0.00241711572805223	0.000985802017943574	923	112	0.0147493124923908	0.383533202729789
flavonifractor_plautii	abx_avg	abx_avg	0.00844187357312033	0.0034461914416333	923	639	0.014863243387174	0.383533202729789
clostridium_bolteae	abx_avg	abx_avg	0.00299172838345085	0.0012464694074729	923	274	0.0169762579235464	0.383533202729789
eggerthella_lenta	ala10v	ala10v	0.00948981111859633	0.00370456733641817	923	399	0.0109061319165424	0.383533202729789
butyricimonas_virosa	abx_avg	abx_avg	-0.00788063624069668	0.00309994346392249	923	493	0.0115103205161059	0.383533202729789
clostridium_lavalense	ala10v	ala10v	-0.00322157011498864	0.00134290447124938	923	235	0.0170403508800306	0.383533202729789
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000555494166400762	0.000220377294058018	923	157	0.0122261541199771	0.383533202729789
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00804434114285022	0.00308934336591357	923	819	0.00966887955310942	0.383533202729789
haemophilus_sp_hmsc71h05	ala10v	ala10v	0.00327635717789067	0.00131775271010631	923	130	0.0134195127446532	0.383533202729789
haemophilus_parainfluenzae	ala10v	ala10v	0.00568276843695804	0.00231352710671998	923	207	0.0146006854091224	0.383533202729789
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0101633851309251	0.00431418583965489	923	720	0.0191189953793083	0.384846874731884
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00284078515412827	0.00121569472371383	923	267	0.0201073789799722	0.392093890109458
parabacteroides_goldsteinii	agemlvs	agemlvs	0.0007752628329254	0.000333906251167092	923	255	0.0209163132235336	0.395508468226817
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0205923342801183	0.00900601528657558	923	487	0.0229167881355389	0.408573594187894
desulfovibrio_piger	agemlvs	agemlvs	-0.000647313073252911	0.000282880362307066	923	98	0.0228233475928788	0.408573594187894
collinsella_aerofaciens	ala10v	ala10v	-0.0223482088849559	0.00987440160796634	923	743	0.02432984095564	0.421717243231093
faecalibacterium_prausnitzii	ala10v	ala10v	0.0302665523659339	0.0134847224057364	923	909	0.0255297913699492	0.430556481482386
roseburia_sp_cag_471	ala10v	ala10v	0.00695414672979111	0.00313592408651119	923	350	0.0273399557238408	0.441084778593082
bacteroides_faecis	ala10v	ala10v	-0.017969662508587	0.00826152699042141	923	172	0.0303952651915105	0.441084778593082
streptococcus_salivarius	agemlvs	agemlvs	0.00123808590848739	0.000565233503610465	923	572	0.0292530391232385	0.441084778593082
bifidobacterium_longum	ala10v	ala10v	-0.0242388876409234	0.0111154632869862	923	498	0.0299981281909229	0.441084778593082
bifidobacterium_adolescentis	abx_avg	abx_avg	-0.0187309738118969	0.00860354941707568	923	313	0.0302515654384592	0.441084778593082
