feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0125789662359495	0.00251864881561612	923	593	0.000000995330090312868	0.00062108597635523
hungatella_hathewayi	abx_avg	abx_avg	0.00332641711015019	0.000882330909235778	923	158	0.000199846618073247	0.062352144838853
clostridium_lavalense	abx_avg	abx_avg	0.00317998882439235	0.000912819308627859	923	235	0.000566787695308423	0.117891840624152
ruminococcus_torques	abx_avg	abx_avg	-0.0216219692183585	0.00637603360928021	923	712	0.000789024021538751	0.123087747360045
lactobacillus_rogosae	abx_avg	abx_avg	-0.00463206140245901	0.00141179909309527	923	233	0.00115664817480239	0.138324516624159
paraprevotella_clara	dha10v	dha10v	0.0209906707895028	0.00647828425317529	923	125	0.00133004342907845	0.138324516624159
clostridium_innocuum	abx_avg	abx_avg	0.00399177575884658	0.00129356724449107	923	212	0.00222580410235721	0.198414537124414
firmicutes_bacterium_cag_94	dha10v	dha10v	0.0267637785794382	0.00904580104098124	923	242	0.00333028480355285	0.230899746379664
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0183970684217592	0.00619295740823925	923	407	0.00321046587435235	0.230899746379664
streptococcus_parasanguinis	agemlvs	agemlvs	0.000979848684346054	0.000351257383422838	923	415	0.0056097095193884	0.318223521827124
slackia_isoflavoniconvertens	dha10v	dha10v	0.0279800484795132	0.0100211351457669	923	215	0.00557494546017114	0.318223521827124
roseburia_faecis	abx_avg	abx_avg	-0.0311093653092905	0.0113808690678077	923	726	0.00663302494413328	0.34491729709493
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00296549990094108	0.00121564906462414	923	267	0.0152872798283943	0.393259453975639
eubacterium_ramulus	calor10v	calor10v	0.00000686585993196408	0.00000276755664081965	923	627	0.0136649850500661	0.393259453975639
alistipes_putredinis	abx_avg	abx_avg	-0.0296563423286342	0.0121336867666618	923	737	0.0150909650443231	0.393259453975639
eubacterium_sp_cag_251	calor10v	calor10v	0.000012597965100951	0.00000480013278194539	923	167	0.00912313511040617	0.393259453975639
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.0128957785127723	0.00497140167855471	923	167	0.00994826212157897	0.393259453975639
blautia_hydrogenotrophica	abx_avg	abx_avg	0.0034293721225516	0.0014004910306446	923	212	0.0149150698141499	0.393259453975639
sellimonas_intestinalis	abx_avg	abx_avg	0.00243113326657297	0.000985493921312355	923	112	0.0141576885630737	0.393259453975639
flavonifractor_plautii	abx_avg	abx_avg	0.0086620008790999	0.00344472355087735	923	639	0.0124328300437463	0.393259453975639
clostridium_bolteae	abx_avg	abx_avg	0.00301477125353368	0.0012466038903767	923	274	0.0161646093785409	0.393259453975639
butyricimonas_virosa	abx_avg	abx_avg	-0.00783249359156224	0.00309776895704661	923	493	0.0119612518799021	0.393259453975639
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000557554493013567	0.000222317604065471	923	157	0.0126658651624126	0.393259453975639
parabacteroides_johnsonii	agemlvs	agemlvs	-0.00112624546010217	0.000466627491612245	923	157	0.0163858105823183	0.393259453975639
parabacteroides_johnsonii	dha10v	dha10v	0.044218624503603	0.0172796263376531	923	157	0.0109821328905424	0.393259453975639
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00823581087736046	0.00310709768762245	923	819	0.00845310791146305	0.393259453975639
dialister_invisus	dha10v	dha10v	-0.0365203769415711	0.0153906689520724	923	244	0.0182725497571262	0.396409074240096
roseburia_intestinalis	abx_avg	abx_avg	0.0186631336849903	0.00807723832426189	923	694	0.0215351187642129	0.396409074240096
clostridium_sp_cag_299	dha10v	dha10v	-0.0123674587010376	0.00523585142285712	923	124	0.0188013480130291	0.396409074240096
alistipes_indistinctus	dha10v	dha10v	0.0271906337996939	0.0117617272746987	923	388	0.0214663120574595	0.396409074240096
veillonella_parvula	agemlvs	agemlvs	0.000469738680239107	0.000197495902064764	923	191	0.0180300167235664	0.396409074240096
odoribacter_splanchnicus	abx_avg	abx_avg	-0.0100904858655122	0.00431229116561069	923	720	0.019935274032087	0.396409074240096
adlercreutzia_equolifaciens	dha10v	dha10v	0.0213218326632905	0.00915482859824651	923	772	0.0205232822186706	0.396409074240096
desulfovibrio_piger	agemlvs	agemlvs	-0.000658726364801296	0.000285218633654245	923	98	0.0215992123784668	0.396409074240096
veillonella_parvula	dha10v	dha10v	-0.0166226444496159	0.0072962223076816	923	191	0.0234479789480067	0.404822090534115
eisenbergiella_massiliensis	dha10v	dha10v	0.0169601945361699	0.00747159907872823	923	255	0.0239015474556957	0.404822090534115
barnesiella_intestinihominis	abx_avg	abx_avg	-0.0204154081020767	0.00899946974369424	923	487	0.0240038739579524	0.404822090534115
ruthenibacterium_lactatiformans	abx_avg	abx_avg	0.00624459397454838	0.00277837651006354	923	780	0.0253652999123764	0.416524924876918
alistipes_putredinis	agemlvs	agemlvs	0.00295902098799547	0.00134345705358545	923	737	0.0283805350112019	0.431937898707072
clostridium_leptum	calor10v	calor10v	-0.00000546909566145513	0.00000247494862307976	923	583	0.0278758935563549	0.431937898707072
asaccharobacter_celatus	dha10v	dha10v	0.0218039042114436	0.009822643322972	923	784	0.0271859710364453	0.431937898707072
eubacterium_eligens	dha10v	dha10v	0.0875800029366486	0.0409699652911492	923	819	0.0333539196720234	0.449377885743723
ruminococcus_lactaris	abx_avg	abx_avg	-0.0126000611824539	0.00588640612443832	923	489	0.0331065126571384	0.449377885743723
bacteroides_eggerthii	abx_avg	abx_avg	0.0263176362320345	0.0123679564040655	923	240	0.0341490791820164	0.449377885743723
parabacteroides_goldsteinii	agemlvs	agemlvs	0.000721872245989964	0.000335825829945101	923	255	0.0323937144499287	0.449377885743723
collinsella_stercoris	abx_avg	abx_avg	0.0028761762219176	0.00134346206992222	923	564	0.0330875655722501	0.449377885743723
bifidobacterium_adolescentis	abx_avg	abx_avg	-0.0185611329367017	0.00861183893664652	923	313	0.0319340547589228	0.449377885743723
firmicutes_bacterium_cag_95	calor10v	calor10v	0.00000550965343127432	0.00000259510310062927	923	234	0.0345675296725941	0.449377885743723
ruminococcus_bromii	dha10v	dha10v	-0.114428028324558	0.0543738745095721	923	512	0.0361758950100029	0.450864062428351
streptococcus_salivarius	agemlvs	agemlvs	0.00119616724318357	0.000569794930928911	923	572	0.0366135624078161	0.450864062428351
erysipelatoclostridium_ramosum	dha10v	dha10v	0.0246389948294778	0.0117507120651199	923	180	0.0368494666407787	0.450864062428351
ruminococcus_torques	dha10v	dha10v	-0.0536308685109193	0.0261092642606396	923	712	0.0408378012920022	0.459103132872887
alistipes_onderdonkii	abx_avg	abx_avg	0.00650353367755479	0.00314922498535654	923	147	0.0397814100189698	0.459103132872887
sellimonas_intestinalis	calor10v	calor10v	-0.00000195635101459489	0.000000949013040725621	923	112	0.040092247967347	0.459103132872887
anaerotignum_lactatifermentans	abx_avg	abx_avg	0.00411677445613777	0.00200796820704863	923	157	0.0412015632065412	0.459103132872887
haemophilus_sp_hmsc71h05	dha10v	dha10v	-0.00755276466053614	0.00363765501901682	923	130	0.0386801720388698	0.459103132872887
ruminococcus_bicirculans	abx_avg	abx_avg	-0.0202860362263577	0.00996164301525726	923	556	0.0425756874642329	0.46609173645055
ruminococcus_torques	calor10v	calor10v	0.0000124574855437205	0.000006151931891748	923	712	0.0437653770075724	0.470855090564227
roseburia_sp_cag_303	dha10v	dha10v	0.0303424767011041	0.0151569082055077	923	134	0.0462121579532327	0.48875231462402
eubacterium_hallii	abx_avg	abx_avg	-0.00906709885685871	0.00462063354741484	923	844	0.0506612171432072	0.50178729360891
eubacterium_rectale	calor10v	calor10v	0.0000269339506029601	0.000013702484417984	923	869	0.050282298435292	0.50178729360891
akkermansia_muciniphila	agemlvs	agemlvs	0.00249607748518735	0.0012635289430309	923	582	0.0491366197279107	0.50178729360891
methanobrevibacter_smithii	agemlvs	agemlvs	0.00144439960688051	0.000729973355708415	923	369	0.0487723254034776	0.50178729360891
clostridium_sp_cag_253	abx_avg	abx_avg	0.00378068327743975	0.00198142937328048	923	111	0.0573553565177673	0.559214726048231
dorea_longicatena	abx_avg	abx_avg	-0.0107962946754226	0.00577221050167321	923	763	0.0624004223677443	0.565050367522666
ruminococcus_bromii	calor10v	calor10v	-0.0000240975960044596	0.0000128122461302204	923	512	0.0609766907438028	0.565050367522666
clostridium_sp_cag_242	abx_avg	abx_avg	-0.00386266794594286	0.002038197725577	923	211	0.0590229516502099	0.565050367522666
eisenbergiella_tayi	calor10v	calor10v	-0.00000308058125252818	0.00000165996321715472	923	244	0.0644704860829658	0.565050367522666
lachnospira_pectinoschiza	dha10v	dha10v	0.057426498244747	0.0309715586852673	923	467	0.0646956165936503	0.565050367522666
bacteroides_salyersiae	dha10v	dha10v	0.044121136680485	0.0238407269497814	923	234	0.0651981193295384	0.565050367522666
anaerotruncus_colihominis	abx_avg	abx_avg	0.0016703167477519	0.000897665222352221	923	188	0.0637819592692453	0.565050367522666
bacteroides_cellulosilyticus	dha10v	dha10v	0.0849970917078486	0.0451117402904033	923	534	0.0605048265615453	0.565050367522666
bifidobacterium_adolescentis	agemlvs	agemlvs	-0.00175854240458013	0.000953606569359324	923	313	0.0661542865195181	0.565483216276429
dorea_sp_cag_317	abx_avg	abx_avg	0.0067956165978805	0.00385369596567982	923	319	0.0788370433552169	0.574464927523204
dorea_longicatena	calor10v	calor10v	0.00000964104920186531	0.0000055673243551465	923	763	0.0843643846382553	0.574464927523204
alistipes_inops	agemlvs	agemlvs	-0.000809770637953107	0.000456354337402792	923	167	0.0770201041977186	0.574464927523204
coprococcus_comes	abx_avg	abx_avg	-0.00862618283897811	0.00484393040861779	923	750	0.0759522924009525	0.574464927523204
eubacterium_ventriosum	calor10v	calor10v	0.00000496876240000764	0.00000286101211599265	923	462	0.0834730722819801	0.574464927523204
clostridium_sp_cag_253	agemlvs	agemlvs	0.00038608556270629	0.000219464093550801	923	111	0.0795740365471965	0.574464927523204
lactobacillus_rogosae	dha10v	dha10v	0.0100093495792501	0.00577417631792497	923	233	0.0840549089024963	0.574464927523204
