feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
coprococcus_catus	abx_avg	abx_avg	-0.0125011998586804	0.00252548074066987	923	593	0.00000123288098227631	0.00076931773294042
hungatella_hathewayi	abx_avg	abx_avg	0.00338989046246354	0.000883457227733197	923	158	0.000154723637669224	0.048273774952798
ruminococcus_torques	abx_avg	abx_avg	-0.0205851286960968	0.00639950181534684	923	712	0.00143887178709232	0.178936645921507
lactobacillus_rogosae	abx_avg	abx_avg	-0.00470486618674799	0.00141806732016672	923	233	0.00101974534984817	0.178936645921507
clostridium_lavalense	abx_avg	abx_avg	0.00291564728824432	0.000897704073876262	923	235	0.00129196007522574	0.178936645921507
clostridium_innocuum	abx_avg	abx_avg	0.00410251789363706	0.00129645868244498	923	212	0.00172054467232218	0.178936645921507
firmicutes_bacterium_cag_110	abx_avg	abx_avg	-0.0185511912240919	0.0062182495610285	923	407	0.00308499608591789	0.275005365373252
lachnospira_pectinoschiza	dpa10v	dpa10v	0.707476353301424	0.244739301998934	923	467	0.00411882417727751	0.321268285827646
streptococcus_parasanguinis	agemlvs	agemlvs	0.000982222747278311	0.000350328390223426	923	415	0.00537597659720469	0.355044745016191
agathobaculum_butyriciproducens	abx_avg	abx_avg	-0.00862745108780802	0.00309792165406303	923	819	0.00568981963166972	0.355044745016191
eubacterium_sp_cag_251	calor10v	calor10v	0.0000127751836771218	0.00000479490353554182	923	167	0.00813362876307998	0.461398577105628
roseburia_faecis	abx_avg	abx_avg	-0.029364416473954	0.0114047076491163	923	726	0.0105035027843628	0.471873846158303
eubacterium_sp_cag_251	abx_avg	abx_avg	-0.01268063635142	0.0049912226311252	923	167	0.0115680850277633	0.471873846158303
blautia_hydrogenotrophica	abx_avg	abx_avg	0.00356915144161317	0.00140375408449728	923	212	0.0115137123780104	0.471873846158303
sellimonas_intestinalis	abx_avg	abx_avg	0.00246967483161953	0.000987836696397155	923	112	0.0129251711382052	0.471873846158303
clostridium_bolteae	abx_avg	abx_avg	0.00310049317132812	0.00124940337463435	923	274	0.0136117455622587	0.471873846158303
butyricimonas_virosa	abx_avg	abx_avg	-0.00778923687641639	0.00310847908620108	923	493	0.0127398667171663	0.471873846158303
anaerotignum_lactatifermentans	agemlvs	agemlvs	-0.000561729500271363	0.000221605846198929	923	157	0.0117542839564204	0.471873846158303
eubacterium_ramulus	calor10v	calor10v	0.00000676095530500131	0.00000275811848795983	923	627	0.0148151088653201	0.481399355361806
haemophilus_sp_hmsc71h05	dpa10v	dpa10v	-0.0708046359980862	0.02907974082596	923	130	0.0154294665180066	0.481399355361806
roseburia_sp_cag_309	abx_avg	abx_avg	-0.00289798103761234	0.00121978623585085	923	267	0.0181390558606946	0.505426395807238
alistipes_putredinis	abx_avg	abx_avg	-0.0286881310081985	0.0121267588090885	923	737	0.0186294985634078	0.505426395807238
flavonifractor_plautii	abx_avg	abx_avg	0.00818942540962018	0.00344334839926222	923	639	0.0180101896504454	0.505426395807238
ruminococcus_torques	calor10v	calor10v	0.0000130929224892573	0.00000614404953441454	923	712	0.0339141505805636	0.539916936036045
